age_bin,approaches,flights,n_rows,median_signed_r_v_mps,p95_abs_centered_r_v_mps,predicted_scale_mps,balanced_coverage,worst_undercoverage,dangerous_safe_misclassifications,green
0p00-0p10,23,23,465,-0.0,0.6562991322890215,0.11759292533538582,0.8655203643948385,0.45161290322580644,59,False
0p10-0p20,23,23,308,0.04535309088648325,0.9433522303585526,0.1995145331991714,0.7937590187590188,0.0,57,False
0p20-0p30,22,22,366,0.04834496975091711,1.0337839051701216,0.30396517454055105,0.7905760905760905,0.0,61,False
0p30-0p40,19,19,216,0.05231387782805014,1.0218801208231982,0.44661569979216126,0.904893813481071,0.0,16,False
0p40-0p50,17,17,213,0.09544245329875234,1.336370166463718,0.5362391362097962,0.8634135472370766,0.0,22,False
gt0p50,14,14,70,0.07443040755492292,1.4579096433559324,0.6502890661101024,0.8976190476190476,0.0,5,False
