age_bin,old_approaches,old_flights,old_n_rows,old_median_signed_r_v_mps,old_p95_abs_centered_r_v_mps,old_predicted_scale_mps,old_balanced_coverage,old_worst_undercoverage,old_dangerous_safe_misclassifications,old_green,shadow_approaches,shadow_flights,shadow_n_rows,shadow_median_signed_r_v_mps,shadow_p95_abs_centered_r_v_mps,shadow_predicted_scale_mps,shadow_balanced_coverage,shadow_worst_undercoverage,shadow_dangerous_safe_misclassifications,shadow_green
0p00-0p10,23,23,465,-0.0,0.681205361093256,0.0954864726464739,0.8321950081241806,0.07692307692307693,67,False,23,23,465,-0.0,0.6562991322890215,0.11759292533538582,0.8655203643948385,0.45161290322580644,59,False
0p10-0p20,23,23,308,0.04519221201487554,0.9134586702156147,0.19991440445843617,0.8019715791454922,0.25,60,False,23,23,308,0.04535309088648325,0.9433522303585526,0.1995145331991714,0.7937590187590188,0.0,57,False
0p20-0p30,22,22,366,0.06038974194649914,1.0314011983198643,0.3200210824994385,0.7637695637695638,0.0,59,False,22,22,366,0.04834496975091711,1.0337839051701216,0.30396517454055105,0.7905760905760905,0.0,61,False
0p30-0p40,19,19,216,0.10203045178789558,1.0063457221271137,0.47912113639523435,0.9107417666974454,0.0,14,False,19,19,216,0.05231387782805014,1.0218801208231982,0.44661569979216126,0.904893813481071,0.0,16,False
0p40-0p50,17,17,213,0.10231639969887407,1.3363208853198856,0.5780637875013915,0.8781194295900178,0.0,16,False,17,17,213,0.09544245329875234,1.336370166463718,0.5362391362097962,0.8634135472370766,0.0,22,False
gt0p50,14,14,70,0.09046271532325906,1.4652723281962254,0.7034561944173308,0.9047619047619048,0.0,4,False,14,14,70,0.07443040755492292,1.4579096433559324,0.6502890661101024,0.8976190476190476,0.0,5,False
