age_bin,n_rows,raw_p95_abs_centered_r_v_mps,isotonic_B_rate_drift_mps
0p00-0p10,465,0.6562991322890215,0.6562991322890215
0p10-0p20,308,0.9433522303585526,0.9433522303585526
0p20-0p30,366,1.0337839051701216,1.0337839051701216
0p30-0p40,216,1.0218801208231982,1.0337839051701216
0p40-0p50,213,1.336370166463718,1.336370166463718
gt0p50,70,1.4579096433559324,1.4579096433559324
