packet,config,runs,gates_per_run,total_gates,full_completion_rate,any_gate_rate,collision_aborts,clip_budget_aborts,median_wall_time_s,best_wall_time_s,median_closest_m,min_closest_m,mean_closest_m,median_closest_abs_x_m,median_closest_y_m,median_closest_abs_y_m,median_closest_z_m,median_approach_phase_duration_s,mean_approach_phase_duration_s,zero_approach_phase_runs,closest_phase_counts,param_ok_runs,anchor_or_build_anchor
R1-ALT,A,5,0/0/1/0/0,1,0/5,1/5,5,0,14.828013,7.995989,2.461235,0.961678,2.748922,0.457596,-0.326752,0.326752,2.396146,2.280312,2.338609,0,align:1; approach:1; commit:3,0,935e973
R1-ALT,B,5,1/0/0/0/1,2,0/5,2/5,5,0,13.839983,10.115996,1.072475,0.645982,1.258148,0.240657,-0.588768,0.588768,0.863503,0.819851,0.772492,0,commit:5,0,935e973
