packet,config,runs,gates_per_run,total_gates,full_completion_rate,any_gate_rate,collision_aborts,clip_budget_aborts,median_wall_time_s,best_wall_time_s,median_closest_m,min_closest_m,mean_closest_m,median_closest_abs_x_m,median_closest_y_m,median_closest_abs_y_m,median_closest_z_m,median_approach_phase_duration_s,mean_approach_phase_duration_s,zero_approach_phase_runs,closest_phase_counts,param_ok_runs,anchor_or_build_anchor
R1b,A,5,0/0/0/0/0,0,0/5,0/5,4,1,9.235306,7.663988,1.123121,0.678547,1.381758,0.019079,-0.364931,0.364931,0.791716,0.100012,0.136039,2,align:1; commit:3; retreat:1,5,e8f46a9
R1b,B,5,0/0/0/0/0,0,0/5,0/5,5,0,14.343992,11.603994,1.211627,0.649515,1.283313,0.292578,-0.531752,0.531752,0.778991,0.642313,1.180073,1,align:2; commit:1; retreat:2,5,e8f46a9
