t_rel_s,signed_plane_m,v_cmd_along_plane,v_est_along_plane,v_cmd_lat,v_est_lat,v_cmd_vert,v_est_vert
0.0,0.9843121171767483,1.3902820700480638,2.017788608148274,0.1459889492359361,-0.3120526806769772,-1.2,-2.315468971344219
0.0201,0.9576992059823695,1.3677913572529754,2.0195438552120124,0.16661080199098877,-0.38871439856613255,-1.2,-2.148302670276575
0.0407,0.9203824290934636,1.372831892553512,2.0311720187713753,0.20092598273715895,-0.2871021270356658,-1.2,-1.097966455593529
0.06,0.8969228732376298,1.3506598707860444,2.034919591102006,0.0952623228714744,-0.2666570434554299,-1.2,-0.8386800702341263
0.082,0.8457843286230818,1.3446721396644963,2.0384890408567413,0.12456004551462228,-0.18701988569963215,-1.2,-1.0383318392925938
0.1,0.8208187685932774,1.3449196474329168,2.043080408320332,0.14548813514373465,-0.15727043896822399,-1.2,-1.2079927871875873
0.12,0.7815347516380471,1.3551980681830875,2.0377006834498066,0.17486980558688636,-0.04756599825503824,-1.2,-1.8863809194048173
0.1399,0.7409406581967056,1.3575356153964553,2.031682608790769,0.19853785814634634,0.03327603315570862,-1.2,-1.2952890378370305
0.16,0.700517846365977,1.3510764623963456,2.031665831066733,0.21954455426654035,0.061491499642248426,-1.2,-1.0026323688913221
0.1799,0.6576685366196784,1.3359429026931733,2.02780964789298,0.2421156379065183,0.08728615464913518,-1.2,-0.9664134698686911
0.1999,0.6286972334391048,1.325189268649078,2.0241744902718404,0.25650194859094105,0.10405645332447236,-1.2,-1.05917405885705
0.2201,0.5737516179803795,1.3131248419315507,2.024524453565992,0.26554876430474145,0.11567557580732063,-1.2,-1.2304751110767016
0.2399,0.5362946368575836,1.308566360913363,2.024381520131018,0.27099792988192173,0.12668181226011202,-1.2,-1.4137811816249302
0.2601,0.5058656532220855,1.3054677978051399,2.0258746792856965,0.2760982673953678,0.13186431043918406,-1.2,-1.4272929287500622
0.2835,0.4648310991200341,1.2853387222533055,2.017416630260009,0.2797012351092247,0.15651242627333983,-1.2,-0.7265044285206868
0.301,0.4238289108989354,1.2492171388293498,2.0154640882273904,0.2806911559517889,0.1621500677225479,-1.2,-0.43310811559023893
0.322,0.3831363219113536,1.2174955574942101,2.006718591940336,0.2837470519040028,0.18164031807215264,-1.2,-0.8591279649161464
0.3402,0.46174192835586503,1.1297251831087474,1.9518754845265944,-0.12551660942089707,0.17251536928881378,-1.2,-1.3269040342845984
0.3599,0.4259786815815428,1.1286208655471694,1.957167786105184,-0.12032962759663653,0.21593077321204715,-1.2,-1.8350499805978144
0.38,0.4011821370411722,1.1239555454221117,1.9420873323118168,-0.07193734447585538,0.2997377163097479,-1.2,-1.7312528318250628
0.3999,0.3623415074823556,1.0984500961243406,1.9324430387651848,0.001224111522582923,0.39332959839953013,-1.2,-1.1874574033262948
0.4199,0.32426432237058145,1.0168270119574507,1.9060891770823634,0.04881838610955005,0.3833595431546891,-1.2,0.33132238107393236
0.4398,2.981475280652389,0.0,0.0,0.0,0.0,0.0,0.0
