phase,flight_id,attempt_n,n_attempts_in_flight,attempt_phases,ended_retreat,status,closest_dist_m,miss_lateral_m,miss_vertical_m,gate_rel_age_s,gates_passed,is_pass_attempt,result
phase3i,20260716T114244-8edfeec4,1,2,approach,False,ok,2.2452410550229343,-0.00011298503714582799,0.16910826452344585,1.211562392,0,False,environment collision (impulse=1.3)
phase3i,20260716T114244-8edfeec4,2,2,approach,False,ok,26.612048346247622,10.118868356562382,-17.26072436191873,0.005286376,0,False,environment collision (impulse=1.3)
phase3i,20260716T115412-fc86a160,1,1,(no setpoint approach),False,ok,6.023751056805434,1.3912917037246397,-3.059839934973173,0.010454952,0,False,stale channels: frame
phase3j_rerun,20260716T130355-8edfeec4,1,1,,False,no_gate_rel,,,,,0,False,flight timeout
phase3j_rerun,20260716T130659-8edfeec4,1,1,approach+commit+retreat,True,ok,0.8871688081776545,-0.13460592310975977,0.13226682114371335,1.19427296,0,False,environment collision (impulse=1.6)
phase3j_rerun,20260716T130833-8edfeec4,1,1,approach,False,ok,6.01550500128232,-0.022321558841611626,-3.0353402140661108,0.1090496,0,False,flight timeout
phase3j_rerun,20260716T131137-2ca531c3,1,3,approach+commit+approach+commit+retreat,True,ok,0.10285874582309801,0.0056548536181750455,0.10024239287190073,1.081753008,1,True,environment collision (impulse=15.5)
phase3j_rerun,20260716T131137-2ca531c3,2,3,approach,False,ok,24.928300478008563,-17.762070934998352,-9.459193358650905,1.042979744,1,False,environment collision (impulse=15.5)
phase3j_rerun,20260716T131137-2ca531c3,3,3,approach,False,ok,13.185133539870403,2.5960929408819067,-1.457391627207152,1.345586528,1,False,environment collision (impulse=15.5)
phase3j_rerun,20260716T131630-8edfeec4,1,1,approach+commit+retreat,True,ok,1.371324708602479,0.0704478841224067,-0.3628647317662434,0.074478336,0,False,stale channels: frame
phase3j_rerun,20260716T131802-8edfeec4,1,2,approach,False,ok,2.127236134233661,0.027402541123046766,0.1624312341190885,1.19535452,0,False,environment collision (impulse=5.0)
phase3j_rerun,20260716T131802-8edfeec4,2,2,approach,False,ok,4.262786917425408,-0.13497985344929242,0.27077547473888386,1.2132688,0,False,environment collision (impulse=5.0)
