t,R,width_px,product,verdict,ty_det,ty_state,delta_state_minus_det
7.0656671,2.959890706218753,75.4254598925323,223.25111774818166,INCONSISTENT_NARROW,-1.705850422797173,-0.18650193896749678,1.5193484838296762
7.0708353,2.959890706218753,75.4254598925323,223.25111774818166,INCONSISTENT_NARROW,-1.705850422797173,-0.18650193896749678,1.5193484838296762
7.0775831,2.959890706218753,75.4254598925323,223.25111774818166,INCONSISTENT_NARROW,-1.705850422797173,-0.1518599704744269,1.5539904523227461
7.0857341,2.959890706218753,75.4254598925323,223.25111774818166,INCONSISTENT_NARROW,-1.705850422797173,-0.1518599704744269,1.5539904523227461
7.0972102,2.959890706218753,75.4254598925323,223.25111774818166,INCONSISTENT_NARROW,-1.705850422797173,-0.06509400492102428,1.6407564178761487
7.1113103,2.6965503611556287,86.0,231.90333105938407,INCONSISTENT_NARROW,-1.5844281963565594,-0.06509400492102428,1.5193341914355352
7.1226502,2.6965503611556287,86.0,231.90333105938407,INCONSISTENT_NARROW,-1.5844281963565594,0.01825812684657798,1.6026863232031374
7.1369495,2.5091094193488477,92.0,230.838066580094,INCONSISTENT_NARROW,-1.5308103548129566,0.04882067856752731,1.579631033380484
7.1503472,2.5091094193488477,92.0,230.838066580094,INCONSISTENT_NARROW,-1.5308103548129566,0.04882067856752731,1.579631033380484
7.1665254,2.177790377920256,98.0,213.42345703618508,INCONSISTENT_NARROW,-1.3195934020590856,0.10654976148473805,1.4261431635438235
7.1746334,2.177790377920256,98.0,213.42345703618508,INCONSISTENT_NARROW,-1.3195934020590856,0.15349008394574862,1.4730834860048343
7.1812124,2.177790377920256,98.0,213.42345703618508,INCONSISTENT_NARROW,-1.3195934020590856,0.15349008394574862,1.4730834860048343
7.1931899,2.026401541793376,103.0,208.7193588047177,INCONSISTENT_NARROW,-1.2429504626689725,0.15349008394574862,1.3964405466147212
7.2018744,2.026401541793376,103.0,208.7193588047177,INCONSISTENT_NARROW,-1.2429504626689725,0.1874844952569916,1.430434957925964
7.2099194,2.026401541793376,103.0,208.7193588047177,INCONSISTENT_NARROW,-1.2429504626689725,0.1874844952569916,1.430434957925964
7.2173882,2.026401541793376,103.0,208.7193588047177,INCONSISTENT_NARROW,-1.2429504626689725,0.221501750734426,1.4644522134033984
7.2291589,2.026401541793376,103.0,208.7193588047177,INCONSISTENT_NARROW,-1.2429504626689725,0.221501750734426,1.4644522134033984
7.2404305,1.8572811816156198,103.0,191.29996170640885,INCONSISTENT_NARROW,-1.1539682263694269,0.23012670422148837,1.3840949305909152
7.2448444,1.8572811816156198,103.0,191.29996170640885,INCONSISTENT_NARROW,-1.1539682263694269,0.23012670422148837,1.3840949305909152
7.2498811,1.8572811816156198,103.0,191.29996170640885,INCONSISTENT_NARROW,-1.1539682263694269,0.23012670422148837,1.3840949305909152
7.2593005,1.8572811816156198,103.0,191.29996170640885,INCONSISTENT_NARROW,-1.1539682263694269,0.2539052436255486,1.4078734699949755
7.3028322,1.672659584462913,102.0,170.61127761521715,INCONSISTENT_NARROW,-0.9446242102185011,0.31383880041187073,1.2584630106303718
7.3155677,1.672659584462913,102.0,170.61127761521715,INCONSISTENT_NARROW,-0.9446242102185011,0.3329942275007237,1.2776184377192248
7.3212733,1.672659584462913,102.0,170.61127761521715,INCONSISTENT_NARROW,-0.9446242102185011,0.3329942275007237,1.2776184377192248
7.328625,1.7768888500615017,95.0,168.80444075584265,INCONSISTENT_NARROW,-0.9827462895231018,0.3329942275007237,1.3157405170238254
7.3358042,1.7768888500615017,95.0,168.80444075584265,INCONSISTENT_NARROW,-0.9827462895231018,0.3354221466164421,1.318168436139544
7.3418014,1.7768888500615017,95.0,168.80444075584265,INCONSISTENT_NARROW,-0.9827462895231018,0.3354221466164421,1.318168436139544
7.3485883,1.7768888500615017,95.0,168.80444075584265,INCONSISTENT_NARROW,-0.9827462895231018,0.3354221466164421,1.318168436139544
7.3545905,1.7768888500615017,95.0,168.80444075584265,INCONSISTENT_NARROW,-0.9827462895231018,0.3150039299924631,1.297750219515565
7.3584718,1.7768888500615017,95.0,168.80444075584265,INCONSISTENT_NARROW,-0.9827462895231018,0.3150039299924631,1.297750219515565
7.3681127,2.2014899190361166,82.03657720797473,180.6026977155844,INCONSISTENT_NARROW,-1.2263788560625288,0.3150039299924631,1.541382786054992
7.3741206,2.2014899190361166,82.03657720797473,180.6026977155844,INCONSISTENT_NARROW,-1.2263788560625288,0.2923937310244998,1.5187725870870286
7.3808405,2.2014899190361166,82.03657720797473,180.6026977155844,INCONSISTENT_NARROW,-1.2263788560625288,0.2923937310244998,1.5187725870870286
7.3873217,2.4752994993256254,124.61540835707277,308.4604579145206,REAL_GATE_CONSISTENT,-1.449667399470672,0.2923937310244998,1.7420611304951716
7.393464,2.4752994993256254,124.61540835707277,308.4604579145206,REAL_GATE_CONSISTENT,-1.449667399470672,0.29146589042605386,1.7411332898967258
7.3977924,2.4752994993256254,124.61540835707277,308.4604579145206,REAL_GATE_CONSISTENT,-1.449667399470672,0.29146589042605386,1.7411332898967258
7.4048006,2.4752994993256254,124.61540835707277,308.4604579145206,REAL_GATE_CONSISTENT,-1.449667399470672,0.29146589042605386,1.7411332898967258
7.4115364,2.4752994993256254,124.61540835707277,308.4604579145206,REAL_GATE_CONSISTENT,-1.449667399470672,0.29146589042605386,1.7411332898967258
7.4197233,2.4752994993256254,124.61540835707277,308.4604579145206,REAL_GATE_CONSISTENT,-1.449667399470672,0.3025676063272296,1.7522350057979015
7.4285262,2.4752994993256254,124.61540835707277,308.4604579145206,REAL_GATE_CONSISTENT,-1.449667399470672,0.3025676063272296,1.7522350057979015
7.4353756,2.9289102539556664,93.0,272.38865361787697,REAL_GATE_CONSISTENT,-1.5851311671222232,0.30850867205078375,1.893639839173007
7.4458479,2.9289102539556664,93.0,272.38865361787697,REAL_GATE_CONSISTENT,-1.5851311671222232,0.30850867205078375,1.893639839173007
7.4542475,2.9289102539556664,93.0,272.38865361787697,REAL_GATE_CONSISTENT,-1.5851311671222232,0.3106917319476637,1.8958228990698869
7.4621293,2.9289102539556664,93.0,272.38865361787697,REAL_GATE_CONSISTENT,-1.5851311671222232,0.3106917319476637,1.8958228990698869
7.471571,2.9415428309390332,80.05623023850174,235.48883013006946,INCONSISTENT_NARROW,-1.4037709563017404,0.3106917319476637,1.714462688249404
7.4826772,2.9415428309390332,80.05623023850174,235.48883013006946,INCONSISTENT_NARROW,-1.4037709563017404,0.30017314422002367,1.7039441005217641
7.4906006,2.9415428309390332,80.05623023850174,235.48883013006946,INCONSISTENT_NARROW,-1.4037709563017404,0.30017314422002367,1.7039441005217641
