campaign_id,optimizer,flight_number,flight_id,score,gates_passed,aborted,finished,gate_clips,env_hits,abort_reason,param_hash
camp-20260714T082947,CEM,28,20260714T083247-30d3d5b4,-220.403200,0,1,0,0,1,environment collision (impulse=6.9),30d3d5b4e92a327a5e5aa8bfd953e41b77fa086ffac23abc612e4ad5ff9505f1
camp-20260714T082947,CEM,29,20260714T083253-a5a8326b,-220.389000,0,1,0,0,1,environment collision (impulse=5.7),a5a8326b84296fdca96ba173a26b83ee8894d8ece41881635790f9d4b920bba0
camp-20260714T082947,CEM,30,20260714T083300-c85d2cfe,-220.382800,0,1,0,0,1,environment collision (impulse=4.9),c85d2cfef4cea4e41931ddbdba7b51c5a0b6debaaa63a55f6a2554d60d65e474
camp-20260714T082947,CEM,31,20260714T083306-9c73fbe5,-220.385900,0,1,0,0,1,environment collision (impulse=5.4),9c73fbe5b58c1c519cec1dfc81edbd005b5f781708beb2169a7fc743c14aa289
camp-20260714T082947,CEM,32,20260714T083313-16399043,-220.390600,0,1,0,0,1,environment collision (impulse=5.5),1639904307990d0707bb93031a4d82675785b7b8c7436e4944777e6a9f107922
camp-20260714T082947,CEM,33,20260714T083319-afdb7e42,-220.385900,0,1,0,0,1,environment collision (impulse=5.5),afdb7e42b947abea8a7c7fb5f36f99a2afbab08af63fdfe68c5b70f9a0739236
camp-20260714T082947,CEM,34,20260714T083326-f5d6ad4f,-220.382800,0,1,0,0,1,environment collision (impulse=5.0),f5d6ad4f3ab3046834740682a3356328195151d1f6eacef55c4c3778dfb6c18c
camp-20260714T082947,CEM,35,20260714T083333-f94f1c66,-220.386000,0,1,0,0,1,environment collision (impulse=4.5),f94f1c6669b4f0b574434a0dd3e340f9a896f4b4297819a63c37dec27240d1d7
camp-20260714T082947,CEM,36,20260714T083339-816bc84e,-220.389100,0,1,0,0,1,environment collision (impulse=5.2),816bc84ec155580872733b08ef17d2197db8bd7397ddcc473aee7141b504de7d
camp-20260714T082947,CEM,37,20260714T083345-c1063ad0,-220.385900,0,1,0,0,1,environment collision (impulse=5.3),c1063ad014a9f9881bd9fb47fd3c6341e8da29ff5a6b0ac058b407fff5dae4c0
camp-20260714T082947,CEM,38,20260714T083352-bf27ffdc,-220.389100,0,1,0,0,1,environment collision (impulse=5.7),bf27ffdc23eae7a77db7af90f85ab0ba0b96ee390995fca6ebda570768f7d9af
camp-20260714T082947,CEM,39,20260714T083358-abc17ab3,-220.382800,0,1,0,0,1,environment collision (impulse=5.2),abc17ab37833cf826527bf0f3e007112cce8b83620612b19a3805d7b2575e5bd
camp-20260714T082947,CEM,40,20260714T083405-bc70ea62,-220.386000,0,1,0,0,1,environment collision (impulse=4.2),bc70ea62f4eedf8a84a0c6a1bab89664b2937e413526126ec66ae14136c71d98
camp-20260714T083434,RandomSearch,1,20260714T083435-4b9b47e1,-220.390600,0,1,0,0,1,environment collision (impulse=6.3),4b9b47e1130b6344b53de92bf616305f5bf7d9b30752fdeb788e45c2975a6d1d
camp-20260714T083434,RandomSearch,2,20260714T083442-1f3a5866,-220.385900,0,1,0,0,1,environment collision (impulse=4.9),1f3a58660b9a060061d7f8d26e5924c46299edd6f04705fd588709cb830fc809
camp-20260714T083434,RandomSearch,3,20260714T083449-cc52ba6e,-220.384400,0,1,0,0,1,environment collision (impulse=4.9),cc52ba6e8d03754dc3b0488a2224756779b2dfc48284eb1da44f67c59654de24
camp-20260714T083434,RandomSearch,4,20260714T083455-b7d92a49,-220.381300,0,1,0,0,1,environment collision (impulse=3.9),b7d92a4992e59eacf2431059dcc1bd19e03d9113c37e840940bd2062bded2e08
camp-20260714T083434,RandomSearch,5,20260714T083502-b8c20cc9,-220.392200,0,1,0,0,1,environment collision (impulse=6.7),b8c20cc92163d638de5c865eddcde3a219f3c019292ebb4fb6cfc2acb5e1504e
camp-20260714T083434,RandomSearch,6,20260714T083508-69121389,-220.376500,0,1,0,0,1,environment collision (impulse=2.9),6912138953c15edb1cf140faa93a516ea4ead828f1d6e8cd3fee87da4d629d9a
camp-20260714T083434,RandomSearch,7,20260714T083515-fbfb2e24,-220.381300,0,1,0,0,1,environment collision (impulse=3.0),fbfb2e2405af91b99553e0d402ee95ded8dc9701a884ac7fc1b4346a33684670
camp-20260714T083434,RandomSearch,8,20260714T083521-fc3cf5f4,-220.509300,0,1,0,0,1,environment collision (impulse=3.8),fc3cf5f41887b5787978ba7e69211b9023cb9764fa8e9788736cce493f395f50
camp-20260714T083434,RandomSearch,9,20260714T083529-5edde841,-220.393800,0,1,0,0,1,environment collision (impulse=2.3),5edde841a9bf47d686b293cac08ebace2f08f577c6fac112c20942d7cae02427
camp-20260714T083434,RandomSearch,10,20260714T083536-f93bc4b7,-220.387500,0,1,0,0,1,environment collision (impulse=3.7),f93bc4b76db78e62e5ad7ee11b98f19b3255ff7700db0a51f929f51d82df150b
camp-20260714T083434,RandomSearch,11,20260714T083542-c15a9fd0,-220.386000,0,1,0,0,1,environment collision (impulse=2.7),c15a9fd0bd91e75049ff7009135db970d7f0f8ed2e874a4e5189ccf845996fda
camp-20260714T083434,RandomSearch,12,20260714T083549-3987a753,-220.389100,0,1,0,0,1,environment collision (impulse=4.1),3987a75336177c9b6573574027be39255c2c521a21f57ebe9ee4c27fa210c6d8
camp-20260714T083434,RandomSearch,13,20260714T083555-283fe428,-220.382800,0,1,0,0,1,environment collision (impulse=3.9),283fe428a737f8c958c41df9f3d60ae0cbd3fca2d984c91ae00a8bbff9f20d23
camp-20260714T083434,RandomSearch,14,20260714T083602-2f1c7acd,-220.384400,0,1,0,0,1,environment collision (impulse=2.8),2f1c7acd55547f19ebb2df1707f0557eb340cd39f9616b104da88d1a7253702b
camp-20260714T083434,RandomSearch,15,20260714T083608-114aae12,-220.390600,0,1,0,0,1,environment collision (impulse=2.8),114aae12002add97075467779f56c123030474a6c7426b3671a8a606b8cbb7d8
camp-20260714T083434,RandomSearch,16,20260714T083615-af554295,-220.382800,0,1,0,0,1,environment collision (impulse=2.8),af55429509749924d48c93ba0e8326b318cdf00d70b7dad9363d1f4eb89d512b
