flight,flight_id,arm,unique_exposures,full_fixes,accepted_full_fixes,full_feature_rows,side_rows,tracker_fallback_rows,center_only_detections,feature_rows,feature_delivery_age_p95_ms,feature_delivery_age_p99_ms,frame_process_p95_ms,frame_process_p99_ms,frame_process_mean_ms,frame_process_max_ms
F2,20260720T071112-cd18c5fb,detector_only,141,125,81,81,0,0,6,81,1.4084999857004732,1.48513998137787,1.5053999959491193,1.6559600015170863,1.3065964542081618,3.769299975829199
F2,20260720T071112-cd18c5fb,parallel_tracker,141,125,81,81,27,9,6,108,8.229914991534315,8.467645990895107,8.175299997674301,8.46406000200659,2.9240702130296765,12.222599994856864
F4,20260720T071333-cd18c5fb,detector_only,120,115,64,64,0,0,5,64,1.4532200075336732,1.5886379935545838,1.4142449930659495,1.4761259988881648,1.2509466653379302,1.7762999923434108
F4,20260720T071333-cd18c5fb,parallel_tracker,120,115,56,56,14,2,5,70,8.403184986673295,8.95554700808134,8.286759995098691,8.838369011646138,2.239906667091418,9.055000002263114
