idx,score,best_so_far,gates_passed,finished
1,-220.58129999999946,-220.58129999999946,0,False
2,-221.56870000000055,-220.58129999999946,0,False
3,-220.59539999999978,-220.58129999999946,0,False
4,-220.41879999999946,-220.41879999999946,0,False
5,-224.50150000000139,-220.41879999999946,0,False
6,-220.77660000000031,-220.41879999999946,0,False
7,-240.9,-220.41879999999946,0,False
8,-221.49839999999966,-220.41879999999946,0,False
9,-221.82649999999848,-220.41879999999946,0,False
10,-220.60929999999934,-220.41879999999946,0,False
11,189.484,189.484,2,True
12,-220.40939999999827,189.484,0,False
13,-220.54839999999967,189.484,0,False
14,-221.74679999999935,189.484,0,False
15,-221.2265000000014,189.484,0,False
16,-220.575,189.484,0,False
17,-221.98589999999967,189.484,0,False
18,-220.52179999999936,189.484,0,False
19,-220.92339999999967,189.484,0,False
20,-241.55620000000053,189.484,0,False
21,-220.61719999999914,189.484,0,False
22,-244.50160000000034,189.484,0,False
23,-241.90620000000052,189.484,0,False
24,-224.50150000000139,189.484,0,False
25,-122.45620000000054,189.484,1,False
26,-243.96089999999967,189.484,0,False
27,-243.68900000000139,189.484,0,False
28,-242.1625,189.484,0,False
29,-220.68129999999945,189.484,0,False
30,-220.575,189.484,0,False
31,-220.4109999999986,189.484,0,False
32,-220.58429999999936,189.484,0,False
33,-220.40460000000022,189.484,0,False
34,-220.5375,189.484,0,False
35,-220.57660000000033,189.484,0,False
36,-220.42660000000032,189.484,0,False
37,-241.71710000000022,189.484,0,False
38,-220.37809999999882,189.484,0,False
39,-220.38129999999947,189.484,0,False
40,-220.4844000000012,189.484,0,False
