approach_id,cluster_id,flight,flight_id,fixture_dir,metrology_only,measurement_latch_mechanism_eligible,term_command_regime_eligible,cut_id,cut_frame_id,frame_id,feature_ts_ns,age_s,age2_s2,age_bin,range_z_m,r_v_mps,rv2_m2ps2,v_ref_oracle_mps,v_hold_mps,v_shadow_hold_mps,residual_sign_convention,v_latch_mps,v_latch_true_mps,v_full_raw_mps,v_anchor_old_mps,v_latch_auth_applied_mps,delta_latch_mps,auth_at_latch,rate_anchor_v_raw,rate_anchor_quality,shadow_vz_up,n_full_at_latch,span_full_at_latch_s,predicted_b0_from_auth_mps,rate_feed_forward_mps,command_regime,oracle_ref_n,oracle_ref_span_s,shadow_tau_s,shadow_e_z_cmd_m,shadow_e_cross_old_m,shadow_e_cross_new_m,shadow_vz_cmd_old_mps,shadow_vz_cmd_new_mps,shadow_command_delta_mps,shadow_e_cross_delta_m,row_key
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,289,1784492338512394600,0.03454303741455078,0.0011932214338230551,0p00-0p10,3.076833043426804,-0.04809338111895811,0.0023129733074533565,-0.0,0.04809338111895811,0.04809338111895811,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,0.04809338111895811,up,10,0.36786842346191406,1.9952326271655594,-0.1,-0.19595748315925332,-0.19595748315925332,-0.05011946909772655,-0.05011946909772655,0.0,0.0,20260719T201851-50f9dcc8|frame=289|feature_ts_ns=1784492338512394600
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,290,1784492338547137500,0.06928610801696777,0.004800564764138926,0p00-0p10,3.013716260384588,-0.007423900203806677,5.511429423608082e-05,-0.0,0.007423900203806677,0.007423900203806677,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,0.007423900203806677,flat_no_ff,10,0.36786842346191406,1.9582076285297079,-0.1,-0.1145375380125375,-0.1145375380125375,-0.051067107768895566,-0.051067107768895566,0.0,0.0,20260719T201851-50f9dcc8|frame=290|feature_ts_ns=1784492338547137500
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,291,1784492338575118800,0.09726738929748535,0.009460945020748568,0p00-0p10,2.9682008759196608,0.006589724742911418,4.3424472187338955e-05,-0.0,-0.006589724742911418,-0.006589724742911418,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,-0.006589724742911418,flat_no_ff,11,0.43027448654174805,1.9228649412106091,-0.1,-0.08732884931962755,-0.08732884931962755,-0.052005732621575276,-0.052005732621575276,0.0,0.0,20260719T201851-50f9dcc8|frame=291|feature_ts_ns=1784492338575118800
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,297,1784492338776362600,0.2985110282897949,0.08910883401063074,0p20-0p30,2.4820796959408575,0.4403460910132604,0.1939046798706586,-0.0,-0.4403460910132604,-0.4403460910132604,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,-0.4403460910132604,down,17,0.6316084861755371,1.4758699212129838,-0.1,0.549893550650186,0.549893550650186,-0.06775664885006416,-0.06775664885006416,0.0,0.0,20260719T201851-50f9dcc8|frame=297|feature_ts_ns=1784492338776362600
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,299,1784492338845719700,0.36786842346191406,0.13532717698035412,0p30-0p40,2.4221829171528055,0.10536788770184258,0.011102391758748109,-0.0,-0.10536788770184258,-0.10536788770184258,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,-0.10536788770184258,down,18,0.6671526432037354,1.4983955664260504,-0.1,0.05788277577611889,0.05788277577611889,-0.06673805117998209,-0.06673805117998209,0.0,0.0,20260719T201851-50f9dcc8|frame=299|feature_ts_ns=1784492338845719700
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,301,1784492338908125900,0.43027448654174805,0.18513613376876492,0p40-0p50,2.350909378177712,0.42546954003163834,0.1810243294947339,-0.0,-0.42546954003163834,-0.42546954003163834,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,-0.42546954003163834,down,18,0.6662600040435791,1.3923090373511018,-0.1,0.49238508570366646,0.49238508570366646,-0.0718231350349145,-0.0718231350349145,0.0,0.0,20260719T201851-50f9dcc8|frame=301|feature_ts_ns=1784492338908125900
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,302,1784492338942988400,0.4651370048522949,0.21635243328296383,0p40-0p50,2.360039073618696,0.3576430244752872,0.12790853295583085,-0.0,-0.3576430244752872,-0.3576430244752872,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,-0.3576430244752872,down,18,0.5970754623413086,1.4104049306718764,-0.1,0.4044214851403476,0.4044214851403476,-0.07090162394168806,-0.07090162394168806,0.0,0.0,20260719T201851-50f9dcc8|frame=302|feature_ts_ns=1784492338942988400
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,303,1784492338977627300,0.49977588653564453,0.24977593676248944,0p40-0p50,2.3039204113015956,0.27040403692216497,0.07311834318380356,-0.0,-0.27040403692216497,-0.27040403692216497,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,-0.27040403692216497,down,19,0.6321134567260742,1.3904027464320838,-0.1,0.27597051558290076,0.27597051558290076,-0.07192160707148362,-0.07192160707148362,0.0,0.0,20260719T201851-50f9dcc8|frame=303|feature_ts_ns=1784492338977627300
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut02,288,304,1784492339012412500,0.5345609188079834,0.2857553759168354,gt0p50,2.2229525210106056,0.22023465472723558,0.048503303142824666,-0.0,-0.22023465472723558,-0.22023465472723558,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.46532535552978516,-0.0,-0.22023465472723558,down,20,0.6666829586029053,1.3495864113377973,-0.1,0.1972256973255487,0.1972256973255487,-0.07409677450803134,-0.07409677450803134,0.0,0.0,20260719T201851-50f9dcc8|frame=304|feature_ts_ns=1784492339012412500
20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8:A1,A091,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,False,True,True,20260719T201851-50f9dcc8:A1:cut03,291,291,1784492338575118800,0.0,0.0,0p00-0p10,2.9682008759196608,-0.0,0.0,-0.0,0.0,0.0,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,16,0.49999380111694336,-0.0,0.0,flat_no_ff,8,0.3330070972442627,1.9228649412106091,-0.1,-0.1,-0.1,-0.052005732621575276,-0.052005732621575276,0.0,0.0,20260719T201851-50f9dcc8|frame=291|feature_ts_ns=1784492338575118800
