flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,sweep,fed,active_source,ready,ready_legacy,hist_n,hist_span_s,hist_gap_s,oracle_e_z
F2,20260720T071112-cd18c5fb,257,208148706621300,5.2345766,1784531478597809000,commit,True,detector,FULL_QUAD,certified,3.804182240846698,3.8393064329235718,0.28818507404503557,-0.4306050712806037,0.0,353.0,250.5,145.82523787054146,554.7457801743592,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,baseline,True,FULL_QUAD,False,False,1,0.0,inf,
F2,20260720T071112-cd18c5fb,261,208148838528000,5.3664833,1784531478729590600,commit,True,tracker,SIDE_PAIR,probation,2.964745858550118,3.3640302022299986,0.3194667352668768,-1.5572161702164067,0.0,351.50206050760517,131.0161733686522,150.52409224755348,446.2656791029501,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,baseline,True,FULL_QUAD,False,False,1,0.0,inf,
F2,20260720T071112-cd18c5fb,271,208149172092200,5.7000475,1784531479062956400,commit,True,tracker,SIDE_PAIR,none,3.318166919895278,3.377616256820985,0.2848412171099059,-0.5629612340911527,0.008064912,377.1265458958767,219.2034439888621,183.31274172990965,608.2622756034929,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,baseline,True,FULL_QUAD,False,False,1,0.0,inf,
F2,20260720T071112-cd18c5fb,285,208149636841400,6.1647967,1784531479528186500,commit,True,tracker,SIDE_PAIR,probation,2.772713872210143,3.2726213471378394,0.18149730595061306,-1.7289207594705978,0.0,339.37912090355826,100.1268288423644,150.01058674899906,415.93643485733276,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,baseline,True,FULL_QUAD,False,False,1,0.0,inf,
F2,20260720T071112-cd18c5fb,287,208149706764000,6.2347193,1784531479597761900,commit,True,tracker,SIDE_PAIR,none,2.460693708623052,2.9865717164916528,-0.02065167778891938,-1.69238606656263,0.0,285.66164380542875,80.86174796664953,187.6567223976753,461.76571618478215,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,baseline,True,FULL_QUAD,False,False,1,0.0,inf,
F2,20260720T071112-cd18c5fb,293,208149907642600,6.4355979,1784531479798964900,commit,True,tracker,SIDE_PAIR,none,2.2052379355234804,2.7479717404040604,0.045657772563667126,-1.6389599450846823,0.0079314,329.1522932048824,56.756489921388365,171.01780004907104,377.1349403179808,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,baseline,True,FULL_QUAD,False,False,1,0.0,inf,
F2,20260720T071112-cd18c5fb,298,208150074148800,6.6021041,1784531479965709900,commit,True,detector,FULL_QUAD,certified,2.1837498964465607,2.5972953327818202,0.0818673199925639,-1.4037368618715893,0.0,320.5,61.0,177.55280904564702,387.73092836722765,-0.4383662919971123,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,baseline,True,FULL_QUAD,False,False,1,0.0,inf,
F2,20260720T071112-cd18c5fb,299,208150102418200,6.6303735,1784531479993161000,commit,True,detector,FULL_QUAD,certified,2.1917528439877025,2.5853073654957344,0.07066426741800216,-1.3693210749377187,0.0,315.5,67.0,183.273020382161,401.68916364881755,-0.4101084225833649,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,baseline,True,FULL_QUAD,False,False,2,0.027451038360595703,0.027451038360595703,
F2,20260720T071112-cd18c5fb,300,208150138151700,6.666107,1784531480027996900,commit,True,detector,FULL_QUAD,certified,2.1316069599764265,2.5145829389632017,0.06634985005302814,-1.3322825610593316,0.0,310.5,68.5,185.21878954360974,394.8136609095675,-0.3362525872226713,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,baseline,True,FULL_QUAD,False,False,3,0.062287092208862305,0.0348360538482666,
F2,20260720T071112-cd18c5fb,301,208150172095000,6.7000503,1784531480062738500,commit,True,detector,FULL_QUAD,certified,2.0990217831425735,2.4555743945334574,0.06568886287687677,-1.2726500439143789,0.0,311.0,72.5,198.3053201505194,416.24718670900216,-0.3174950462830216,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,baseline,True,FULL_QUAD,False,False,4,0.09702849388122559,0.0348360538482666,
F2,20260720T071112-cd18c5fb,302,208150206326000,6.7342813,1784531480097612300,commit,True,detector,FULL_QUAD,certified,2.0128849432298743,2.3739670069776535,0.06440745894973077,-1.2569269011237463,0.0,305.0,62.5,196.1249601657066,394.77697930910966,-0.23730212551579288,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,baseline,True,FULL_QUAD,False,False,5,0.13190245628356934,0.03487396240234375,
