flight,side_frame_id,full_frame_id,range_z_m,dt_s,side_e_z,full_e_z,residual_e_m
F2,316,315,1.005559242163126,0.034568192,-0.14513023437950556,0.035191406071151066,-0.18032164045065663
F2,261,257,2.964745858550118,0.131781632,-0.45,-0.45,0.0
