t_ff,t_rel,phase,e_meas,ready,n_hist,span_s,gap_s,vz_vis,rate_auth,certified_det,feat_cert,feat_age,R,tz,admit_ok,e_cross,would_capture,owner,vz_cmd_if_term
1.5126945,5.8444629,commit,-0.45,False,1,0.0,inf,,0.0,True,certified,0.0012693000000001398,5.354890149051031,5.094493030543333,,,False,alt,
1.532459,5.8642274,commit,-0.45,False,1,0.0,inf,,0.0,True,certified,0.021033800000000102,5.328589493125201,5.018940653165879,,,False,alt,
1.5522386,5.884007,commit,-0.45,False,2,0.027538537979125977,0.027538537979125977,,0.01835902531941732,True,certified,0.008729399999999998,5.343354420095941,5.007310682337618,,,False,alt,
1.5721966,5.903965,commit,-0.45,False,3,0.0629568099975586,0.03541827201843262,,0.0629568099975586,True,certified,0.004604400000000064,5.31985443970625,4.7372475321731375,,,False,alt,
1.5920924,5.9238608,commit,-0.45,False,3,0.0629568099975586,0.03541827201843262,,0.0629568099975586,True,certified,0.024500200000000083,5.355085717523637,4.209088143426822,,,False,alt,
1.6125348,5.9443032,commit,-0.45,False,4,0.0970146656036377,0.03541827201843262,-0.0,0.12935288747151694,True,certified,0.006871700000000036,5.1527461689382745,3.6956408781230055,,,False,alt,
1.6325073,5.9642757,commit,-0.45,False,4,0.0970146656036377,0.03541827201843262,-0.0,0.12935288747151694,True,certified,0.026844200000000207,5.1324499003419035,3.6858568587573424,,,False,alt,
1.6522579,5.9840263,commit,-0.45,False,5,0.13177990913391113,0.03541827201843262,-0.0,0.2196331818898519,True,certified,0.010500500000000024,5.008548026104958,3.393515863948958,,,False,alt,
1.6723691,6.0041375,commit,-0.45,False,5,0.13177990913391113,0.03541827201843262,-0.0,0.2196331818898519,True,certified,0.03061170000000013,4.981652640700547,3.5309106075831296,,,False,alt,
1.6925552,6.0243236,commit,-0.45,True,6,0.16681146621704102,0.03541827201843262,-0.0,0.33362293243408203,True,certified,0.01461329999999994,5.115201026903725,3.601179317748232,False,-0.45,False,alt,-0.24991812975388233
1.7121643,6.0439327,commit,-0.45,True,7,0.1942143440246582,0.03541827201843262,-0.0,0.45316680272420246,True,certified,0.004563399999999884,5.125452892592291,3.7292632747515464,False,-0.45,False,alt,-0.24133453009159309
1.7325923,6.0643607,commit,-0.45,True,7,0.1942143440246582,0.03541827201843262,-0.0,0.45316680272420246,True,certified,0.024991399999999997,5.086716211460823,3.9745779037841005,False,-0.45,False,alt,-0.22643913939720028
1.7522327,6.0840011,commit,-0.45,True,8,0.22901415824890137,0.03541827201843262,-0.0,0.6107044219970703,True,certified,0.01379280000000005,5.082865733320683,4.045083831392516,False,-0.45,False,alt,-0.22249229868004392
1.7723428,6.1041112,commit,-0.45,True,8,0.22901415824890137,0.03541827201843262,-0.0,0.6107044219970703,True,certified,0.03390290000000018,5.047654081126852,4.152200586223399,False,-0.45,False,alt,-0.21675253430340363
