t_ff,t_rel,phase,e_meas,ready,n_hist,span_s,gap_s,vz_vis,rate_auth,certified_det,feat_cert,feat_age,R,tz,admit_ok,e_cross,would_capture,owner,vz_cmd_if_term
1.5161506,5.6845797,commit,-0.45,False,1,0.0,inf,,0.0,True,certified,0.013587100000000074,4.8992274014305,4.7422021761387745,,,False,alt,
1.5361103,5.7045394,commit,-0.45,False,1,0.0,inf,,0.0,True,certified,0.0335468000000001,4.878514480561313,4.715100132940137,,,False,alt,
1.556283,5.7247121,commit,-0.45,False,1,0.0,inf,,0.0,True,certified,0.05371950000000014,4.860358696238701,4.577294698486862,,,False,alt,
1.5762327,5.7446618,commit,-0.45,False,1,0.0,inf,,0.0,False,certified,0.0736692000000001,4.489497595057179,3.898431243459447,,,False,alt,
1.5960682,5.7644973,commit,-0.45,False,1,0.0,inf,,0.0,False,certified,0.0935047,4.48921490782316,3.5388397110102607,,,False,alt,
1.6161685,5.7845976,commit,-0.45,False,2,0.09737753868103027,0.09737753868103027,,0.06491835912068686,True,certified,0.0148921999999998,4.625298459449734,3.45883426117821,,,False,alt,
1.6363762,5.8048053,commit,-0.45,False,2,0.09737753868103027,0.09737753868103027,,0.06491835912068686,True,certified,0.03509989999999985,4.594706546098962,3.3688186724782225,,,False,alt,
1.6562783,5.8247074,commit,,False,2,0.09737753868103027,0.09737753868103027,,0.06491835912068686,False,none,0.000495200000000029,4.1878431044704865,2.906225879808914,,,False,alt,
1.6864588,5.8548879,commit,,False,2,0.09737753868103027,0.09737753868103027,,0.06491835912068686,False,none,8.150000000006763e-05,4.163590809322097,2.975737152070015,,,False,alt,
1.6962625,5.8646916,commit,,False,2,0.09737753868103027,0.09737753868103027,,0.06491835912068686,False,none,0.009885200000000038,4.178871299767993,2.8866283241732917,,,False,alt,
1.7163926,5.8848217,commit,-0.45,False,3,0.19457554817199707,0.09737753868103027,,0.19457554817199707,True,certified,0.017892699999999984,4.37365243151585,3.138964730719705,,,False,alt,
1.7360529,5.904482,commit,-0.45,False,4,0.22941803932189941,0.09737753868103027,-0.0,0.30589071909586596,True,certified,0.004889200000000038,4.407599268614152,3.220816777999135,,,False,alt,
1.7561407,5.9245698,commit,-0.45,False,4,0.22941803932189941,0.09737753868103027,-0.0,0.30589071909586596,True,certified,0.024977000000000027,4.365963188414759,3.3540713854402155,,,False,alt,
1.776449,5.9448781,commit,-0.45,False,5,0.26367640495300293,0.09737753868103027,-0.0,0.43946067492167157,True,certified,0.007457499999999895,4.4923286714496085,3.609046994903346,,,False,alt,
1.7962865,5.9647156,commit,-0.45,False,5,0.26367640495300293,0.09737753868103027,-0.0,0.43946067492167157,True,certified,0.027294999999999847,4.46240072671908,3.6375398823074256,,,False,alt,
1.8160605,5.9844896,commit,-0.45,True,6,0.29854822158813477,0.09737753868103027,-0.0,0.5970964431762695,True,certified,0.005572400000000144,4.425053032459592,3.678587386258897,False,-0.45,False,alt,-0.24465913284047194
1.8364671,6.0048962,commit,-0.45,True,6,0.29854822158813477,0.09737753868103027,-0.0,0.5970964431762695,True,certified,0.025978999999999974,4.372019927943282,3.713077222327971,False,-0.45,False,alt,-0.24238655597788272
1.8561733,6.0246024,commit,-0.45,True,7,0.33322906494140625,0.09737753868103027,-0.0,0.7775344848632812,True,certified,0.014621900000000077,4.421918028747529,3.818595219620888,False,-0.45,False,alt,-0.2356887672659247
1.8762802,6.0447093,commit,-0.45,True,8,0.3612325191497803,0.09737753868103027,-0.0,0.9632867177327475,True,certified,0.005061700000000169,4.257763132105441,3.716389669277941,False,-0.45,False,alt,-0.24217051495971395
1.8961935,6.0646226,commit,-0.45,True,8,0.3612325191497803,0.09737753868103027,-0.0,0.9632867177327475,True,certified,0.02497500000000019,4.197253143376656,3.703111792392259,False,-0.45,False,alt,-0.24303884150864052
1.9161693,6.0845984,commit,-0.45,True,9,0.39585018157958984,0.09737753868103027,-0.0,1.0,True,certified,0.012413499999999855,4.291679133502899,3.8482289050279364,False,-0.45,False,alt,-0.23387382149333616
1.9363452,6.1047743,commit,-0.45,True,9,0.39585018157958984,0.09737753868103027,-0.0,1.0,True,certified,0.03258939999999999,4.225605373241169,3.815063751714564,False,-0.45,False,alt,-0.23590693591831133
1.9562141,6.1246432,commit,-0.45,True,10,0.43047595024108887,0.09737753868103027,-0.0,1.0,True,certified,0.018480199999999947,4.252128214603982,3.861996681107221,False,-0.45,False,alt,-0.23304007598006873
1.976375,6.1448041,commit,-0.45,True,11,0.4650890827178955,0.09737753868103027,-0.0,1.0,True,certified,0.0032247999999999166,4.2296104620876305,3.84915817377316,False,-0.45,False,alt,-0.2338173593728339
1.99657,6.1649991,commit,-0.45,True,11,0.4650890827178955,0.09737753868103027,-0.0,1.0,True,certified,0.02341979999999988,4.18677679020866,3.6949842004823785,False,-0.45,False,alt,-0.24357343662863443
2.0163916,6.1848207,commit,-0.45,True,12,0.5000832080841064,0.09737753868103027,-0.0,1.0,True,certified,0.008798699999999826,4.16492975095353,3.680361507383517,False,-0.45,False,alt,-0.24454119471536315
2.0363376,6.2047667,commit,-0.45,True,13,0.5277798175811768,0.09737753868103027,-0.0,1.0,True,certified,0.0020438999999998764,4.136466329881596,3.6093873590768775,False,-0.45,False,alt,-0.2493497955370965
2.0562554,6.2246845,commit,-0.45,True,13,0.5277798175811768,0.09737753868103027,-0.0,1.0,True,certified,0.021961699999999862,4.095671554476354,3.5897189731808252,False,-0.45,False,alt,-0.25071600499203317
