age_lo_s,age_hi_s,n,residual_mean,residual_std,residual_mae,residual_p90_abs,age_mean
0.0,0.05,12,-0.04093549504315298,0.06837163330804029,0.04093549504315298,0.17245662969274766,0.034071872
0.05,0.12,10,-0.024983707371761754,0.04989600733611918,0.024983707371761754,0.10776930820407271,0.0862007552
0.12,0.25,12,-0.022472457613469665,0.0735289704265309,0.022472457613469665,0.0030133638422720666,0.16670318933333336
0.25,0.5,6,0.0,0.0,0.0,0.0,0.4340569173333333
0.5,1.0,12,0.0,0.0,0.0,0.0,0.7139958399999999
1.0,9.0,0,,,,,
