fid,t_ff,e_z,vz,tau,h_tail,e_x,sigma_x,claimed_envelope,obs_miss,contained,small_envelope,R
20260719T200816-f170ead6,1.5121273,-0.45,0.0,2.419675278581262,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,4.639206618502181
20260719T200816-f170ead6,1.6120671,-0.45,0.0,2.382459150096841,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,4.426017060596959
20260719T200816-f170ead6,1.9521875,-0.45,0.0,2.229988661958481,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,4.044960682206663
20260719T200816-f170ead6,2.312157,-0.45,-0.0,2.1265229348854926,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.7775348978104435
20260719T200816-f170ead6,2.352043,-0.45,-0.0,2.0987166222875397,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.721609767623003
20260719T200816-f170ead6,2.3721709,-0.45,-0.0,2.0993255154615866,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.71396403949213
20260719T200816-f170ead6,2.4721566,-0.45,-0.0,2.0507961389924723,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.6109924907060367
20260719T200816-f170ead6,2.5120986,-0.45,-0.0,2.04973428079679,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.616059771166939
20260719T200816-f170ead6,2.5320767,-0.45,-0.0,2.014611787421673,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.560598007393409
20260719T200816-f170ead6,2.5720577,-0.45,-0.0,2.0085483485426834,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.540255052308179
20260719T200816-f170ead6,2.6121641,-0.45,-0.0,1.9725050318575064,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.4623695640449523
20260719T200816-f170ead6,2.652059,-0.45,-0.0,1.9389740878102177,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.394334803526232
