slice,frame_id,cyan_frac,h_mean,s_mean,v_mean,gate_hit,gate_dist_px,n_gates_proxy
r2_f2,60,0.029948,98.15,194.1,147.1,True,0.6,1
r2_f2,61,0.030734,98.25,194.4,146.1,True,0.6,1
r2_f2,61,0.030734,98.25,194.4,146.1,True,0.6,1
r2_f2,63,0.066480,98.93,189.8,121.5,True,0.6,1
r2_f2,64,0.203863,98.93,196.8,127.5,True,0.6,1
r2_f2,65,0.222044,98.62,204.3,145.7,True,0.6,1
r2_f2,65,0.222044,98.62,204.3,145.7,True,0.6,1
r2_f2,66,0.224132,98.58,206.3,152.5,True,0.2,1
r2_f2,67,0.222812,98.59,206.0,152.1,True,0.0,1
r2_f2,67,0.222812,98.59,206.0,152.1,True,0.0,1
r2_f2,68,0.215347,98.65,204.1,148.0,,,0
r2_f2,69,0.199171,98.69,201.2,140.6,,,0
r2_f2,69,0.199171,98.69,201.2,140.6,,,0
r2_f2,69,0.199171,98.69,201.2,140.6,,,0
r2_f2,70,0.171393,98.95,197.7,132.6,,,0
r2_f2,71,0.121571,99.09,185.7,128.7,True,0.4,1
r2_f2,71,0.121571,99.09,185.7,128.7,True,0.4,1
r2_f2,71,0.121571,99.09,185.7,128.7,True,0.4,1
r2_f2,72,0.096254,99.15,182.3,127.2,True,0.2,1
r2_f2,73,0.074592,99.05,179.9,130.6,True,0.2,1
r2_f2,73,0.074592,99.05,179.9,130.6,True,0.2,1
r2_f2,76,0.060538,99.08,179.4,127.2,True,0.5,1
r2_f2,83,0.059857,98.70,187.7,128.3,True,0.2,1
r2_f2,85,0.061988,98.70,189.9,125.3,True,0.4,1
r2_f2,89,0.047765,98.64,190.4,125.2,True,0.4,1
r2_f2,90,0.039909,98.54,190.3,127.7,True,0.4,1
r2_f2,91,0.033090,98.56,189.6,130.5,True,0.6,1
r2_f3,0,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,0,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,2,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,3,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,6,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,7,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,9,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,10,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,11,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,11,0.016619,93.78,230.1,205.6,True,3.2,2
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,12,0.122370,98.84,194.8,133.8,True,8.5,1
r2_f3,13,0.083633,98.85,192.5,133.5,True,7.5,1
r2_f3,13,0.083633,98.85,192.5,133.5,True,7.5,1
r2_f3,13,0.083633,98.85,192.5,133.5,True,7.5,1
r2_f3,13,0.083633,98.85,192.5,133.5,True,7.5,1
r2_f3,13,0.083633,98.85,192.5,133.5,True,7.5,1
r2_f3,13,0.083633,98.85,192.5,133.5,True,7.5,1
r2_f3,13,0.083633,98.85,192.5,133.5,True,7.5,1
r2_f3,14,0.078234,98.95,191.3,131.8,True,0.5,1
r2_f3,14,0.078234,98.95,191.3,131.8,True,0.5,1
r2_f3,14,0.078234,98.95,191.3,131.8,True,0.5,1
r2_f3,14,0.078234,98.95,191.3,131.8,True,0.5,1
r2_f3,14,0.078234,98.95,191.3,131.8,True,0.5,1
r2_f3,14,0.078234,98.95,191.3,131.8,True,0.5,1
r2_f3,15,0.073038,98.96,190.9,131.6,True,0.5,1
r2_f3,15,0.073038,98.96,190.9,131.6,True,0.5,1
r2_f3,15,0.073038,98.96,190.9,131.6,True,0.5,1
r2_f3,15,0.073038,98.96,190.9,131.6,True,0.5,1
r2_f3,15,0.073038,98.96,190.9,131.6,True,0.5,1
r2_f3,15,0.073038,98.96,190.9,131.6,True,0.5,1
r2_f3,15,0.073038,98.96,190.9,131.6,True,0.5,1
r2_f3,15,0.073038,98.96,190.9,131.6,True,0.5,1
r2_f3,16,0.065803,98.83,191.8,133.2,True,0.5,1
r2_f3,16,0.065803,98.83,191.8,133.2,True,0.5,1
r2_f3,16,0.065803,98.83,191.8,133.2,True,0.5,1
r2_f3,16,0.065803,98.83,191.8,133.2,True,0.5,1
r2_f3,16,0.065803,98.83,191.8,133.2,True,0.5,1
r2_f3,16,0.065803,98.83,191.8,133.2,True,0.5,1
r2_f3,16,0.065803,98.83,191.8,133.2,True,0.5,1
r2_f3,16,0.065803,98.83,191.8,133.2,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,17,0.060577,98.77,193.3,135.3,True,0.5,1
r2_f3,18,0.056966,98.68,194.2,137.5,True,0.2,1
r2_f3,18,0.056966,98.68,194.2,137.5,True,0.2,1
r2_f3,18,0.056966,98.68,194.2,137.5,True,0.2,1
r2_f3,18,0.056966,98.68,194.2,137.5,True,0.2,1
r2_f3,18,0.056966,98.68,194.2,137.5,True,0.2,1
r2_f3,18,0.056966,98.68,194.2,137.5,True,0.2,1
r2_f3,19,0.057691,98.64,194.2,137.0,True,0.6,1
r2_f3,19,0.057691,98.64,194.2,137.0,True,0.6,1
r2_f3,19,0.057691,98.64,194.2,137.0,True,0.6,1
r2_f3,19,0.057691,98.64,194.2,137.0,True,0.6,1
r2_f3,19,0.057691,98.64,194.2,137.0,True,0.6,1
r2_f3,19,0.057691,98.64,194.2,137.0,True,0.6,1
r2_f3,19,0.057691,98.64,194.2,137.0,True,0.6,1
r2_f3,20,0.057856,98.62,194.7,137.3,True,0.6,1
r2_f3,20,0.057856,98.62,194.7,137.3,True,0.6,1
r2_f3,20,0.057856,98.62,194.7,137.3,True,0.6,1
r2_f3,20,0.057856,98.62,194.7,137.3,True,0.6,1
r2_f3,20,0.057856,98.62,194.7,137.3,True,0.6,1
r2_f3,20,0.057856,98.62,194.7,137.3,True,0.6,1
r2_f3,20,0.057856,98.62,194.7,137.3,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,21,0.058733,98.61,194.2,136.6,True,0.6,1
r2_f3,22,0.059740,98.62,193.6,136.0,True,0.7,1
r2_f3,22,0.059740,98.62,193.6,136.0,True,0.7,1
r2_f3,22,0.059740,98.62,193.6,136.0,True,0.7,1
r2_f3,22,0.059740,98.62,193.6,136.0,True,0.7,1
r2_f3,22,0.059740,98.62,193.6,136.0,True,0.7,1
r2_f3,22,0.059740,98.62,193.6,136.0,True,0.7,1
r2_f3,22,0.059740,98.62,193.6,136.0,True,0.7,1
r2_f3,23,0.061089,98.63,193.1,135.2,True,0.7,1
r2_f3,23,0.061089,98.63,193.1,135.2,True,0.7,1
r2_f3,23,0.061089,98.63,193.1,135.2,True,0.7,1
r2_f3,23,0.061089,98.63,193.1,135.2,True,0.7,1
r2_f3,23,0.061089,98.63,193.1,135.2,True,0.7,1
r2_f3,23,0.061089,98.63,193.1,135.2,True,0.7,1
r2_f3,23,0.061089,98.63,193.1,135.2,True,0.7,1
r2_f3,23,0.061089,98.63,193.1,135.2,True,0.7,1
r2_f3,24,0.062535,98.68,192.5,134.4,True,0.6,1
r2_f3,24,0.062535,98.68,192.5,134.4,True,0.6,1
r2_f3,24,0.062535,98.68,192.5,134.4,True,0.6,1
r2_f3,24,0.062535,98.68,192.5,134.4,True,0.6,1
r2_f3,24,0.062535,98.68,192.5,134.4,True,0.6,1
r2_f3,24,0.062535,98.68,192.5,134.4,True,0.6,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,25,0.063459,98.70,192.0,133.5,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,26,0.064028,98.73,191.5,132.2,True,0.7,1
r2_f3,27,0.064475,98.83,190.7,130.9,True,0.6,1
r2_f3,27,0.064475,98.83,190.7,130.9,True,0.6,1
r2_f3,27,0.064475,98.83,190.7,130.9,True,0.6,1
r2_f3,27,0.064475,98.83,190.7,130.9,True,0.6,1
r2_f3,27,0.064475,98.83,190.7,130.9,True,0.6,1
r2_f3,27,0.064475,98.83,190.7,130.9,True,0.6,1
r2_f3,27,0.064475,98.83,190.7,130.9,True,0.6,1
r2_f3,27,0.064475,98.83,190.7,130.9,True,0.6,1
r2_f3,28,0.064518,98.90,190.0,129.8,True,0.6,1
r2_f3,28,0.064518,98.90,190.0,129.8,True,0.6,1
r2_f3,28,0.064518,98.90,190.0,129.8,True,0.6,1
r2_f3,28,0.064518,98.90,190.0,129.8,True,0.6,1
r2_f3,28,0.064518,98.90,190.0,129.8,True,0.6,1
r2_f3,28,0.064518,98.90,190.0,129.8,True,0.6,1
r2_f3,28,0.064518,98.90,190.0,129.8,True,0.6,1
r2_f3,28,0.064518,98.90,190.0,129.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,29,0.065091,98.92,189.8,128.8,True,0.6,1
r2_f3,30,0.066406,98.96,189.5,127.5,True,0.6,1
r2_f3,30,0.066406,98.96,189.5,127.5,True,0.6,1
r2_f3,30,0.066406,98.96,189.5,127.5,True,0.6,1
r2_f3,30,0.066406,98.96,189.5,127.5,True,0.6,1
r2_f3,30,0.066406,98.96,189.5,127.5,True,0.6,1
r2_f3,30,0.066406,98.96,189.5,127.5,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,31,0.068637,98.96,189.8,126.4,True,0.6,1
r2_f3,32,0.075625,99.02,189.8,124.1,True,0.6,1
r2_f3,32,0.075625,99.02,189.8,124.1,True,0.6,1
r2_f3,32,0.075625,99.02,189.8,124.1,True,0.6,1
r2_f3,32,0.075625,99.02,189.8,124.1,True,0.6,1
r2_f3,32,0.075625,99.02,189.8,124.1,True,0.6,1
r2_f3,32,0.075625,99.02,189.8,124.1,True,0.6,1
r2_f3,32,0.075625,99.02,189.8,124.1,True,0.6,1
r2_f3,32,0.075625,99.02,189.8,124.1,True,0.6,1
r2_f3,33,0.133889,99.05,192.4,120.1,True,0.6,1
r2_f3,33,0.133889,99.05,192.4,120.1,True,0.6,1
