regime,n,age_min_s,age_max_s,rate_error_rms_mps,sigma_a_rms_mps2,sigma_a_centered_mps2
switch_adjacent,3,0.1667172908782959,0.19449329376220703,0.10396268430614014,0.5369909739176394,0.22324418358023024
maintenance,13,0.22933053970336914,0.430652379989624,0.5503501496945201,2.1543323686557536,1.7468780556656083
