fid,t_ff,R,bearing,elev,error_vs_exit_deg,abs_error_vs_exit_deg,error_vs_cross_truth_deg
20260714T211404-58cd98ad,3.1127888,11.032059977082426,36.31487480985157,-0.9322271461641536,40.044565704072966,40.044565704072966,-6.856147616365092
20260714T211404-58cd98ad,3.123952,11.032059977082426,36.31487480985157,-0.9322271461641536,40.044565704072966,40.044565704072966,-6.856147616365092
20260714T211404-58cd98ad,3.1341769,11.032059977082426,36.31487480985157,-0.9322271461641536,40.044565704072966,40.044565704072966,-6.856147616365092
20260714T211404-58cd98ad,3.1416122,11.48358588712033,37.329766915575604,-1.432870026430648,41.05945780979698,41.05945780979698,-5.841255510641048
20260714T211404-58cd98ad,3.1504226,11.48358588712033,37.329766915575604,-1.432870026430648,41.05945780979698,41.05945780979698,-5.841255510641048
20260714T211404-58cd98ad,3.1636729,11.48358588712033,37.329766915575604,-1.432870026430648,41.05945780979698,41.05945780979698,-5.841255510641048
20260714T211404-58cd98ad,3.1698895,11.48358588712033,37.329766915575604,-1.432870026430648,41.05945780979698,41.05945780979698,-5.841255510641048
20260714T211404-58cd98ad,3.181285,11.235146576466366,38.05804218490802,-3.1087962097334567,41.787733079129396,41.787733079129396,-5.112980241308634
20260714T211404-58cd98ad,3.1912837,11.235146576466366,38.05804218490802,-3.1087962097334567,41.787733079129396,41.787733079129396,-5.112980241308634
20260714T211404-58cd98ad,3.2029076,11.235146576466366,38.05804218490802,-3.1087962097334567,41.787733079129396,41.787733079129396,-5.112980241308634
20260714T211404-58cd98ad,3.2116028,11.235146576466366,38.05804218490802,-3.1087962097334567,41.787733079129396,41.787733079129396,-5.112980241308634
20260714T211404-58cd98ad,3.2215194,11.282002768099032,39.105716010973325,-4.959650929543414,42.8354069051947,42.8354069051947,-4.065306415243327
20260714T211404-58cd98ad,3.2314009,11.282002768099032,39.105716010973325,-4.959650929543414,42.8354069051947,42.8354069051947,-4.065306415243327
20260714T211404-58cd98ad,3.2372162,11.282002768099032,39.105716010973325,-4.959650929543414,42.8354069051947,42.8354069051947,-4.065306415243327
20260714T211404-58cd98ad,3.245879,11.282002768099032,39.105716010973325,-4.959650929543414,42.8354069051947,42.8354069051947,-4.065306415243327
20260714T211404-58cd98ad,3.5439729,9.998239428447206,41.3719600344767,2.345137508378008,45.10165092869809,45.10165092869809,-1.799062391739966
20260714T211404-58cd98ad,3.5484771,9.998239428447206,41.3719600344767,2.345137508378008,45.10165092869809,45.10165092869809,-1.799062391739966
20260714T211404-58cd98ad,3.5581094,9.998239428447206,41.3719600344767,2.345137508378008,45.10165092869809,45.10165092869809,-1.799062391739966
20260714T211404-58cd98ad,3.5747462,9.8896224132788,41.463926632129485,2.3848180749761783,45.19361752635086,45.19361752635086,-1.7070957940871665
20260714T211404-58cd98ad,3.5812236,9.8896224132788,41.463926632129485,2.3848180749761783,45.19361752635086,45.19361752635086,-1.7070957940871665
20260714T211404-58cd98ad,3.5875852,9.8896224132788,41.463926632129485,2.3848180749761783,45.19361752635086,45.19361752635086,-1.7070957940871665
20260714T211404-58cd98ad,3.6030171,9.8896224132788,41.463926632129485,2.3848180749761783,45.19361752635086,45.19361752635086,-1.7070957940871665
20260714T211404-58cd98ad,3.6146403,9.733993458235542,41.47228401265236,2.7152872938409165,45.201974906873744,45.201974906873744,-1.6987384135642856
20260714T211404-58cd98ad,3.6232372,9.733993458235542,41.47228401265236,2.7152872938409165,45.201974906873744,45.201974906873744,-1.6987384135642856
20260714T211404-58cd98ad,3.6314068,9.733993458235542,41.47228401265236,2.7152872938409165,45.201974906873744,45.201974906873744,-1.6987384135642856
20260714T211404-58cd98ad,3.6369002,9.733993458235542,41.47228401265236,2.7152872938409165,45.201974906873744,45.201974906873744,-1.6987384135642856
20260715T122040-22978559,2.6148838,8.180365897615063,26.706862950137047,21.535804159889807,90.49560789655754,90.49560789655754,-8.102270339380311
20260715T122040-22978559,2.6223718,8.180365897615063,26.706862950137047,21.535804159889807,90.49560789655754,90.49560789655754,-8.102270339380311
20260715T122040-22978559,2.6302606,8.180365897615063,26.706862950137047,21.535804159889807,90.49560789655754,90.49560789655754,-8.102270339380311
20260715T122040-22978559,2.6446111,7.978134232130102,26.89125610088602,21.414569998914544,90.68000104730652,90.68000104730652,-7.917877188631337
20260715T122040-22978559,2.651464,7.978134232130102,26.89125610088602,21.414569998914544,90.68000104730652,90.68000104730652,-7.917877188631337
20260715T122040-22978559,2.6647539,7.978134232130102,26.89125610088602,21.414569998914544,90.68000104730652,90.68000104730652,-7.917877188631337
20260715T122040-22978559,2.6702224,7.919710590381366,27.430490305431544,21.244050504114302,91.21923525185207,91.21923525185207,-7.378642984085815
20260715T122040-22978559,2.6823864,7.919710590381366,27.430490305431544,21.244050504114302,91.21923525185207,91.21923525185207,-7.378642984085815
20260715T122040-22978559,2.6919019,7.919710590381366,27.430490305431544,21.244050504114302,91.21923525185207,91.21923525185207,-7.378642984085815
20260715T122040-22978559,2.7042623,7.919710590381366,27.430490305431544,21.244050504114302,91.21923525185207,91.21923525185207,-7.378642984085815
20260715T122040-22978559,2.7134787,7.953582873913437,26.752421253726563,21.374665940452346,90.54116620014707,90.54116620014707,-8.056712035790781
