fid,fixture,error,t_pass_ff,pass_source,gate2_visible_pre_cross,exit_bearing,cross_error_vs_exit_deg,abs_cross_error_deg,succ_R,ambiguous
20260714T202447-58cd98ad,20260714T203252-phase3a-r2training,,5.4485209,tz_signflip,False,27.755687149846604,-37.18922573530759,37.18922573530759,12.096136807866856,False
20260714T202743-58cd98ad,20260714T203252-phase3a-r2training,,3.1401462,closest_state,False,-166.0847150752647,-172.70717406215016,172.70717406215016,8.955280738232293,False
20260714T210518-58cd98ad,20260714T212450-phase3b-r2training,,3.464152,closest_state,False,5.970672763226137,-35.31740175963375,35.31740175963375,10.782207535816331,False
20260714T211404-58cd98ad,20260714T212450-phase3b-r2training,,3.9448687,tz_signflip,True,-3.7296908942213842,46.90071332043806,46.90071332043806,8.265774613953607,False
20260715T045100-411f3135,20260715T052244-phase3c-r2training,,3.4318934,closest_state,False,-3.9165302923808816,36.61152586922606,36.61152586922606,11.948763699466774,False
20260715T045458-411f3135,20260715T052244-phase3c-r2training,,3.7918755,tz_signflip,False,-4.0943741451190885,33.4203638872786,33.4203638872786,7.814673556108983,False
20260715T121747-22978559,20260715T135600-phase3d-r2training,,3.3561024,tz_signflip,False,-2.791668512810927,2.902558332732468,2.902558332732468,10.509789675933918,False
20260715T122040-22978559,20260715T135600-phase3d-r2training,,3.4996813,tz_signflip,True,-63.788744946420515,98.59787823593786,98.59787823593786,7.442063788833866,False
20260715T122352-22978559,20260715T135600-phase3d-r2training,,4.1282033,tz_signflip,False,-14.403937809565162,19.5559171186228,19.5559171186228,9.614853822801937,False
20260715T185046-8e6cf1f5,20260715T190627-phase3e-r2training-slow,,3.4082346,closest_state,False,-2.6263120021491315,,,,
20260715T203300-8edfeec4,20260715T211420-phase3g-r2training,,8.0401808,closest_state,True,65.36124447807079,-112.07471158386176,112.07471158386176,9.591685930964498,False
20260715T205845-fc86a160,20260715T211420-phase3g-r2training,,7.5082014,tz_signflip,False,-12.39939926962357,6.670525457684931,6.670525457684931,5.434191311725825,False
20260715T213138-8edfeec4,20260716T023148-phase3h-r2training,,4.4041018,tz_signflip,True,171.85312154816532,-137.46419461881592,137.46419461881592,9.43745918850383,False
20260715T213225-8edfeec4,20260716T023148-phase3h-r2training,,4.1000743,closest_state,False,-10.512081547368844,17.943454651845997,17.943454651845997,7.638237566482477,False
20260715T213406-fc86a160,20260716T023148-phase3h-r2training,,3.1685236,closest_state,False,1.98701235352839,-16.98012688406095,16.98012688406095,3.2052706956024384,False
20260716T022502-8edfeec4,20260716T023148-phase3h-r2training,,4.9200053,tz_signflip,True,180.0,-135.20025578589596,135.20025578589596,8.072732321854007,False
20260716T113216-8edfeec4,20260716T115732-phase3i-r2training,,3.4713251,closest_state,False,-6.133580853077443,32.85970575360909,32.85970575360909,9.118112494003693,False
20260716T130659-8edfeec4,20260716T132549-phase3j-r2training-rerun,,4.140217,closest_state,False,-10.979747610039599,28.62177597193744,28.62177597193744,11.542233220866004,False
20260716T131137-2ca531c3,20260716T132549-phase3j-r2training-rerun,,3.7574043,hud,False,-2.4910057646382535,31.849325451832897,31.849325451832897,6.8391402604029325,False
20260716T131630-8edfeec4,20260716T132549-phase3j-r2training-rerun,,4.732278,closest_state,True,180.0,-164.29342253195972,164.29342253195972,9.390766434080225,False
20260716T133531-927a4c97,20260716T135229-phase4a-r2training-chain,,3.1838954,closest_state,False,3.873949610054874,29.900793544214764,29.900793544214764,8.870129741074706,False
20260716T134842-927a4c97,20260716T135229-phase4a-r2training-chain,,5.4358423,tz_signflip,False,180.0,140.9965149862266,140.9965149862266,8.693138632136607,False
20260716T143604-927a4c97,20260716T144305-phase4b-r2training-chain,,8.468015,tz_signflip,False,-16.534960746273757,,,,
20260716T143739-927a4c97,20260716T144305-phase4b-r2training-chain,,4.0161737,tz_signflip,False,-15.73247602248365,28.835280971179174,28.835280971179174,6.90127601304201,False
20260716T143915-927a4c97,20260716T144305-phase4b-r2training-chain,,3.0041093,closest_state,False,-29.043116783764134,,,,
20260716T153853-927a4c97,20260716T154946-phase4b-r2training-chain-v2,,3.4999211,tz_signflip,False,4.647401701193121,19.98061127248829,19.98061127248829,10.18803603168635,False
20260716T164931-927a4c97,20260716T174215-phase4c-r2training-chain,,3.3118386,closest_state,False,-3.8849446008665653,0.3772854400780261,0.3772854400780261,14.90868117885261,False
20260716T165306-927a4c97,20260716T174215-phase4c-r2training-chain,,3.7123019,tz_signflip,False,18.681988781420703,7.9279983576888355,7.9279983576888355,9.929049560577827,False
20260716T165535-927a4c97,20260716T174215-phase4c-r2training-chain,,3.7719086,tz_signflip,False,-2.403831744905311,15.562229679853772,15.562229679853772,8.458073900891732,False
20260716T203450-2ca531c3,20260716T212744-phase5-closerange-frames,,3.7719298,tz_signflip,True,-1.5786198542591454,19.421805396602593,19.421805396602593,10.039153185415403,False
20260717T090941-debf3ec1,20260717T092008-phase5b-confirm,,3.5957503,tz_signflip,False,-4.368052856105096,44.71569867620249,44.71569867620249,11.75551204074138,False
20260717T091107-debf3ec1,20260717T092008-phase5b-confirm,,5.9717648,tz_signflip,False,180.0,132.54972764300732,132.54972764300732,3.670577699130119,False
20260717T091239-debf3ec1,20260717T092008-phase5b-confirm,,3.5201789,closest_state,False,-5.4451600921243335,29.241267653954992,29.241267653954992,8.979495723202657,False
20260717T095722-a560c093,20260717T100347-phase5c-ownership,,3.9437495,tz_signflip,True,180.0,-129.51140199910267,129.51140199910267,7.2894001635594305,False
20260717T095851-a560c093,20260717T100347-phase5c-ownership,,3.2764726,closest_state,False,2.2687348299431083,0.8445361361699497,0.8445361361699497,7.930463872443425,False
20260717T100017-a560c093,20260717T100347-phase5c-ownership,,3.4517593,tz_signflip,False,-6.240327382332213,37.40407056929001,37.40407056929001,9.375973347430758,False
20260717T101837-7223cc0c,20260717T102447-phase5d-vertical,,4.7319267,tz_signflip,False,12.46304481786709,-37.14156347826574,37.14156347826574,4.175267009845017,False
20260717T102007-7223cc0c,20260717T102447-phase5d-vertical,,3.4035741,tz_signflip,False,-0.3520785108184703,38.788622569305915,38.788622569305915,8.936063747253852,False
20260717T102132-7223cc0c,20260717T102447-phase5d-vertical,,13.1998387,tz_signflip,False,180.0,,,,
