cohort,sweep,flight,side_frame_id,withheld_full_frame_id,anchor_frame_id,side_ts_s,anchor_ts_s,time_since_anchor_s,time_since_anchor_bin,range_z_m,range_bin,side_e_z,withheld_full_e_z,anchor_side_e_z,anchor_full_e_z,maintenance_residual_e_m,anchor_residual_e_m,residual_drift_from_anchor_m,maintenance_interval_v_mps,full_withheld_below_m
sweep29,drop_full_below_2p0m,20260719T201851-50f9dcc8,312,312,307,1784492339.276071,1784492339.1094599,0.1666111946105957,0p10-0p25,1.5979612740538265,1p5-2p0,-0.45,-0.40913566493568826,-0.45,-0.45,-0.04086433506431175,0.0,-0.04086433506431175,-0.24526764338866922,2.0
sweep29,drop_full_below_2p0m,20260719T201851-50f9dcc8,313,313,307,1784492339.311109,1784492339.1094599,0.20164918899536133,0p10-0p25,1.4694710908491615,1p0-1p5,-0.45,-0.4044994646635328,-0.45,-0.45,-0.045500535336467196,0.0,-0.045500535336467196,-0.22564204479648997,2.0
sweep29,drop_full_below_2p0m,20260719T201851-50f9dcc8,314,314,307,1784492339.3456786,1784492339.1094599,0.23621869087219238,0p10-0p25,1.3850133868307322,1p0-1p5,-0.45,-0.3568618961010103,-0.45,-0.45,-0.09313810389898969,0.0,-0.09313810389898969,-0.3942876135461383,2.0
sweep29,drop_full_below_2p0m,20260719T201851-50f9dcc8,315,315,307,1784492339.3803594,1784492339.1094599,0.27089953422546387,0p25-0p50,1.3271587416031214,1p0-1p5,-0.4174870015198588,-0.3232203044904954,-0.45,-0.45,-0.09426669702936341,0.0,-0.09426669702936341,-0.3479765932373559,2.0
sweep29,drop_full_below_2p0m,20260719T201851-50f9dcc8,316,316,307,1784492339.4078956,1784492339.1094599,0.29843568801879883,0p25-0p50,1.2677735845134732,1p0-1p5,-0.3559877952488162,-0.24491759983445904,-0.45,-0.45,-0.11107019541435714,0.0,-0.11107019541435714,-0.3721746422209421,2.0
sweep29,drop_full_below_2p0m,20260719T201851-50f9dcc8,317,317,307,1784492339.4428716,1784492339.1094599,0.33341169357299805,0p25-0p50,1.2139706654873417,1p0-1p5,-0.3482329262576793,-0.21727889165352687,-0.45,-0.45,-0.13095403460415245,0.0,-0.13095403460415245,-0.3927697712122416,2.0
sweep29,drop_full_below_2p0m,20260719T201851-50f9dcc8,318,318,307,1784492339.4774024,1784492339.1094599,0.36794257164001465,0p25-0p50,1.1292388301472043,1p0-1p5,-0.3064846152470597,-0.20851966911705316,-0.45,-0.45,-0.09796494613000656,0.0,-0.09796494613000656,-0.2662506425754204,2.0
sweep29,drop_full_below_2p0m,20260719T201851-50f9dcc8,319,319,307,1784492339.5121758,1784492339.1094599,0.40271592140197754,0p25-0p50,1.0461905435399257,1p0-1p5,-0.2932941588561862,-0.19243543235992103,-0.45,-0.45,-0.10085872649626518,0.0,-0.10085872649626518,-0.25044633483857565,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,280,280,279,1784528891.6463976,1784528891.6120477,0.034349918365478516,0p00-0p10,1.963557618527369,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,281,281,279,1784528891.674289,1784528891.6120477,0.062241315841674805,0p00-0p10,1.902412610111217,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,282,282,279,1784528891.7090962,1784528891.6120477,0.09704852104187012,0p00-0p10,1.8046179651629908,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,283,283,279,1784528891.7437947,1784528891.6120477,0.13174700736999512,0p10-0p25,1.6993440249983873,1p5-2p0,-0.45,-0.44717048549212546,-0.45,-0.45,-0.002829514507874553,0.0,-0.002829514507874553,-0.02147687878729733,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,284,284,279,1784528891.7784452,1784528891.6120477,0.1663975715637207,0p10-0p25,1.6247407290736346,1p5-2p0,-0.45,-0.41054728156057707,-0.45,-0.45,-0.03945271843942294,0.0,-0.03945271843942294,-0.23709912391548826,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,285,285,279,1784528891.813225,1784528891.6120477,0.20117735862731934,0p10-0p25,1.5524131087453132,1p5-2p0,-0.4088480811891772,-0.36555004448247863,-0.45,-0.45,-0.04329803670669857,0.0,-0.04329803670669857,-0.2152232090237754,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,286,286,279,1784528891.8408537,1784528891.6120477,0.2288060188293457,0p10-0p25,1.492463993411707,1p0-1p5,-0.3979434879540166,-0.34398305750939495,-0.45,-0.45,-0.05396043044462162,0.0,-0.05396043044462162,-0.2358348382647567,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,287,287,279,1784528891.8756924,1784528891.6120477,0.2636446952819824,0p25-0p50,1.3970277249409886,1p0-1p5,-0.37867440399295216,-0.33283458686598905,-0.45,-0.45,-0.04583981712696311,0.0,-0.04583981712696311,-0.1738696736451872,2.0
