cohort,sweep,range_bin,time_since_anchor_bin,n,bias_residual_e_m,sigma_residual_e_m,maintenance_sigma_v_mps,maintenance_std_v_mps,median_time_since_anchor_s,median_range_z_m
sweep29,drop_full_below_2p0m,1p5-2p0,0p25-0p50,1,-0.0033481820469689616,,,,0.26378464698791504,1.523484993470197
sweep29,drop_full_below_2p0m,1p5-2p0,0p50-1p00,1,0.0,,,,0.9996757507324219,1.9118508698685193
sweep29,drop_full_below_2p0m,1p5-2p0,gte1p00,2,0.0,0.0,0.0,0.0,4.55144989490509,1.8917316276240492
sweep29,drop_full_below_2p0m,1p0-1p5,all,14,-0.09299933093547001,0.037246019994656446,0.0714096052416344,0.07410524952376069,0.3157768249511719,1.2541904392428984
sweep29,drop_full_below_2p0m,1p0-1p5,0p10-0p25,3,-0.0641996898933595,0.020751968744855413,0.07721003309296526,0.09456259205058407,0.2288060188293457,1.4694710908491615
sweep29,drop_full_below_2p0m,1p0-1p5,0p25-0p50,11,-0.10085377849240927,0.03688177385880883,0.06970462355554032,0.07310682594342024,0.33341169357299805,1.2139706654873417
sweep29,drop_full_below_2p0m,0p5-1p0,all,1,-0.0655097691462635,,,,0.4300100803375244,0.9888656627732936
sweep29,drop_full_below_2p0m,0p5-1p0,0p25-0p50,1,-0.0655097691462635,,,,0.4300100803375244,0.9888656627732936
sweep29,all_full_withheld,all,all,58,-0.05373266374487738,0.05094252301076094,0.19526875666241664,0.19697419303100067,0.166589617729187,1.492463993411707
sweep29,all_full_withheld,all,0p00-0p10,17,-0.02675187389114409,0.03426024067849595,0.24143676813667603,0.2488673242338189,0.062467336654663086,1.8446245029045305
sweep29,all_full_withheld,all,0p10-0p25,24,-0.0536319470203784,0.044317946759238405,0.18188509489239604,0.18579704984979223,0.166589617729187,1.5224385510785101
sweep29,all_full_withheld,all,0p25-0p50,14,-0.09818185089745406,0.04980591105074654,0.09627203238070192,0.09990620950207899,0.333223819732666,1.1825523492283985
sweep29,all_full_withheld,all,0p50-1p00,1,0.0,,,,0.9996757507324219,1.9118508698685193
sweep29,all_full_withheld,all,gte1p00,2,0.0,0.0,0.0,0.0,4.55144989490509,1.8917316276240492
sweep29,all_full_withheld,1p5-2p0,all,28,-0.01362477473990001,0.028774318664931322,0.14153041924510887,0.1441275242954547,0.13176143169403076,1.8125694711279403
sweep29,all_full_withheld,1p5-2p0,0p00-0p10,12,-0.011372932437843106,0.026506679994150566,0.15427395387761578,0.1611338895961968,0.06269049644470215,1.9025808377996003
sweep29,all_full_withheld,1p5-2p0,0p10-0p25,12,-0.020139193451342838,0.033564685610511076,0.13449752349626956,0.14047808173246198,0.14921915531158447,1.6739278086057277
sweep29,all_full_withheld,1p5-2p0,0p25-0p50,1,-0.0033481820469689616,,,,0.26378464698791504,1.523484993470197
sweep29,all_full_withheld,1p5-2p0,0p50-1p00,1,0.0,,,,0.9996757507324219,1.9118508698685193
sweep29,all_full_withheld,1p5-2p0,gte1p00,2,0.0,0.0,0.0,0.0,4.55144989490509,1.8917316276240492
sweep29,all_full_withheld,1p0-1p5,all,28,-0.09299933093547001,0.037246019994656446,0.1449994602250409,0.14766022271310852,0.23245537281036377,1.2541904392428984
sweep29,all_full_withheld,1p0-1p5,0p00-0p10,5,-0.06366133337906646,0.01935488289830099,0.24696654378870445,0.2761169900398608,0.062467336654663086,1.3970277249409886
sweep29,all_full_withheld,1p0-1p5,0p10-0p25,11,-0.08908969435697309,0.02371582672775832,0.13604487960858264,0.1426850734817245,0.19410371780395508,1.2406072939723234
sweep29,all_full_withheld,1p0-1p5,0p25-0p50,12,-0.10880733011426037,0.04407673562633592,0.06678187273318345,0.06975139119434584,0.333223819732666,1.1825523492283985
sweep29,all_full_withheld,0p5-1p0,all,2,-0.0655097691462635,0.0,0.02763968027787904,0.03908841070863269,0.32942140102386475,0.9888656627732936
sweep29,all_full_withheld,0p5-1p0,0p10-0p25,1,-0.0655097691462635,,,,0.22883272171020508,0.9888656627732936
sweep29,all_full_withheld,0p5-1p0,0p25-0p50,1,-0.0655097691462635,,,,0.4300100803375244,0.9888656627732936
