flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,cohort,setpoint_speed_xy_mps,sweep,fed,source_valid,active_sample,observer_ready,ready_legacy,shadow_owner,shadow_capture,shadow_phase,active_source,hist_n,hist_span_s,hist_gap_s,admission_score,admission_mu,admission_sigma,admission_h_tail_s,admission_vz_vis_mps,admission_e_cross_m,sigma_induced_abort,oracle_e_z,oracle_disarmed,jump_grace_consumed,applied_e_z,transition_id
F2,20260720T071112-cd18c5fb,300,208150138151700,6.666107,1784531480027996900,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,2.1316069594271383,2.514582938653053,0.06634985106156188,-1.3322825613025646,0.0,317.49444581019475,67.86252290741189,203.78346669583482,434.38625582502993,-0.37349484607163175,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.4694309838304604,baseline,True,True,False,False,False,alt,False,position,FULL_QUAD,3,0.062287092208862305,0.0348360538482666,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,301,208150172095000,6.7000503,1784531480062738500,feature,commit,True,detector,FULL_QUAD,certified,2.0990217831725255,2.455574394975062,0.06568886477603565,-1.272650044619026,0.0,311.0,72.5,198.3053201505194,416.2471867149418,-0.31749504177958443,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.4727375903692235,baseline,True,True,True,False,False,alt,False,position,FULL_QUAD,4,0.09702849388122559,0.0348360538482666,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,301,208150172095000,6.7000503,1784531480062738500,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,2.0990217831725255,2.455574394975062,0.06568886477603565,-1.272650044619026,0.0,319.8210598432418,71.08728897552578,208.39006163359895,437.41527876558933,-0.32999851775330674,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.4727375903692235,baseline,True,True,False,False,False,alt,False,position,FULL_QUAD,4,0.09702849388122559,0.0348360538482666,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,302,208150206326000,6.7342813,1784531480097612300,feature,commit,True,detector,FULL_QUAD,certified,2.0128849435913914,2.37396700792764,0.06440746223697916,-1.2569269021706009,0.0,305.0,62.5,196.1249601657066,394.7769793800122,-0.23730212156147812,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.475797690063491,baseline,True,True,True,False,False,alt,False,position,FULL_QUAD,5,0.13190245628356934,0.03487396240234375,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,302,208150206326000,6.7342813,1784531480097612300,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,2.0128849435913914,2.37396700792764,0.06440746223697916,-1.2569269021706009,0.0,314.85132602169557,62.508053583174934,220.7756887057775,444.3960597068795,-0.300188567374107,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.475797690063491,baseline,True,True,False,False,False,alt,False,position,FULL_QUAD,5,0.13190245628356934,0.03487396240234375,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,303,208150241394800,6.7693501,1784531480132076000,feature,commit,True,detector,FULL_QUAD,certified,1.9027490654879835,2.292879666489552,0.03521499511243838,-1.2789069797702557,0.0,295.0,49.0,208.0384579831335,395.8449815129684,-0.23254347185842905,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.4431185325724492,baseline,True,True,True,True,False,term,True,position,FULL_QUAD,6,0.1663661003112793,0.03487396240234375,0.22131123298279648,0.07988987674548695,0.07071067811865477,0.5,-0.4253071902258842,-0.01988987674548695,False,-0.23254347185842905,False,False,-0.23254347185842905,
F2,20260720T071112-cd18c5fb,303,208150241394800,6.7693501,1784531480132076000,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,1.9027490654879835,2.292879666489552,0.03521499511243838,-1.2789069797702557,0.0,309.90377284272785,47.085551984685736,234.0265491702013,445.29379773297813,-0.2824694106673621,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.4431185325724492,baseline,True,True,False,True,False,term,True,position,FULL_QUAD,6,0.1663661003112793,0.03487396240234375,0.22131123298279648,0.07988987674548695,0.07071067811865477,0.5,-0.4253071902258842,-0.01988987674548695,False,-0.23254347185842905,False,False,-0.23254347185842905,
F2,20260720T071112-cd18c5fb,304,208150268520200,6.7964755,1784531480159929900,feature,commit,True,detector,FULL_QUAD,certified,1.8205209770928898,2.225537378690966,0.007765283910585188,-1.2801014398402932,0.0,282.5,39.0,213.03755537463343,387.8393384681083,-0.1851786338621162,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.4281072296813142,baseline,True,True,True,True,False,term,False,position,FULL_QUAD,7,0.19421982765197754,0.03487396240234375,0.3116283152624156,0.17020695902510607,0.07071067811865477,0.5,-0.5907711857744445,0.11020695902510608,True,-0.1851786338621162,False,False,-0.1851786338621162,
F2,20260720T071112-cd18c5fb,304,208150268520200,6.7964755,1784531480159929900,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,1.8205209770928898,2.225537378690966,0.007765283910585188,-1.2801014398402932,0.0,301.4357305076959,38.24704039838934,250.22099836436809,455.53257643145776,-0.27172788430730044,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.4281072296813142,baseline,True,True,False,True,False,term,False,position,FULL_QUAD,7,0.19421982765197754,0.03487396240234375,0.3116283152624156,0.17020695902510607,0.07071067811865477,0.5,-0.5907711857744445,0.11020695902510608,True,-0.1851786338621162,False,False,-0.1851786338621162,
F2,20260720T071112-cd18c5fb,305,208150303798100,6.8317534,1784531480194656100,feature,commit,True,detector,FULL_QUAD,certified,1.7168908179638442,2.1302923858979095,0.024272159765277045,-1.260889539518184,0.0,281.5,31.5,223.0022421411946,382.87050191756686,-0.1198992714440753,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.409706944610765,baseline,True,True,True,True,False,term,False,position,FULL_QUAD,8,0.22894597053527832,0.03487396240234375,0.4905470887840468,0.34912573254673723,0.07071067811865477,0.5,-0.8180500079816251,0.28912573254673724,False,-0.1198992714440753,False,False,-0.1198992714440753,
