artifact,term_status_csv,row,ts_ns,cmd_col,cmd_mps,needed_e_col,needed_e_m,registered_wrong_sign,body_z_adapter_v_bz_applied,opposition_to_velocity_rate
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,82,85710500000,vz_up,0.051917679477257776,e_z,0.07238126216919383,False,-0.054541571492901966,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,83,85726500000,vz_up,0.04999572260621726,e_z,0.06755584469124758,False,-0.05252247993982034,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,84,85757500000,vz_up,0.047483735927568944,e_z,0.06305212171183107,False,-0.04988353878524254,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,85,85773500000,vz_up,0.04457209694636495,e_z,0.05884864693104233,False,-0.046824747112467154,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,86,85788500000,vz_up,0.042858241280432266,e_z,0.05492540380230618,False,-0.0450242740891509,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,87,85804500000,vz_up,0.04028107316048953,e_z,0.051263710215485765,False,-0.04231685725776772,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,88,85835500000,vz_up,0.03728661426729482,e_z,0.04784612953445338,False,-0.03917105999852624,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,89,85851500000,vz_up,0.035050525441518335,e_z,0.04465638756548982,False,-0.036821960428138255,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,90,85866500000,vz_up,0.03240631495341956,e_z,0.04167929506112383,False,-0.034044112942830385,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,91,85898500000,vz_up,0.030444332168883582,e_z,0.03890067539038224,False,-0.03198297258779031,False
