flight,flight_id,recording,log,frames,imu_samples,raw_detector_fixes,tracker_fixes,feature_side_rows,center_only_detections,feature_rows,level_roll,level_pitch
F1,20260720T071008-5b501b4c,fixtures\20260720T071602-phase6l-cohort-3\20260720T071008-5b501b4c_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071008-5b501b4c-flight.jsonl,32,622,30,1,0,2,23,0.00025972419590177166,-0.31068921989032783
F2,20260720T071112-cd18c5fb,fixtures\20260720T071602-phase6l-cohort-3\20260720T071112-cd18c5fb_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071112-cd18c5fb-flight.jsonl,141,1027,125,13,18,6,108,0.00025602409079155774,-0.31070304002823274
F3,20260720T071220-5b501b4c,fixtures\20260720T071602-phase6l-cohort-3\20260720T071220-5b501b4c_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071220-5b501b4c-flight.jsonl,299,1655,91,13,0,32,49,0.0002558582251414531,-0.31070356228182733
F4,20260720T071333-cd18c5fb,fixtures\20260720T071602-phase6l-cohort-3\20260720T071333-cd18c5fb_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071333-cd18c5fb-flight.jsonl,120,947,115,2,12,5,70,0.0002620316247470928,-0.3106577689082355
F5,20260720T071439-5b501b4c,fixtures\20260720T071602-phase6l-cohort-3\20260720T071439-5b501b4c_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071439-5b501b4c-flight.jsonl,107,896,60,1,0,17,34,0.0002553464830564008,-0.3106886748377275
F6,20260720T071545-cd18c5fb,fixtures\20260720T071602-phase6l-cohort-3\20260720T071545-cd18c5fb_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071545-cd18c5fb-flight.jsonl,104,876,103,1,8,1,95,0.0002574278800456333,-0.3107014103610955
