flight,flight_id,approaches,full_depth_m,est_rows,status
F1,20260720T071008-5b501b4c,0,,0,NO_APPROACH
F2,20260720T071112-cd18c5fb,1,1.064305018103599,9,OK
F3,20260720T071220-5b501b4c,0,,0,NO_APPROACH
F4,20260720T071333-cd18c5fb,1,2.7790967938171347,12,OK
F5,20260720T071439-5b501b4c,0,,0,NO_APPROACH
F6,20260720T071545-cd18c5fb,1,2.9110505094641344,2,OK
