flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,setpoint_speed_xy_mps,setpoint_vz_up_mps,truth_vz_up_mps,fixture_dir,metrology_only
F1,20260720T071008-5b501b4c,209,208083141078800,2.997827,1784531413030882100,feature,hover,False,detector,FULL_QUAD,certified,5.290143068966311,6.143250651651628,0.02429757922720152,-3.123031300920556,0.0,321.0,134.0,80.02499609497022,423.34367843586284,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,-0.0,0.08911590289121382,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,210,208083175779600,3.0325278,1784531413065741300,feature,takeoff,False,detector,FULL_QUAD,certified,5.304567174168746,6.1602610297641025,0.018672262748519595,-3.132097443593596,0.0,320.5,133.0,79.1012010022604,419.59763427391437,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,-0.0005902436255823526,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,211,208083210186500,3.0669347,1784531413100542700,feature,takeoff,False,detector,FULL_QUAD,certified,5.343601557459429,6.304744292370712,0.006107617332636872,-3.345995469857775,0.0,320.0,123.5,76.05918747922567,406.42999267308903,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.29522863085289397,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,212,208083247453300,3.1042015,1784531413135149100,feature,takeoff,False,detector,FULL_QUAD,certified,5.47586491649648,6.225973974571789,0.04632153648502291,-2.962348673533538,0.012572328,324.5,137.0,85.0235261559999,465.57734395446073,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,2.0215804267680526,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,213,208083271616000,3.1283642,1784531413162947500,feature,takeoff,False,detector,FULL_QUAD,certified,5.639673043714245,6.280605960462286,0.028211735236801316,-2.763928958673185,0.0,321.0,159.0,78.0,439.8944974097111,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,2.04073703850231,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,214,208083306866200,3.1636144,1784531413197620200,feature,takeoff,False,detector,FULL_QUAD,certified,5.866798918315309,6.297052613348905,0.02029286463419613,-2.2876036079232622,0.0,320.5,184.0,79.02531240052139,463.6256173109083,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,1.3097510069546259,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,215,208083343396300,3.2001445,1784531413232372700,feature,takeoff,False,detector,FULL_QUAD,certified,6.033304701950341,6.285538944383839,0.021150486608541914,-1.7626079688081653,0.010461104,322.0,208.0,80.02499609497022,482.81518521334146,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.535201361974249,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,216,208083376988700,3.2337369,1784531413267223200,feature,takeoff,False,detector,FULL_QUAD,certified,6.014255270936413,6.18796632271392,-0.008288513714958064,-1.45588187968516,0.0,319.0,226.0,76.10519036176179,457.71604227884495,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.4887087053959974,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,217,208083411660500,3.2684087,1784531413301846200,feature,takeoff,False,detector,FULL_QUAD,certified,6.06904948125846,6.186045075234474,0.026446905126802474,-1.1971184686898404,0.0,322.5,241.0,83.02409288875127,503.8773278784301,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.8341439399565344,20260720T071602-phase6l-cohort-3,False
F1,20260720T071008-5b501b4c,218,208083439946800,3.296695,1784531413329619200,feature,takeoff,False,detector,FULL_QUAD,certified,6.104445681562479,6.201535303846114,0.022115066370741433,-1.0928375769263887,0.007975096,323.0,246.0,82.0,500.56454588812323,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,2.290050512900608,20260720T071602-phase6l-cohort-3,False
