age_bin,age_min_s,age_max_s,train_n,heldout_n,fit_p95_abs_sigma_a_mps2,heldout_coverage_frac,heldout_max_abs_sigma_a_mps2,floor_m,corridor_pass
0p10-0p20,0.1667172908782959,0.19449329376220703,1,2,2.6210494205651815,1.0,2.2467317520418537,1.3765299146852945,False
0p20-0p30,0.22933053970336914,0.29865097999572754,4,2,1.905434222672501,1.0,1.655869873273636,1.0209609223235299,False
0p30-0p50,0.3334794044494629,0.430652379989624,3,4,1.2099905137715894,0.5,1.3103485637325933,0.6778958333362579,False
gte0p50,,,0,0,,,,,
