age_bin,n,p50_abs_sigma_a_mps2,p80_abs_sigma_a_mps2,p90_abs_sigma_a_mps2,p95_abs_sigma_a_mps2,p99_abs_sigma_a_mps2,max_abs_sigma_a_mps2
all,16,1.463160303913972,1.905434222672501,2.2467317520418537,2.340311169172686,2.564901770286682,2.6210494205651815
0p10-0p20,3,2.2467317520418537,2.4713223531558506,2.546185886860516,2.5836176537128486,2.613563067194715,2.6210494205651815
0p20-0p30,6,1.655869873273636,1.905434222672501,1.905434222672501,1.905434222672501,1.905434222672501,1.905434222672501
0p30-0p50,7,1.2099905137715894,1.2902769537403926,1.3103485637325933,1.3103485637325933,1.3103485637325933,1.3103485637325933
gte0p50,0,,,,,,
