age_bin,n,age_min_s,age_max_s,age_median_s,rate_error_bias_mps,rate_error_rms_mps,rate_error_anchor_only_rms_mps,sigma_a_rms_mps2,sigma_a_centered_mps2,sigma_a_anchor_only_rms_mps2
all,16,0.1667172908782959,0.430652379989624,0.29865097999572754,-0.4041354180401578,0.4104152148880635,0.49811729628161905,1.6138844610011946,0.5716297574872291,1.9557607427881463
0p10-0p20,3,0.1667172908782959,0.19449329376220703,0.19449329376220703,-0.4369742586547543,0.4369742586547543,0.10396268430614014,2.3780599373096263,0.1764550411538556,0.5369909739176394
0p20-0p30,6,0.22933053970336914,0.29865097999572754,0.26389408111572266,-0.4369742586547543,0.4369742586547543,0.7236825793043588,1.6845793430504081,0.1810541852066796,3.009313811974729
0p30-0p50,7,0.3334794044494629,0.430652379989624,0.36113858222961426,-0.3619140515356766,0.3735030795902866,0.33704808494645133,1.0475560865225997,0.31896730650577093,0.9257511001993061
gte0p50,0,,,,,,,,,
