age_bin,age_min_s,age_max_s,train_n,heldout_n,fit_p95_abs_sigma_a_mps2,heldout_coverage_frac,heldout_max_abs_sigma_a_mps2,floor_m,corridor_pass
0p10-0p20,0.1667172908782959,0.19449329376220703,1,2,0.17267151426395586,0.0,0.6462439424740618,0.21241346055894106,True
0p20-0p30,0.22933053970336914,0.29865097999572754,4,2,4.454523024820448,1.0,2.536314497500249,2.290800270007129,False
0p30-0p50,0.3334794044494629,0.430652379989624,3,4,1.2260840171895475,1.0,0.97008490696748,0.6857767208053642,False
gte0p50,,,0,0,,,,,
