feature_ts_ns,ts_s,flight,frame_id,range_z_m,e_z
1784531476396650300,1784531476.3966503,F2,191,5.299432232204071,-0.45
1784531476431743200,1784531476.4317431,F2,192,5.436184784807052,-0.45
1784531476459284200,1784531476.4592843,F2,193,5.5607390604784515,-0.45
1784531476493936100,1784531476.493936,F2,194,5.6718212836648085,-0.45
1784531476528745700,1784531476.5287457,F2,195,5.916175110879195,-0.45
1784531476563342100,1784531476.563342,F2,196,6.008582590247462,-0.45
1784531476597958400,1784531476.5979583,F2,197,6.147499720820815,-0.45
1784531476625715200,1784531476.6257153,F2,198,6.2065089740367565,-0.45
1784531476660482600,1784531476.6604826,F2,199,6.122849628604177,-0.45
1784531476695089900,1784531476.6950898,F2,200,6.06864597381878,-0.45
1784531476730073500,1784531476.7300737,F2,201,5.963138259110632,-0.45
1784531476764674000,1784531476.764674,F2,202,6.023860831940757,-0.45
1784531476792484600,1784531476.7924845,F2,203,5.981483807003441,-0.45
1784531476827235700,1784531476.8272357,F2,204,6.002591708131821,-0.45
1784531476861993300,1784531476.8619933,F2,205,6.017941818265136,-0.45
1784531476896647900,1784531476.896648,F2,206,5.89382659932142,-0.45
1784531476931532600,1784531476.9315326,F2,207,5.902587481964439,-0.45
1784531476959196600,1784531476.9591966,F2,208,5.710399816564292,-0.45
1784531476993815000,1784531476.993815,F2,209,5.678468286715677,-0.45
1784531477028456300,1784531477.0284562,F2,210,5.6183306152321055,-0.45
1784531477063268000,1784531477.0632682,F2,211,5.476492197880671,-0.45
1784531477097929000,1784531477.097929,F2,212,5.571339760135917,-0.45
1784531477126088100,1784531477.1260881,F2,213,5.694635645412727,-0.45
1784531477160658500,1784531477.1606584,F2,214,5.893666033369929,-0.45
1784531477195310100,1784531477.19531,F2,215,5.7948892380317965,-0.45
1784531477230075600,1784531477.2300756,F2,216,5.760554613697366,-0.45
1784531477264761200,1784531477.264761,F2,217,5.769555481045348,-0.45
1784531477292577700,1784531477.2925777,F2,218,5.842709647744963,-0.45
1784531477327231300,1784531477.3272312,F2,219,5.752434218314488,-0.45
1784531477362007600,1784531477.3620076,F2,220,5.736398138174231,-0.45
1784531477396643700,1784531477.3966436,F2,221,5.644598036351825,-0.45
1784531477431263100,1784531477.431263,F2,222,5.6077625136872005,-0.45
1784531477459023000,1784531477.459023,F2,223,5.54428000195718,-0.45
1784531477493866200,1784531477.4938662,F2,224,5.3316168103241015,-0.45
1784531477528433100,1784531477.528433,F2,225,5.586674544820397,-0.45
1784531477563180300,1784531477.5631802,F2,226,5.722050513804962,-0.45
1784531477597928600,1784531477.5979288,F2,227,5.692363074736081,-0.45
1784531477625750800,1784531477.6257508,F2,228,5.705930429548852,-0.45
1784531477660588800,1784531477.6605887,F2,229,5.665070485758133,-0.45
1784531477695051200,1784531477.6950512,F2,230,5.52917173775109,-0.45
1784531477729722400,1784531477.7297223,F2,231,5.624808895012193,-0.45
1784531477764529500,1784531477.7645295,F2,232,5.605203756287011,-0.45
1784531477792350600,1784531477.7923508,F2,233,5.599922632161688,-0.45
1784531477826989500,1784531477.8269897,F2,234,5.489730757892353,-0.45
1784531477861706100,1784531477.861706,F2,235,5.487942769995497,-0.45
1784531477896426000,1784531477.896426,F2,236,5.406958937999661,-0.45
1784531477931234100,1784531477.9312341,F2,237,5.325197681955139,-0.45
1784531477965922600,1784531477.9659226,F2,238,4.937610117832034,-0.45
1784531477993655400,1784531477.9936552,F2,239,5.038957012902307,-0.45
1784531478028323300,1784531478.0283234,F2,240,5.059770826131367,-0.45
1784531478097818000,1784531478.0978181,F2,242,5.108256458822916,-0.45
1784531478132755600,1784531478.1327558,F2,243,5.097373683449151,-0.45
1784531478160845200,1784531478.1608453,F2,244,5.1561176975496075,-0.45
1784531478195088200,1784531478.1950881,F2,245,5.175080016822477,-0.45
1784531478229801600,1784531478.2298014,F2,246,5.109643179152723,-0.45
1784531478264545000,1784531478.264545,F2,247,5.16269749192955,-0.45
1784531478300117800,1784531478.3001177,F2,248,5.184240024931491,-0.45
1784531478326973500,1784531478.3269734,F2,249,5.140933034560737,-0.45
1784531478361746900,1784531478.361747,F2,250,5.151599119043424,-0.45
1784531478396396500,1784531478.3963966,F2,251,5.1356349037430356,-0.45
1784531478431063500,1784531478.4310637,F2,252,5.12406832303512,-0.45
1784531478465889500,1784531478.4658895,F2,253,4.99584034955638,-0.45
1784531478597809000,1784531478.5978088,F2,257,3.8041822371409286,-0.45
1784531479965709900,1784531479.96571,F2,298,2.1837498917296645,-0.43836628490830676
1784531479993161000,1784531479.993161,F2,299,2.1917528421853127,-0.41010841618228855
1784531480027996900,1784531480.027997,F2,300,2.1316069594271383,-0.33625258163778976
1784531480062738500,1784531480.0627384,F2,301,2.0990217831725255,-0.31749504177958443
1784531480097612300,1784531480.0976124,F2,302,2.0128849435913914,-0.23730212156147812
1784531480132076000,1784531480.132076,F2,303,1.9027490654879835,-0.23254347185842905
1784531480159929900,1784531480.1599298,F2,304,1.8205209770928898,-0.1851786338621162
1784531480194656100,1784531480.194656,F2,305,1.7168908179638442,-0.1198992714440753
1784531480229388300,1784531480.2293882,F2,306,1.648511592213068,-0.03143560733548645
1784531480264298600,1784531480.2642984,F2,307,1.5762884941520543,-0.02277092753551163
1784531480298793200,1784531480.2987933,F2,308,1.497103373282544,0.025564722327002853
1784531480326569300,1784531480.3265693,F2,309,1.4409211052718314,0.05184613472384944
1784531480361406400,1784531480.3614066,F2,310,1.3790571721205138,0.09609947540341199
1784531480395970000,1784531480.39597,F2,311,1.316321586403276,0.12608639114647818
1784531480430727000,1784531480.430727,F2,312,1.2654288899954418,0.146112794883707
1784531480465555400,1784531480.4655554,F2,313,1.194004793393273,0.1378038544011053
1784531480493214800,1784531480.4932146,F2,314,1.1395733864973996,0.08857909091422259
1784531480528160300,1784531480.5281603,F2,315,1.064305018103599,0.03519142721221186
