age_bin,old_n,old_p95_abs_sigma_a_mps2,old_p99_abs_sigma_a_mps2,oracle_n,oracle_p95_abs_sigma_a_mps2,oracle_p99_abs_sigma_a_mps2
all,16,4.454523024820448,4.454523024820448,16,2.340311169172686,2.564901770286682
0p10-0p20,3,0.6462439424740618,0.6462439424740618,3,2.5836176537128486,2.613563067194715
0p20-0p30,6,4.454523024820448,4.454523024820448,6,1.905434222672501,1.905434222672501
0p30-0p50,7,1.2260840171895475,1.2260840171895475,7,1.3103485637325933,1.3103485637325933
gte0p50,0,,,0,,
