age_bin,n,p50_abs_sigma_a_mps2,p80_abs_sigma_a_mps2,p90_abs_sigma_a_mps2,p95_abs_sigma_a_mps2,p99_abs_sigma_a_mps2,max_abs_sigma_a_mps2
all,16,0.9573353308226236,2.536314497500249,3.4954187611603484,4.454523024820448,4.454523024820448,4.454523024820448
0p10-0p20,3,0.6462439424740618,0.6462439424740618,0.6462439424740618,0.6462439424740618,0.6462439424740618,0.6462439424740618
0p20-0p30,6,2.536314497500249,4.454523024820448,4.454523024820448,4.454523024820448,4.454523024820448,4.454523024820448
0p30-0p50,7,0.97008490696748,1.174884195145134,1.2260840171895475,1.2260840171895475,1.2260840171895475,1.2260840171895475
gte0p50,0,,,,,,
