regime,n,age_min_s,age_max_s,rate_error_rms_mps,sigma_a_rms_mps2,sigma_a_centered_mps2
switch_adjacent,3,0.1667172908782959,0.19449329376220703,0.4369742586547543,2.3780599373096263,0.1764550411538556
maintenance,13,0.22933053970336914,0.430652379989624,0.4040383521024124,1.378640960094862,0.4287415191547024
