approach_id,cluster_id,flight,flight_id,anchor_frame_id,age_s,age_bin,r_v_mps,rv2_m2ps2,auth_at_latch,n_full_at_latch,span_full_at_latch_s
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,236,0.1,0p10-0p20,0.0,0.0,0.124203364054362,4,0.09315252304077148
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,236,0.2,0p20-0p30,0.0,0.0,0.124203364054362,4,0.09315252304077148
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,236,0.3,0p30-0p40,0.0,0.0,0.124203364054362,4,0.09315252304077148
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,236,0.4,0p40-0p50,0.0,0.0,0.124203364054362,4,0.09315252304077148
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,236,0.5,gt0p50,0.0,0.0,0.124203364054362,4,0.09315252304077148
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,237,0.1,0p10-0p20,0.0,0.0,0.21276036898295086,5,0.1276562213897705
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,237,0.2,0p20-0p30,0.0,0.0,0.21276036898295086,5,0.1276562213897705
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,237,0.3,0p30-0p40,0.0,0.0,0.21276036898295086,5,0.1276562213897705
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,237,0.4,0p40-0p50,0.0,0.0,0.21276036898295086,5,0.1276562213897705
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,237,0.5,gt0p50,0.0,0.0,0.21276036898295086,5,0.1276562213897705
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,238,0.1,0p10-0p20,0.0,0.0,0.32587385177612305,6,0.16293692588806152
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,238,0.2,0p20-0p30,0.0,0.0,0.32587385177612305,6,0.16293692588806152
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,238,0.3,0p30-0p40,0.0,0.0,0.32587385177612305,6,0.16293692588806152
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,238,0.4,0p40-0p50,0.0,0.0,0.32587385177612305,6,0.16293692588806152
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,238,0.5,gt0p50,0.0,0.0,0.32587385177612305,6,0.16293692588806152
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,239,0.1,0p10-0p20,0.0,0.0,0.4598352909088134,7,0.19707226753234863
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,239,0.2,0p20-0p30,0.0,0.0,0.4598352909088134,7,0.19707226753234863
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,239,0.3,0p30-0p40,0.0,0.0,0.4598352909088134,7,0.19707226753234863
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,239,0.4,0p40-0p50,0.0,0.0,0.4598352909088134,7,0.19707226753234863
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,239,0.5,gt0p50,0.0,0.0,0.4598352909088134,7,0.19707226753234863
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,240,0.1,0p10-0p20,0.0,0.0,0.6074409484863281,8,0.22779035568237305
