approach_id,cluster_id,flight,flight_id,fixture_dir,metrology_only,measurement_latch_mechanism_eligible,term_command_regime_eligible,cut_id,cut_frame_id,frame_id,feature_ts_ns,age_s,age2_s2,age_bin,range_z_m,r_v_mps,rv2_m2ps2,v_ref_oracle_mps,v_hold_mps,v_shadow_hold_mps,residual_sign_convention,v_latch_mps,v_latch_true_mps,v_full_raw_mps,v_anchor_old_mps,v_latch_auth_applied_mps,delta_latch_mps,auth_at_latch,rate_anchor_v_raw,rate_anchor_quality,shadow_vz_up,n_full_at_latch,span_full_at_latch_s,predicted_b0_from_auth_mps,rate_feed_forward_mps,command_regime,oracle_ref_n,oracle_ref_span_s,shadow_tau_s,shadow_e_z_cmd_m,shadow_e_cross_old_m,shadow_e_cross_new_m,shadow_vz_cmd_old_mps,shadow_vz_cmd_new_mps,shadow_command_delta_mps,shadow_e_cross_delta_m,era,era_family,recording_regime
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut02,280,282,1784282248964681600,0.0693519115447998,0.004809687634917736,0p00-0p10,3.2180744371781556,0.31698941462225827,0.10048228898256197,-0.0,-0.31698941462225827,-0.31698941462225827,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.7178056240081787,,,,5,0.4306833744049072,-0.0,-0.31698941462225827,authority_limited,7,0.2420649528503418,1.2116923035986282,-0.1,0.28409363402002485,0.28409363402002485,-0.08252920291975784,-0.08252920291975784,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut02,280,284,1784282249034085200,0.13875532150268555,0.01925303924531363,0p10-0p20,2.953987897008263,0.4804066340708548,0.2307905340592882,-0.0,-0.4804066340708548,-0.4804066340708548,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.7178056240081787,,,,5,0.4306833744049072,-0.0,-0.4804066340708548,authority_limited,7,0.2420649528503418,1.1588387806633722,-0.1,0.45671383804926424,0.45671383804926424,-0.08629328053964111,-0.08629328053964111,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut02,280,285,1784282249062787600,0.16745781898498535,0.02804212113920812,0p10-0p20,2.8705286889259254,0.4764800611292761,0.22703324865375868,-0.0,-0.4764800611292761,-0.4764800611292761,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.7178056240081787,,,,5,0.4306833744049072,-0.0,-0.4764800611292761,authority_limited,7,0.2420649528503418,1.144789411858163,-0.1,0.4454693289423255,0.4454693289423255,-0.08735231035871058,-0.08735231035871058,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut02,280,286,1784282249099220800,0.20389103889465332,0.04157155574154103,0p20-0p30,2.8011199109239464,0.5118526346218244,0.2619931195693029,-0.0,-0.5118526346218244,-0.5118526346218244,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.7178056240081787,,,,5,0.4306833744049072,-0.0,-0.5118526346218244,authority_limited,7,0.2420649528503418,1.132442226543469,-0.1,0.47964353721327957,0.47964353721327957,-0.08830472553573707,-0.08830472553573707,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut02,280,287,1784282249137394700,0.2420649528503418,0.0585954413984382,0p20-0p30,2.728077797460334,0.3318804417422243,0.11014462761101394,-0.0,-0.3318804417422243,-0.3318804417422243,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.7178056240081787,,,,5,0.4306833744049072,-0.0,-0.3318804417422243,authority_limited,7,0.2420649528503418,1.121090672294094,-0.1,0.2720680675540512,0.2720680675540512,-0.08919885114677606,-0.08919885114677606,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut03,281,281,1784282248930123600,0.0,0.0,0p00-0p10,3.251669746531118,-0.0,0.0,-0.0,0.0,0.0,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.9309544563293457,,,,6,0.46547722816467285,-0.0,0.0,authority_limited,6,0.20727109909057617,1.2314157969301887,-0.1,-0.1,-0.1,-0.0812073389421276,-0.0812073389421276,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut03,281,282,1784282248964681600,0.03455805778503418,0.0011942593578737615,0p00-0p10,3.2180744371781556,0.1118085219741054,0.012501145586034011,-0.0,-0.1118085219741054,-0.1118085219741054,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.9309544563293457,,,,6,0.46547722816467285,-0.0,-0.1118085219741054,authority_limited,6,0.20727109909057617,1.2116923035986282,-0.1,0.035477525552761624,0.035477525552761624,-0.08252920291975784,-0.08252920291975784,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut03,281,284,1784282249034085200,0.10396146774291992,0.01080798677526218,0p10-0p20,2.953987897008263,0.27522574142270195,0.075749208741676,-0.0,-0.27522574142270195,-0.27522574142270195,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.9309544563293457,,,,6,0.46547722816467285,-0.0,-0.27522574142270195,authority_limited,6,0.20727109909057617,1.1588387806633722,-0.1,0.2189422625974565,0.2189422625974565,-0.08629328053964111,-0.08629328053964111,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut03,281,285,1784282249062787600,0.13266396522521973,0.01759972766927831,0p10-0p20,2.8705286889259254,0.27129916848112323,0.07360323881854888,-0.0,-0.27129916848112323,-0.27129916848112323,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.9309544563293457,,,,6,0.46547722816467285,-0.0,-0.27129916848112323,authority_limited,6,0.20727109909057617,1.144789411858163,-0.1,0.2105804155231137,0.2105804155231137,-0.08735231035871058,-0.08735231035871058,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut03,281,286,1784282249099220800,0.1690971851348877,0.028593858020542484,0p10-0p20,2.8011199109239464,0.30667174197367153,0.09404755732516616,-0.0,-0.30667174197367153,-0.30667174197367153,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.9309544563293457,,,,6,0.46547722816467285,-0.0,-0.30667174197367153,authority_limited,6,0.20727109909057617,1.132442226543469,-0.1,0.2472880302986288,0.2472880302986288,-0.08830472553573707,-0.08830472553573707,0.0,0.0,phase5c,phase5,archive
