case,control_hz,aigp_nosleep,ticks,achieved_hz,overrun_frac,max_late_us,abort_reason,env_hits,gate_clips,wait_mean_ms,wait_p95_ms,wait_total_s,work_mean_ms,work_p95_ms,work_total_s,wait_pct,work_pct
default-250hz,250,,14994,249.84176729728128,0.7450980392156863,27000,max duration,0,0,2.721526183806856,13.206900000000001,40.8065636,1.2810925832054958,3.8738,19.2074211,0.6799509115081306,0.3200490884918695
nosleep-250hz,250,1,14989,249.76325978882602,0.744679431583161,24000,max duration,0,0,2.7321378010541064,13.068,40.9520135,1.2717384774486256,3.7809,19.0608163,0.6823876433835486,0.3176123566164514
default-125hz,125,,7501,124.98676837349275,0.48833488868150915,17000,max duration,0,0,6.405506959072124,15.0672,48.0477077,1.5955526666666666,4.034000000000001,11.966645,0.8006036146083435,0.1993963853916565
