t_rel_s,signed_plane_m,v_cmd_along_plane,v_est_along_plane,v_cmd_lat,v_est_lat,v_cmd_vert,v_est_vert
0.0,0.9783434261843358,-0.6335174744837957,-1.4534461835193786,0.4,0.2754584906930697,-0.7482522448097215,0.10060867078342808
0.02,0.9263943668185726,-0.602327843918728,-2.4859873318217915,0.4,0.31419827373062903,-0.7311518680231759,-1.3492838813645411
0.0398,0.8927048447267214,-0.5761261193104943,-2.7606234906951888,0.4,0.351072847725336,-0.7111878878841451,-1.6824043873228136
0.06,0.8296507568704466,-0.5275124708846237,-2.6982464370520907,0.4,0.41534584101838545,-0.6714646704248628,-1.4919923737873781
0.0802,0.7828847490844404,-0.5014280857410903,-2.3348931283436314,0.4,0.45469411622270606,-0.655971825439174,-0.8432819539875256
0.0999,0.7350509196600483,-0.48364291763331035,-1.9404081921746168,0.4,0.4800746843075143,-0.6538737018436654,-0.13468697899810866
0.1223,0.6783966461297961,-0.46540088235268806,-1.8028732438597372,0.4,0.49985097276291857,-0.6580249495504404,0.19712845104445678
0.14,0.6098991665923804,-1.3541954071429783,-2.048064066613863,1.4991353876622797,0.5202105338679397,-1.2,-0.07027691841825295
0.1608,0.5515338588603104,-1.3350405527739069,-2.247685974821924,1.4897351207876062,0.5402851554046135,-1.2,-0.39432211271751977
0.18,0.49040616022754013,-1.3550813317480899,-2.3183145547748043,1.365525751364443,0.4906514507433104,-1.2,-0.9955834548094299
0.2002,0.4616329441555107,-1.368228483349432,-2.417984474409595,1.2528028123617776,0.4039816955756632,-1.2,-1.5950562944566313
0.2205,0.4312566123595465,-1.3671500897281597,-2.741462400229641,1.225493531714581,0.48074795844868623,-1.2,-2.160315850683448
