t_rel_s,signed_plane_m,v_cmd_along_plane,v_est_along_plane,v_cmd_lat,v_est_lat,v_cmd_vert,v_est_vert
0.0,0.9828830087055926,-0.6259486211201818,-0.8421991478922746,1.4104736881782993,1.8801288477055202,-1.2,-1.651528660605214
0.016,0.9323151019825827,-0.6251926896354265,0.6152781230372889,1.400277979623239,1.9093593130397895,-1.2,-0.0979024206941329
0.0357,0.9880514263184267,-0.6137643384806439,0.6928105058668719,1.4127082845553043,1.9140550390447058,-1.2,-0.012364815797999284
0.0565,0.9534824202782561,-0.6122752851773351,0.39112787536065774,1.404788244770787,1.923265339537468,-1.2,-0.3441362843993434
0.0757,0.9832001703757408,-0.6013874972233333,-0.1371914819755283,1.4101352865720969,1.9345184194941378,-1.2,-0.9144276188171386
0.096,0.9460383974264988,-0.5951041007704039,-0.613049422130786,1.4152481510289638,1.9445890148210254,-1.2,-1.4358929905494837
0.1156,0.9570491108138011,-0.5969490276869605,-1.0154916113914174,1.4011850736349374,1.953103917544664,-1.2,-1.8683581703263576
0.1358,0.9291261919442967,-0.60236127452823,-0.5489769232068865,1.3751331754955258,1.9709384704667272,-1.2,-1.3732479005868508
0.1557,0.8930699350554917,-0.6014254124546697,0.020358745958386017,1.3701479850481721,1.9804686395264812,-1.2,-0.7685213357953544
0.1757,0.890605905756295,-0.609925029362853,0.15755301272706645,1.3483411136851453,1.9859733216802191,-1.2,-0.6200322641826613
0.1956,0.8678720487057875,-0.6079144004702604,-0.021569997113370806,1.348561521538189,1.9929704102115808,-1.2,-0.8190319092069578
0.2157,0.8086890297769057,-0.6145625831346682,-0.6013339185366543,1.318598212074531,2.011927552513111,-1.2,-1.4538857334941595
0.2356,0.7745567030795902,-0.5739640070512912,-0.7812891709527947,1.4134820432848851,2.0174455445472432,-1.2,-1.6507528127296758
0.2591,0.7260676061135525,-0.5692755855059379,-0.4805953611487743,1.4183547243935768,2.014879133342333,-1.2,-1.3298951017054217
0.2757,0.6892405398122236,-0.5207463528430544,0.0559452478474796,1.4797727782059453,2.0058340410242974,-1.1731177499999998,-0.7464829397614006
0.3029,0.6662035181888382,-0.5166417049042729,-0.10280914475029305,1.4673759187343185,1.99817983092087,-1.161027415603167,-0.9180637090458871
0.3158,0.6629568082406405,-0.4611355299064218,-0.343212372285233,1.574175411561968,1.984735028695038,-1.142071765603167,-1.1718393776013944
0.3355,0.6265159239425435,-0.4347124030148038,-0.8347778863853136,1.579170252877251,1.9753274794096787,-1.112077315603167,-1.701142723943476
0.3569,0.59006485640166,-0.41018912228292825,-0.4780861177770087,1.5769407431301934,1.967154244574522,-1.080372115603167,-1.3140206057477717
0.3757,0.5518311173897197,-0.3918052922275427,-0.17579487436164626,1.56729985715631,1.9573426530040738,-1.0520747656031668,-0.984009119017079
0.3957,0.5139797394274801,-0.37167063677638074,0.11626395343329403,1.5532098983935445,1.9754610835834379,-1.0220750656031667,-0.6745454047835289
0.4156,0.4883969937103087,-0.34856984450060785,0.11693892533048518,1.5443155920867573,1.9844053780925375,-0.9920749156031667,-0.6760844294214239
