t_rel_s,signed_plane_m,v_cmd_along_plane,v_est_along_plane,v_cmd_lat,v_est_lat,v_cmd_vert,v_est_vert
0.0,0.9978569451103085,0.4,3.041613892440197,0.6,0.3794563912820987,-0.8078274963923577,-0.7512978655047916
0.02,0.9667985760297252,0.4,3.0726337212939816,0.6,0.35124053894938,-0.7933420564765055,-1.245419013158086
0.0399,0.9172170190316569,0.4,3.127256234134566,0.6,0.29568463241047654,-0.7566555430026641,-1.985010670606334
0.0602,0.8472788616076408,0.4,3.1979122564762745,0.6,0.22622358124973233,-0.7234440227409991,-1.1568224306189525
0.0803,0.8112642651409266,0.4,3.230054371157921,0.6,0.19922182004126002,-0.7153666883877154,-0.6935591961805708
0.1,0.7569596952965085,0.4,3.292684121164821,0.6,0.1592586856639184,-0.7185430759309308,-0.051895191787396364
0.1199,0.6926785371212638,0.4,3.354793274706518,0.6,0.12632376014052107,-0.7246156678017737,-0.07140310208422679
0.1398,0.6518386365371525,0.6860323930523101,3.3910187543477806,1.6493079883951092,0.10285193130245818,-1.2,-0.3021711745324987
0.16,0.6041708040009489,0.6486034186593663,3.436016952157966,1.6274855606396303,0.07565999671234125,-1.2,-0.7924639766933832
0.1802,0.5407256474901787,0.5958979246965543,3.4912808332829797,1.4968935631215061,-0.02685985095268218,-1.2,-1.2337466149707927
0.2001,0.4801666347653229,0.5424792019845388,3.5381918542629953,1.29316241130388,-0.17671298825355677,-1.2,-1.5667486016153576
0.2198,0.4259281738686886,0.4937954406169005,3.583323305727625,1.2060136924522202,-0.24024026678078195,-1.2,-1.5659294637556385
0.2397,0.3772192124218957,0.0,3.628655669202874,0.0,-0.22880387631169946,0.0,-1.2419585827192892
0.2599,0.3120903769005256,0.0,3.6851682661334757,0.0,-0.18599472858715194,0.0,-0.8267334774234651
0.2797,0.23705496938451184,0.0,3.7334631201596515,0.0,-0.10573832446510653,0.0,-1.0075769849035567
0.2997,0.18535004222177034,0.0,3.7725085442201394,0.0,0.0016839832424310058,0.0,-1.2389092276241072
0.3199,0.08190149930085196,0.0,3.868443974069552,0.0,0.1852607450641602,0.0,-0.8355666911287836
0.3397,0.033144017144088204,0.0,3.92400479149848,0.0,0.1919027015730692,0.0,-0.6102790670284398
0.3597,0.012818004166056853,0.0,3.9444394819371014,0.0,0.18553692155371196,0.0,-0.559168386900542
0.3797,-0.08363727356064367,0.0,4.061700021903845,0.0,0.03183512030556599,0.0,0.506788944373433
0.4,-0.15730970654563442,0.0,4.113217469621047,0.0,-0.02248196292735322,0.0,0.9884310979067196
0.4197,-0.2094087352224017,0.0,4.145419841850156,0.0,-0.03964414819694888,0.0,0.9039552104840912
0.4398,-0.34435811002906164,0.0,4.2372402511136915,0.0,-0.11182068064530773,0.0,-0.4397797478296017
0.4598,-0.3994497646710998,0.0,4.284770023369917,0.0,-0.1536169091108555,0.0,-1.1522408476445747
0.4797,-0.48348214145615376,0.0,4.325777545994976,0.0,-0.1858330915953167,0.0,-1.0224015374246278
0.4997,-0.5401143031371063,0.0,4.369492809393378,0.0,-0.21619419232870568,0.0,-0.19468804746055363
