row,ts_ns,owner,engaged,ready,e_z,vz_up,v_bz_applied,sign_bad_vbz_vs_ez,range_m,lateral_m,true_dz_m,pitch_t_rad,gate_age_s,feature_cert_status,feature_span_px,feature_mode,span_x_range,visible_scale_gate_reject
1,80914500000,alt,False,False,,,,0,3.196247322549379,-0.5137199754049449,0.7521224629928218,-0.669205151581168,0.043242176,certified,64.03124237432849,BAR_FULL,204.65968699845774,False
2,80945500000,alt,False,False,,,,0,3.267717928247209,-0.49417521779807216,0.7096378651585137,-0.6709218758100599,0.001176704,certified,63.00793600809346,BAR_FULL,205.89216211549987,False
3,80960500000,alt,False,False,,,,0,3.2444471640674464,-0.4823853750701034,0.7007715099825197,-0.6810208778824318,0.017176704,certified,63.00793600809346,BAR_FULL,204.42591929520196,False
4,80976500000,alt,False,False,,,,0,3.1650492100668526,-0.44978596455190695,0.6895803555243915,-0.7183349492412823,0.048176704,certified,63.00793600809346,BAR_FULL,199.423218090359,False
5,80992500000,alt,False,False,,,,0,3.1621854004938705,-0.48664008801189335,0.7167567174741747,-0.7183349492412823,0.0,certified,62.00806399170998,BAR_FULL,196.08099466747498,False
6,81023500000,alt,False,False,,,,0,3.05494326695589,-0.4507442761526374,0.7130620901418381,-0.7676870203341253,0.02700544,certified,62.00806399170998,BAR_FULL,189.43111758844438,False
7,81039500000,alt,False,False,,,,0,2.9639692146926313,-0.38281216505950816,0.6997742988779002,-0.7950657852995833,0.000832,certified,63.071388124885914,BAR_FULL,186.94165273009224,False
8,81054500000,alt,False,False,,,,0,2.9005598780628885,-0.3694770856979989,0.700972067257206,-0.8219245964003465,0.016832,certified,63.071388124885914,BAR_FULL,182.9423378487762,False
9,81085500000,alt,False,False,,,,0,2.8082801594705336,-0.32132718489231027,0.714808841363212,-0.8703663448388091,0.0,certified,63.071388124885914,BAR_FULL,177.12212790138253,False
10,81101500000,alt,False,False,,,,0,2.7512050973924937,-0.3243984982325821,0.7166554050361692,-0.8920949382062408,0.011180672,certified,63.071388124885914,BAR_FULL,173.52232450880652,False
11,81117500000,alt,False,True,,,,0,2.539678287457602,-0.3422579293526794,0.6383817139350566,-0.9310967063473463,0.00380736,certified,59.841457201508724,BAR_FULL,151.97804954449506,False
12,81132500000,alt,True,True,,,,0,2.499230148463476,-0.36474045571226227,0.6382217645978585,-0.9448976255401885,0.01880736,certified,59.841457201508724,BAR_FULL,149.5575739659974,True
13,81164500000,alt,True,True,,,,0,2.465971262647753,-0.394171709278393,0.6372626944388359,-0.9555837702637767,0.03480736,certified,59.841457201508724,BAR_FULL,147.56731377388593,True
14,81179500000,alt,True,True,,,,0,2.450545500978151,-0.40819458452203966,0.6248320604100491,-0.9652981716249223,0.012858368,certified,67.0,BAR_FULL,164.1865485655361,False
15,81195500000,alt,True,True,,,,0,2.450545500978151,-0.40819458452203966,0.6248320604100491,-0.9652981716249223,0.012858368,certified,67.0,BAR_FULL,164.1865485655361,False
16,81226500000,alt,True,True,,,,0,2.457259463159696,-0.4289489064845231,0.6220946588900949,-0.9589034321311439,0.0,certified,68.0,BAR_FULL,167.09364349485932,False
17,81242500000,alt,True,True,,,,0,2.467923588751352,-0.45872666502035486,0.616616083890984,-0.9518270711074868,0.014957504,certified,68.0,BAR_FULL,167.81880403509194,False
18,81257500000,alt,True,True,,,,0,2.484205540725318,-0.48502488336948496,0.6113983022093088,-0.9422648340355031,0.030957504,certified,68.0,BAR_FULL,168.92597676932164,False
19,81273500000,alt,False,True,,,,0,2.5146481603205495,-0.5512300833118744,0.5887776310257562,-0.9316533271019519,0.0,certified,65.62011886609167,BAR_FULL,165.01151118663321,False
20,81304500000,alt,False,True,,,,0,2.5607285213760584,-0.5756979320281117,0.577777092656149,-0.9055862306099143,0.022797952,certified,65.62011886609167,BAR_FULL,168.03530995648813,False
21,81320500000,alt,False,True,,,,0,2.582660965513828,-0.5792255170756239,0.572076372574704,-0.8924769997498955,0.037797952,certified,65.62011886609167,BAR_FULL,169.4745195478325,False
22,81335500000,alt,False,True,,,,0,2.5745528398816426,-0.6141042995443009,0.5465512073690438,-0.8781450715951425,0.000756544,certified,68.46897107449476,BAR_FULL,176.27698392361452,False
23,81351500000,alt,False,True,,,,0,2.6190558428673136,-0.5973711387209594,0.5333250247338556,-0.8505990257320836,0.031756544,certified,68.46897107449476,BAR_FULL,179.3240587477686,False
24,81382500000,alt,False,True,,,,0,2.687354368080113,-0.6077714892722664,0.5138227935668762,-0.8379499977707314,0.0,certified,67.08203932499369,BAR_FULL,180.2732113997437,False
25,81398500000,alt,False,True,,,,0,2.7183862766933324,-0.5560639306289269,0.4998295162711174,-0.8175522947733127,0.024990656,certified,67.08203932499369,BAR_FULL,182.3548951136653,False
26,81414500000,alt,False,True,,,,0,2.7288870529813796,-0.5256196553148141,0.4931686765522153,-0.8089903515656736,0.040990656,certified,67.08203932499369,BAR_FULL,183.05930860156303,False
27,81445500000,alt,False,True,,,,0,2.6528968151981944,-0.5053457798776356,0.46217804642606675,-0.8027190966682415,0.00357056,certified,69.42621983083913,BAR_FULL,184.18059748048285,False
28,81460500000,alt,False,True,,,,0,2.6554668665555186,-0.4750526628564604,0.4554177517266321,-0.7974839419296222,0.01957056,certified,69.42621983083913,BAR_FULL,184.359026430993,False
29,81476500000,alt,False,True,,,,0,2.6489592871026426,-0.4215627423900332,0.443390071645688,-0.7921635831148772,0.05057056,certified,69.42621983083913,BAR_FULL,183.90722978933098,False
30,81492500000,alt,False,True,,,,0,2.64671684084566,-0.4563052567474155,0.4606681258777654,-0.7908949250276809,0.002011712,certified,73.08214556237385,BAR_FULL,193.4277454250688,False
