flight,flight_id,arm,unique_exposures,full_fixes,accepted_full_fixes,full_feature_rows,side_rows,tracker_fallback_rows,center_only_detections,feature_rows,total_frame_wall_ms,feature_delivery_age_p95_ms,feature_delivery_age_p99_ms,feature_delivery_age_max_ms,detector_p95_ms,detector_p99_ms,detector_max_ms,tracker_calls,tracker_p95_ms,tracker_p99_ms,tracker_max_ms,frame_process_p95_ms,frame_process_p99_ms,frame_process_mean_ms,frame_process_max_ms
F2,20260720T071112-cd18c5fb,detector_only,141,125,81,81,0,0,6,81,185.90129987569526,1.3953000016044825,1.5446999983396388,1.7450999876018614,1.409899996360764,1.561379991471767,3.682199981994927,0,,,,1.4816999901086092,1.6862799937371156,1.3184489352886188,3.7252000183798373
F2,20260720T071112-cd18c5fb,parallel_tracker,141,125,81,81,27,9,6,108,418.3742002642248,8.300110007985495,8.711246003513224,12.456600001314655,1.5746999997645617,1.7219399975147094,1.7597000114619732,34,7.1861650052596815,9.95761700411095,11.25290000345558,8.285999996587634,8.694280008785427,2.967192909675353,12.456900003599003
F4,20260720T071333-cd18c5fb,detector_only,120,115,64,64,0,0,5,64,155.4830999521073,1.4654250087914986,1.6357310008606865,1.8475999822840095,1.369895007519517,1.6467799906968144,1.8026000179816037,0,,,,1.4405349953449331,1.6737619938794528,1.295692499600894,1.8478999845683575
F4,20260720T071333-cd18c5fb,parallel_tracker,120,115,56,56,14,2,5,70,275.3602999728173,8.584134990815073,8.946824998711236,9.269400004995987,1.4344449795316905,1.9520269896020186,2.6200999855063856,17,7.387880003079772,7.432295987382531,7.443399983458221,8.490584994433448,8.800453001458663,2.294669166440144,9.269700007280335
