g,tau_s,L_ticks,rows_used,scoring_rows,post_lag_rows,max_horizon_s,max_post_lag_horizon_s,sse,mse,rms_mps,eligible,candidate_type,failing_rule,ineligible_reason
0.0,0.02,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.04,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.06,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.08,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.1,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.12,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.14,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.16,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.18,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.2,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.22,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.24,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.26,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.28,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.3,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.32,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.34,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.36,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.38,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.4,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.42,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.44,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.46,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.48,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.5,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.52,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.54,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.56,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.58,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.6,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.62,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.64,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.66,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.68,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.7,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.72,0,51,51,51,0.72,0.72,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.02,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.04,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.06,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.08,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.1,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.12,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.14,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.16,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.18,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.2,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.22,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.24,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.26,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.28,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.3,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.32,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.34,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.36,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.38,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.4,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.42,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.44,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.46,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.48,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.5,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.52,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.54,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.56,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.58,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.6,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.62,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.64,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
