group,series,config,run,fixture_dir,flight_id,exact_head_flown,command,param_integrity,speed_mps,vz_cap_mps,vel_leak,approach_speed_far_mps,approach_speed_near_mps,terminal_enable,gates_passed,pass_any,abort_bucket,abort_reason,survival_time_s,commit_attempts,closest_range_m,true_world_dz_at_closest_if_le_2p5_m,closest_true_world_dz_raw_m,closest_cert_status,killing_hit_class,killing_collision_kind,killing_impulse,killing_phase,killing_range_z_m,killing_true_world_dz_m,killing_detection_age_s,env_hits,gate_clips,collision_count,commit_entry_mono_list
R1h-control,r1h,B,6,20260723T054704-raceprep-r1h-B-run6,20260723T054636-d34a5ff2,e7dfdbe6f4ba45b34acb2ae33d77f7cc39a5a9be,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=13.9),17.916023,3,1.014159,-0.337427,-0.337427,none,env_NO_GATE_IN_VIEW,environment,13.868873,search,,,,1,1,2,462273548006100;462276536422700;462279068185200
R1h-control,r1h,B,7,20260723T054830-raceprep-r1h-B-run7,20260723T054800-d34a5ff2,a36d16675998ef26bd6a80a8f638a975275e4bfa,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=6.4),19.832027,3,1.841576,-0.987677,-0.987677,certified,env_NO_GATE_IN_VIEW,environment,6.372361,recover,2.173620,-0.638097,,1,0,1,462358648040000;462366088305300;462372608524400
R1h-control,r1h,B,8,20260723T054951-raceprep-r1h-B-run8,20260723T054928-d34a5ff2,adb57537182ba9b060775f4e987afffde711f562,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=2.6),13.796081,3,1.862621,0.181703,0.181703,certified,env_NO_GATE_IN_VIEW,environment,2.564934,search,,,,7,0,8,462445552275700;462450312588900;462451892384600
R1h-control,r1h,B,9,20260723T055114-raceprep-r1h-B-run9,20260723T055048-d34a5ff2,e7bf5d8b412551cad690be4e745578512a19b0be,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=2.9),16.024154,1,4.539314,,2.578249,certified,env_NO_GATE_IN_VIEW,environment,2.922215,recover,,,,2,0,2,462526126396500
R1h-control,r1h,B,10,20260723T055234-raceprep-r1h-B-run10,20260723T055209-d34a5ff2,682de15fb4f8c2eb72b56f70de1c3bf4e8ecf622,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,1,1,near_structure,environment collision (impulse=7.9),15.271998,2,0.847338,-0.072057,-0.072057,none,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,7.864116,search,0.495157,-0.723001,0.013528,1,0,1,462607577683200;462611077297200
R1i,r1i,B,1,20260723T062720-raceprep-r1i-B-run1,20260723T062657-5db07c76,d95bbc2d24741767ffa2be919f72b3db048129f5,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,far_structure_hangar,environment collision (impulse=5.4),13.328002,1,1.599437,0.728043,0.728043,none,env_FAR_STRUCTURE_or_hangar,environment,5.385774,search,25.865587,-8.530445,0.002113,17,0,17,464696671998200
R1i,r1i,B,2,20260723T062830-raceprep-r1i-B-run2,20260723T062814-5db07c76,82f55373c18dee513ac17d7957271507e32e7384,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,near_structure,environment collision (impulse=1.9),5.868026,1,3.104433,,0.183889,none,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,1.938352,commit,3.048306,-2.192113,0.025288,1,0,1,464773349761600
R1i,r1i,B,3,20260723T062940-raceprep-r1i-B-run3,20260723T062923-5db07c76,dee04716a5e31410e86c9f8993c04a7531b9927c,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,gate_clips,gate clip budget exceeded (11),7.275984,1,0.856736,-0.077739,-0.077739,probation,gate_TOP_bar,gate,0.161818,recover,1.206508,1.595490,0.087239,0,11,11,464841929202900
R1i,r1i,B,4,20260723T063050-raceprep-r1i-B-run4,20260723T063033-5db07c76,ed98cc7713da7a5c02f1535d50f7e12b1e9dd7f5,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,far_structure_hangar,environment collision (impulse=1.1),7.823995,2,1.896137,0.704099,0.704099,none,env_FAR_STRUCTURE_or_hangar,environment,1.140417,recover,26.082277,5.707003,0.002844,3,0,3,464911962203200;464913784868900
R1i,r1i,B,5,20260723T063203-raceprep-r1i-B-run5,20260723T063144-5db07c76,1452f5cdeeb0c403afcd309138c0bca00c2006a3,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=2.2),9.471989,2,2.251466,0.729797,0.729797,none,env_NO_GATE_IN_VIEW,environment,3.842025,search,,,0.266208,4,0,4,464983214300900;464986254433800
R1i,r1i,B,6,20260723T063321-raceprep-r1i-B-run6,20260723T063256-5db07c76,843eae2c02f0fcb98274a42e698fb74ee0e97caf,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=1.1),14.811990,2,0.679063,0.032200,0.032200,none,env_NO_GATE_IN_VIEW,environment,0.206787,recover,,,0.023205,23,5,28,465055526722300;465060866655200
R1i,r1i,B,7,20260723T063434-raceprep-r1i-B-run7,20260723T063414-5db07c76,7af13c31bed859bed467306b8f5464075fdeff17,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,near_structure,environment collision (impulse=3.2),9.728376,1,1.212313,-0.876757,-0.876757,probation,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,3.220719,align,0.706667,-0.904325,0.031263,1,0,1,465133996184500
R1i,r1i,B,8,20260723T063606-raceprep-r1i-B-run8,20260723T063528-5db07c76,5046ea4973ce565eef4cf3e47b5ad93a44419749,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,near_structure,environment collision (impulse=2.0),28.187984,5,1.282862,-0.990285,-0.990285,none,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,1.951635,recover,1.072439,-0.940831,0.477373,202,0,202,465207227326100;465209127417700;465216287407900;465222267227500;465229767199900
R1i,r1i,B,9,20260723T063731-raceprep-r1i-B-run9,20260723T063700-5db07c76,0390c6c808d84294662c55e6c47a0a1985a689e5,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,near_structure,environment collision (impulse=4.7),20.778943,3,1.294119,-0.161235,-0.161235,none,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,4.653239,align,1.377269,-1.529149,0.021506,2,1,3,465299405959300;465302526088800;465307226000400
R1i,r1i,B,10,20260723T063845-raceprep-r1i-B-run10,20260723T063826-5db07c76,099dfa5bbe0d41a061e4b9c4ff9d0ddc4f7d5d7f,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch estimation.vel_leak=0.01,OK,1.800000,1.200000,0.010000,3.000000,1.500000,false,0,0,near_structure,environment collision (impulse=2.4),9.632143,3,0.937125,-0.203407,-0.203407,none,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,2.654975,commit,0.754296,-0.658069,0.011853,3,0,3,465385344343400;465387884159800;465389365922700
