row,ts_ns,owner,engaged,ready,e_z,vz_up,v_bz_applied,sign_bad_vbz_vs_ez,range_m,lateral_m,true_dz_m,pitch_t_rad,gate_age_s,feature_cert_status,feature_span_px,feature_mode,span_x_range,visible_scale_gate_reject
1,171820000000,alt,False,False,,,,0,4.0187301052696816,0.010049850205398437,0.7709880084024052,-0.5559285466536381,0.0,certified,57.07889277132134,BAR_FULL,229.38466475556908,False
2,171836000000,alt,False,False,,,,0,4.008016223334316,0.009122820209083895,0.7639430807709859,-0.557685526145069,0.00588544,certified,57.07889277132134,BAR_FULL,228.77312823741576,False
3,171852000000,alt,False,False,,,,0,3.9373048359998926,0.004558040603140362,0.7560657819312824,-0.5921970753607901,0.03788544,certified,57.07889277132134,BAR_FULL,224.73700054204284,False
4,171883000000,alt,False,False,,,,0,3.886001033058442,0.0024847005577546813,0.7548906435673256,-0.618347597482926,0.05288544,certified,57.07889277132134,BAR_FULL,221.80863627518679,False
5,171899000000,alt,False,False,,,,0,3.8886709980638754,-0.037059110744196974,0.8601945668140454,-0.6500903498325045,0.008938432,certified,51.62363799656123,BAR_FULL,200.74734389177596,False
6,171914000000,alt,False,False,,,,0,3.7458094142469296,-0.04086898322729771,0.862657853869148,-0.7184213673020181,0.039938432,certified,51.62363799656123,BAR_FULL,193.37230920519454,False
7,171930000000,alt,False,False,,,,0,3.662571643523764,-0.0412573651281276,0.8647974359890128,-0.7551564184480893,0.055938432,certified,51.62363799656123,BAR_FULL,189.07527266174108,False
8,171961000000,alt,False,False,,,,0,3.652357737491469,-0.03820794025347768,0.914933525659165,-0.7877490059930314,0.018491968,certified,59.135437767890075,BAR_FULL,215.98377369149856,False
9,171977000000,alt,False,False,,,,0,3.5701352253046497,-0.03544288685593041,0.9179033859095829,-0.8203739062633038,0.034491968,certified,59.135437767890075,BAR_FULL,211.12150943895531,False
10,171992000000,alt,False,False,,,,0,3.4355630845164633,0.01706394301467546,0.8947271948945197,-0.8766835282750056,0.013870848,certified,57.0350769263968,BAR_FULL,195.94760481088554,False
11,172024000000,alt,False,False,,,,0,3.3614006511577297,0.022413946315899554,0.8979263089588748,-0.9019567232133653,0.029870848,certified,57.0350769263968,BAR_FULL,191.7177447192214,False
12,172039000000,alt,False,False,,,,0,3.296568300703003,0.027604472821606853,0.9011429204421214,-0.923156042830649,0.045870848,certified,63.00793600809346,BAR_FULL,207.70996453700423,False
13,172055000000,alt,False,False,,,,0,3.1105882305740735,0.033109674130106015,0.8205816918659308,-0.9551081677163231,0.017580992,certified,63.00793600809346,BAR_FULL,195.9917441795399,False
14,172070000000,alt,False,False,,,,0,3.1105882305740735,0.033109674130106015,0.8205816918659308,-0.9551081677163231,0.017580992,certified,63.00793600809346,BAR_FULL,195.9917441795399,False
15,172102000000,alt,False,True,,,,0,3.014570610465178,0.037734122483453245,0.7669840367629028,-0.9676512730132175,0.0,certified,65.03076195155643,BAR_FULL,196.03982375531913,False
16,172117000000,alt,False,True,,,,0,2.9897144352486578,0.04811629451413557,0.7718326167339806,-0.9711733030476551,0.026838592,certified,65.03076195155643,BAR_FULL,194.42340774178743,False
17,172133000000,alt,False,True,,,,0,2.9897144352486578,0.04811629451413557,0.7718326167339806,-0.9711733030476551,0.026838592,certified,65.03076195155643,BAR_FULL,194.42340774178743,False
18,172149000000,alt,False,True,,,,0,2.9367408818019554,0.023160288614874593,0.6932419945086248,-0.9624150266283914,0.015828544,certified,65.19202405202648,BAR_FULL,191.45208220100253,False
19,172180000000,alt,False,True,,,,0,2.9462342224963014,0.02182115332745446,0.6948199542323867,-0.9565992052496436,0.030828544,certified,65.19202405202648,BAR_FULL,192.07097229588243,False
20,172195000000,alt,False,True,,,,0,2.9609948763057323,0.02065955138059611,0.6967862620709118,-0.9486067392379296,0.046828544,certified,65.19202405202648,BAR_FULL,193.03324919405048,False
21,172211000000,alt,False,True,,,,0,2.9016778608243206,0.0378164653029699,0.6650925480560592,-0.9305631768785811,0.018443712,certified,73.43704787094863,BAR_FULL,213.09065597142745,False
22,172242000000,alt,False,True,,,,0,2.919977872476804,0.034356587362789945,0.6658332118281245,-0.9201012269018305,0.034443712,certified,73.43704787094863,BAR_FULL,214.4345548031898,False
23,172258000000,alt,False,True,,,,0,2.9373800143994213,0.030726125095711727,0.6668370489791997,-0.9098864633286107,0.049443712,certified,73.43704787094863,BAR_FULL,215.7125167326181,False
24,172274000000,alt,False,True,,,,0,3.0296130265168424,0.04714690635532833,0.6546542565421494,-0.8877222267725902,0.014535808,certified,65.00769185258002,BAR_FULL,196.94815006036924,False
25,172289000000,alt,False,True,,,,0,3.0296130265168424,0.04714690635532833,0.6546542565421494,-0.8877222267725902,0.014535808,certified,71.25307010929424,BAR_FULL,215.8692293824357,False
26,172320000000,alt,False,True,,,,0,3.0618488075533166,0.06032522171587066,0.7095132142855224,-0.8671716227878876,0.004571712,certified,71.25307010929424,BAR_FULL,218.16612774865544,False
27,172336000000,alt,False,True,,,,0,3.080192579840517,0.047186337897053135,0.709377013478552,-0.849998054454586,0.035571712,certified,71.25307010929424,BAR_FULL,219.47317784150428,False
28,172352000000,alt,False,True,,,,0,3.080192579840517,0.047186337897053135,0.709377013478552,-0.849998054454586,0.035571712,certified,71.25307010929424,BAR_FULL,219.47317784150428,False
29,172383000000,alt,False,True,,,,0,3.058307066814465,0.03451756454951408,0.6678683098647495,-0.8374463696401219,0.011260608,certified,68.06614430096654,BAR_FULL,208.1671701264591,False
30,172399000000,alt,False,True,,,,0,3.054159254180565,0.028680040750677094,0.6657515607953842,-0.8274111429484505,0.043260608,certified,68.06614430096654,BAR_FULL,207.8848445131867,False
31,172414000000,alt,False,True,,,,0,3.050501058752734,0.026136005612459316,0.6648557797721386,-0.8231950874673336,0.058260608,certified,68.06614430096654,BAR_FULL,207.6358452553148,False
32,172445000000,alt,False,True,,,,0,3.0314888653266627,-0.017963718882786327,0.671977219718255,-0.8192984705161073,0.02606656,certified,66.06814663663572,BAR_FULL,200.2848508817304,False
33,172461000000,alt,False,True,,,,0,3.0139148295910516,-0.006392030135323294,0.6697179517633394,-0.814436004432239,0.05706656,certified,66.06814663663572,BAR_FULL,199.12376691175254,False
34,172477000000,alt,False,True,,,,0,3.045198690691353,-0.01124541208520375,0.6821388263041236,-0.814436004432239,0.009225024,certified,66.06814663663572,BAR_FULL,201.1906336342874,False
35,172492000000,alt,False,True,,,,0,3.045198690691353,-0.01124541208520375,0.6821388263041236,-0.814436004432239,0.009225024,certified,66.06814663663572,BAR_FULL,201.1906336342874,False
36,172524000000,alt,False,True,,,,0,2.962319994812134,0.0586197817339376,0.6579488317984339,-0.8100834965635754,0.0,certified,67.00746227100382,BAR_FULL,198.49754528701428,False
37,172539000000,alt,False,True,,,,0,2.9478466197103432,0.05991985364399819,0.6554076240357622,-0.8094716999363851,0.011152384,certified,67.00746227100382,BAR_FULL,197.52772115094697,False
38,172555000000,alt,False,True,,,,0,2.934634118345679,0.06096674358322952,0.6530763516234743,-0.8086511887524858,0.026152384,certified,67.00746227100382,BAR_FULL,196.64238496424863,False
39,172570000000,alt,False,True,,,,0,2.908027769603426,0.06038201597485485,0.6482555579824245,-0.8063161503712679,0.057152384,certified,67.00746227100382,BAR_FULL,194.85956105473295,False
40,172602000000,alt,False,True,,,,0,2.876541983183642,0.0003151783543647972,0.6603030742260559,-0.8042887646502044,0.013277056,certified,70.00714249274856,BAR_FULL,201.37848450311074,False
41,172617000000,alt,False,True,,,,0,2.8408442463891284,0.056526887570750306,0.6537084552417759,-0.8017899269514486,0.0,certified,70.00714249274856,BAR_FULL,198.8793879566686,False
42,172633000000,alt,False,True,,,,0,2.8297067053578333,0.05222098630964716,0.6504468595927774,-0.7988801594799546,0.008912192,certified,70.00714249274856,BAR_FULL,198.0996805346719,False
43,172649000000,alt,False,True,,,,0,2.8185279279943374,0.04803692745612329,0.6466794520341553,-0.7952172926543601,0.024912192,certified,70.00714249274856,BAR_FULL,197.31708627489093,False
44,172680000000,alt,False,True,,,,0,2.7636361397388125,0.00783148268924615,0.6220124244305242,-0.7861934835905675,0.0,certified,71.11258679024411,BAR_FULL,196.5293148438315,False
45,172694500000,alt,False,True,,,,0,2.7454000104527405,0.008097442511399712,0.6133108168861503,-0.775276332869971,0.027430592,certified,71.11258679024411,BAR_FULL,195.2324965172576,False
46,172710500000,alt,False,True,,,,0,2.735930334398381,0.009267459059772318,0.6085267202633234,-0.7693418236155753,0.043430592,certified,71.11258679024411,BAR_FULL,194.55908335696648,False
47,172741500000,alt,False,True,,,,0,2.6999929749975107,0.03523278271360727,0.6421415768540669,-0.7635360137910797,0.006209472,certified,78.05767098754612,BAR_FULL,210.7551633110415,False
48,172757500000,alt,False,True,,,,0,2.6899670585226705,0.032991724729822494,0.6377332960900433,-0.7578923675756026,0.021209472,certified,78.05767098754612,BAR_FULL,209.97256362149983,False
49,172773500000,alt,False,True,,,,0,2.7135203861115276,0.00961422637218203,0.6525416252460956,-0.7520806301025365,0.0,certified,79.1012010022604,BAR_FULL,214.64272148553917,False
50,172788500000,alt,False,True,,,,0,2.6897175961779998,0.0055808384240794845,0.6426400094467911,-0.7420006589938171,0.024021312,certified,79.1012010022604,BAR_FULL,212.7598922145926,False
51,172819500000,alt,False,True,,,,0,2.675390386831295,0.004289483354438816,0.6369747441701715,-0.737737971435714,0.040021312,certified,79.1012010022604,BAR_FULL,211.62659274825748,False
52,172835500000,alt,False,True,,,,0,2.605409935640837,0.02665803621007768,0.5815437293027604,-0.7305523043001922,0.010591232,certified,84.02380615040002,BAR_FULL,218.9164593746119,False
53,172851500000,alt,False,True,,,,0,2.605409935640837,0.02665803621007768,0.5815437293027604,-0.7305523043001922,0.010591232,certified,84.02380615040002,BAR_FULL,218.9164593746119,False
54,172882500000,alt,False,True,,,,0,2.555908249768999,0.026761693402637638,0.5639688029570378,-0.7200879260662612,0.057591232,certified,84.02380615040002,BAR_FULL,214.75713931679857,False
55,172898500000,alt,False,True,,,,0,2.545284881638952,0.028160372386859554,0.5509459978711221,-0.7200879260662612,0.0,certified,84.0535543567314,BAR_FULL,213.9402411522063,False
56,172913500000,alt,False,True,,,,0,2.5112907129757938,0.027428522268281713,0.5391871531620948,-0.7133570452651692,0.02851776,certified,84.0535543567314,BAR_FULL,211.08291044866561,False
57,172929500000,alt,False,True,,,,0,2.5112907129757938,0.027428522268281713,0.5391871531620948,-0.7133570452651692,0.02851776,certified,84.0535543567314,BAR_FULL,211.08291044866561,False
58,172960500000,alt,True,True,,,,0,2.4639281132916664,0.04092642614582226,0.5375246870512633,-0.7075383523356132,0.004768576,certified,88.02272433866155,BAR_FULL,216.8816651065508,False
59,172976500000,alt,True,True,,,,0,2.44506141284502,0.040212975691337215,0.5321493937666796,-0.7046679267054965,0.020768576,certified,88.02272433866155,BAR_FULL,215.22096673395552,False
60,172991500000,alt,True,True,,,,0,2.425872789910443,0.039447453775562295,0.5265092222234158,-0.701915955445112,0.036768576,certified,88.02272433866155,BAR_FULL,213.53193186694673,False
61,173024000000,alt,True,True,,,,0,2.3218583600825524,0.040596065071477026,0.4651212398331981,-0.6972532050637085,0.02583168,certified,91.02197536858887,BAR_FULL,211.34013446078623,False
62,173039000000,alt,True,True,,,,0,2.3010258377817943,0.037017164235927616,0.4590442761169841,-0.6951799114343269,0.04183168,certified,91.02197536858887,BAR_FULL,209.44391712906105,False
63,173055000000,alt,True,True,,,,0,2.281525893465587,0.03325823120531097,0.45345278054546145,-0.6932225351006058,0.05683168,certified,95.00526301210897,BAR_FULL,216.756967577635,False
64,173070000000,alt,True,True,,,,0,2.232801722525383,0.049208373617633416,0.4413360471950786,-0.6908127139561666,0.010151616,certified,95.00526301210897,BAR_FULL,212.12791490241395,False
65,173102000000,alt,True,True,,,,0,2.225052383650511,0.05050961342182632,0.48262287903278567,-0.6861332353384992,0.0,certified,96.04686356149273,BAR_FULL,213.70930270965482,False
66,173116500000,alt,True,True,,,,0,2.203476109277886,0.04514080309993046,0.4765860026355728,-0.6835718743794152,0.004311936,certified,96.04686356149273,BAR_FULL,211.63696922882195,False
67,173132500000,alt,True,True,,,,0,2.1615363180417235,0.03406733314232659,0.46407116538083426,-0.6784619103913377,0.035311936,certified,96.04686356149273,BAR_FULL,207.60878382216478,False
68,173148500000,alt,True,True,,,,0,2.0967261999214006,-0.0037469155061599785,0.4285286290981911,-0.6762002462488634,0.011648064,certified,101.01980003939822,BAR_FULL,211.81086145342718,False
69,173179500000,alt,True,True,,,,0,2.075786620514404,-0.010843365526815231,0.42221459577678233,-0.6737922049699228,0.026648064,certified,101.01980003939822,BAR_FULL,209.69554932882332,False
70,173194500000,alt,True,True,,,,0,2.0459482208690876,-0.016606688200065327,0.4302763284334468,-0.6713113179421646,0.0,certified,108.11567878897121,BAR_FULL,221.1990806663494,False
71,173210500000,alt,True,True,,,,0,2.024732618353538,-0.019199719844757084,0.4242561114116419,-0.6687287627021994,0.003600832,certified,108.11567878897121,BAR_FULL,218.90534139946374,False
72,173241500000,alt,True,True,,,,0,1.957825930835001,-0.02442250827909685,0.4047221831800214,-0.6610248442984981,0.050600832,certified,108.11567878897121,BAR_FULL,211.67167946287555,False
73,173257500000,alt,True,True,,,,0,1.957825930835001,-0.02442250827909685,0.4047221831800214,-0.6610248442984981,0.050600832,certified,108.11567878897121,BAR_FULL,211.67167946287555,False
74,173273500000,alt,True,True,,,,0,1.9577102099404953,-0.04153040272171707,0.40936108567830987,-0.6588670447297722,0.00043584,certified,110.22250223978767,BAR_FULL,215.78371800002142,False
75,173288500000,alt,True,True,,,,0,1.9339407183260813,-0.04320051248064523,0.40304569157913295,-0.6572180938178185,0.01643584,certified,110.22250223978767,BAR_FULL,213.16378515731307,False
76,173319500000,alt,True,True,,,,0,1.8872297952458021,-0.044519038247256754,0.39069478752138537,-0.6549439017900087,0.04743584,certified,110.22250223978767,BAR_FULL,208.01519033347446,False
77,173335500000,alt,True,True,,,,0,1.8440655973112503,0.010693030127002168,0.4444309367456165,-0.6533693800894866,0.025056512,certified,122.06555615733703,BAR_FULL,225.09689272640966,False
78,173351500000,alt,True,True,,,,0,1.8440655973112503,0.010693030127002168,0.4444309367456165,-0.6533693800894866,0.025056512,certified,122.06555615733703,BAR_FULL,225.09689272640966,False
79,173382500000,alt,True,True,,,,0,1.7697484967635364,0.004711186617970041,0.3911557447794447,-0.6539734227807366,0.0,certified,124.03628501370073,BAR_FULL,219.51302894713044,False
80,173398500000,alt,True,True,,,,0,1.7433366710504417,0.006740700030877776,0.384440343889063,-0.6549401436191463,0.014853824,certified,124.03628501370073,BAR_FULL,216.2370042052488,False
81,173429500000,alt,True,True,,,,0,1.6928586332237479,0.009648739281393424,0.3714053110164873,-0.6564429658193993,0.045853824,certified,124.03628501370073,BAR_FULL,209.97589591844468,False
82,173460500000,alt,True,True,,,,0,1.6583504929254858,0.010580873511320458,0.3456577745100542,-0.6576491057610658,0.014687552,certified,127.01574705523721,BAR_FULL,210.63662673835145,False
83,173476500000,alt,True,True,,,,0,1.632357332066403,0.011342682983498395,0.3392035129183345,-0.6584754575888345,0.030687552,certified,127.01574705523721,BAR_FULL,207.3350859935081,False
84,173491500000,alt,True,True,,,,0,1.5826691371243609,0.012999030701351465,0.32704684954255875,-0.6598567272850226,0.061687552,certified,127.01574705523721,BAR_FULL,201.02390279311837,False
85,173523500000,alt,True,True,,,,0,1.547283761678127,-0.04145806494805083,0.31986037626423663,-0.66071173039211,0.008425984,certified,138.2316895650198,BAR_FULL,213.8836486132869,False
86,173538500000,alt,True,True,,,,0,1.521499488175758,-0.0394430563200763,0.31382312755061703,-0.6612669424421931,0.024425984,certified,138.2316895650198,BAR_FULL,210.31944492284788,False
87,173554500000,alt,True,True,,,,0,1.4978586237636888,-0.03691705789724308,0.3082154752295665,-0.6612607012520761,0.039425984,certified,138.2316895650198,BAR_FULL,207.05152829239,False
88,173569500000,alt,True,True,,,,0,1.4728240360641456,-0.03350894399042842,0.30230258832924095,-0.661165650211583,0.055425984,certified,138.2316895650198,BAR_FULL,203.59095493711848,False
89,173601500000,alt,True,True,,,,0,1.4052066847213165,-0.0299764402543791,0.2507791678778735,-0.6612231875447137,0.023824512,certified,147.12239802287073,BAR_FULL,206.73737717396813,False
90,173616500000,alt,True,True,,,,0,1.380400450671623,-0.026234097162314594,0.2454552862885428,-0.6613049329175491,0.039824512,certified,147.12239802287073,BAR_FULL,203.08782453466065,False
91,173632500000,alt,True,True,,,,0,1.3211132511284684,-0.02264165133384372,0.21255180410692387,-0.6611322852358215,0.0,certified,155.46382215808282,BAR_FULL,205.38531552412283,False
92,173663500000,alt,True,True,,,,0,1.2722433220512783,-0.016941783700258374,0.20302585686513258,-0.6608501366233186,0.026185024,certified,155.46382215808282,BAR_FULL,197.78780956118842,False
