arm,frame_id,mono_ns,feature_ts_ns,t_rel_s,phase,prior_z_m,prior_norm_m,det_range_norm_m,det_z_m,range_mismatch_m,range_mismatch_frac,mismatch_threshold_m,tracker_status_before
parallel_tracker,217,208288108167400,1784531617998289600,3.6298085,takeoff,4.006663476158424,5.8568932177981345,5.903064685875911,4.047199329727532,1.896401209717487,0.47331182691084156,1.6026653904633699,none
parallel_tracker,218,208288141270500,1784531618032906000,3.6629116,takeoff,4.171842550668341,5.860574382380942,5.867889994608405,4.179324756101015,1.6960474439400643,0.4065463697014051,1.6687370202673364,none
parallel_tracker,233,208288642079900,1784531618532909300,4.163721,takeoff,5.02884772969219,5.070967494167647,11.463143500467314,10.796955222752876,6.434295770775124,1.2794771519496695,2.0115390918768763,probation
parallel_tracker,234,208288680376400,1784531618567615000,4.2020175,takeoff,4.997919465255101,5.037976788499995,12.06717818521927,11.332240010257788,7.069258719964169,1.4144403024315928,1.9991677861020403,none
parallel_tracker,235,208288704115200,1784531618595451100,4.2257563,takeoff,4.959662469655596,4.99837086587787,11.462233977463775,10.79625731607787,6.502571507808179,1.3110915405216526,1.9838649878622385,none
parallel_tracker,237,208288773799400,1784531618664934200,4.2954405,takeoff,4.678320601741471,4.724663774045127,12.347778011898818,11.638992178429108,7.669457410157347,1.639361228750002,1.8713282406965885,none
parallel_tracker,238,208288808287600,1784531618699506100,4.3299287,takeoff,4.63273961598021,4.6748893922835615,11.599693047001322,10.930000516461654,6.966953431021112,1.5038517181041746,1.8530958463920841,none
parallel_tracker,240,208288870421500,1784531618761957900,4.3920626,takeoff,4.131830034650222,4.17672023164565,12.063141217221391,11.39761805983116,7.931311182571169,1.919563756509309,1.652732013860089,none
parallel_tracker,241,208288905075100,1784531618796687800,4.4267162,takeoff,4.071462873692228,4.119779223772576,11.886078503495078,11.208756296407342,7.81461562980285,1.9193631066359504,1.6285851494768915,none
parallel_tracker,242,208288939499500,1784531618831412600,4.4611406,takeoff,4.013118071296671,4.06127673269604,12.678510934933316,11.96540603748372,8.665392863636644,2.1592668617489204,1.6052472285186685,none
parallel_tracker,243,208288975387200,1784531618866189300,4.4970283,takeoff,3.938051822930445,3.983583673518552,11.828870721921232,11.20476784231135,7.890818898990787,2.0037366834647052,1.575220729172178,none
parallel_tracker,244,208289009334100,1784531618900787900,4.5309752,align,3.9000087207985823,3.945572618107968,12.68779506276723,11.985479988097923,8.787786341968648,2.2532735106728743,1.560003488319433,none
parallel_tracker,245,208289037124900,1784531618928642200,4.558766,align,3.834391188611099,3.886261982409253,11.724594655140683,11.089798891843762,7.890203466529584,2.0577460875575375,1.5337564754444397,none
