cohort,flight,side_frame_id,full_frame_id,side_topic,full_topic,side_ts_s,full_ts_s,dt_s,range_z_m,range_bin,side_e_z,full_e_z,residual_e_m
sweep29,20260719T163649-f170ead6,290,290,feature_side,feature,1784479016.300389,1784479016.300389,0.0,3.1579517033687674,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,291,291,feature_side,feature,1784479016.327654,1784479016.327654,0.0,3.1731755652455993,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,292,292,feature_side,feature,1784479016.3622563,1784479016.3622563,0.0,3.1319441154278747,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,293,293,feature_side,feature,1784479016.3969834,1784479016.3969834,0.0,3.056498077944373,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,294,294,feature_side,feature,1784479016.4316037,1784479016.4316037,0.0,2.962455095245123,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,295,295,feature_side,feature,1784479016.4663777,1784479016.4663777,0.0,2.886374702665064,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,296,296,feature_side,feature,1784479016.494182,1784479016.494182,0.0,2.8102095922309567,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,297,297,feature_side,feature,1784479016.5287318,1784479016.5287318,0.0,2.736804104098092,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,298,298,feature_side,feature,1784479016.563745,1784479016.563745,0.0,2.654223221927276,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,299,299,feature_side,feature,1784479016.5983658,1784479016.5983658,0.0,2.581979856298714,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,303,303,feature_side,feature,1784479016.7301679,1784479016.7301679,0.0,2.0916622073130906,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,305,305,feature_side,feature,1784479016.799583,1784479016.799583,0.0,1.9314006144030353,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,306,306,feature_side,feature,1784479016.827385,1784479016.827385,0.0,1.943290156675335,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,307,307,feature_side,feature,1784479016.8622086,1784479016.8622086,0.0,1.8760510239396808,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,308,308,feature_side,feature,1784479016.896736,1784479016.896736,0.0,1.8000715873323025,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,309,309,feature_side,feature,1784479016.931423,1784479016.931423,0.0,1.7059077160280558,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,310,310,feature_side,feature,1784479016.9665449,1784479016.9665449,0.0,1.5938302069168642,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,311,311,feature_side,feature,1784479016.9939525,1784479016.9939525,0.0,1.523484993470197,1p5-2p0,-0.45,-0.44665181795303105,-0.0033481820469689616
sweep29,20260719T163649-f170ead6,314,311,feature,feature,1784479017.098217,1784479016.9939525,0.10426449775695801,1.296461906513839,1p0-1p5,-0.45,-0.44665181795303105,-0.0033481820469689616
sweep29,20260719T173050-f170ead6,250,247,feature,feature,1784482255.9950898,1784482255.8978052,0.09728455543518066,3.1148576097750063,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T173050-f170ead6,251,254,feature,feature,1784482256.0300078,1784482256.1272511,0.0972433090209961,2.860485646115519,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T173050-f170ead6,254,254,feature_side,feature,1784482256.1272511,1784482256.1272511,0.0,3.364246395838226,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T173050-f170ead6,269,269,feature_side,feature,1784482256.626914,1784482256.626914,0.0,3.0549816597712636,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T173050-f170ead6,270,270,feature_side,feature,1784482256.6617732,1784482256.6617732,0.0,3.012627334286851,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T173050-f170ead6,300,300,feature_side,feature,1784482257.661449,1784482257.661449,0.0,1.9118508698685193,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T173050-f170ead6,301,301,feature_side,feature,1784482257.6964269,1784482257.6964269,0.0,1.859869069721106,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,274,274,feature_side,feature,1784491702.7757483,1784491702.7757483,0.0,3.3662479195553967,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,275,275,feature_side,feature,1784491702.8103645,1784491702.8103645,0.0,3.3480442083087034,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,276,276,feature_side,feature,1784491702.8452036,1784491702.8452036,0.0,3.3047079501496825,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,277,277,feature_side,feature,1784491702.879879,1784491702.879879,0.0,3.2025886600772004,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,278,278,feature_side,feature,1784491702.9147384,1784491702.9147384,0.0,2.993556510309914,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,279,279,feature_side,feature,1784491702.942512,1784491702.942512,0.0,2.809776508044811,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,280,280,feature_side,feature,1784491702.9772246,1784491702.9772246,0.0,2.8914496471160382,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,281,281,feature_side,feature,1784491703.0119257,1784491703.0119257,0.0,2.8965660874657706,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,282,282,feature_side,feature,1784491703.0465221,1784491703.0465221,0.0,2.8684048826409,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,283,283,feature_side,feature,1784491703.0813205,1784491703.0813205,0.0,2.8279745498050257,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,284,284,feature_side,feature,1784491703.1090462,1784491703.1090462,0.0,2.769571139572683,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,285,285,feature_side,feature,1784491703.1437106,1784491703.1437106,0.0,2.7025112020078685,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,286,286,feature_side,feature,1784491703.1784348,1784491703.1784348,0.0,2.658941091217273,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,287,287,feature_side,feature,1784491703.2132192,1784491703.2132192,0.0,2.602608146479696,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,289,289,feature_side,feature,1784491703.2756317,1784491703.2756317,0.0,2.461635766451143,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,290,290,feature_side,feature,1784491703.3104086,1784491703.3104086,0.0,2.439756605575992,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,291,291,feature_side,feature,1784491703.3451195,1784491703.3451195,0.0,2.3616577030118657,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T200816-f170ead6,533,533,feature_side,feature,1784491711.4133656,1784491711.4133656,0.0,1.9235941855269922,1p5-2p0,0.45,0.45,0.0
sweep29,20260719T201851-50f9dcc8,285,285,feature_side,feature,1784492338.3805795,1784492338.3805795,0.0,3.428938728232537,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,286,286,feature_side,feature,1784492338.4085748,1784492338.4085748,0.0,3.3271882158059847,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,287,287,feature_side,feature,1784492338.4429407,1784492338.4429407,0.0,3.3285023929186766,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,288,288,feature_side,feature,1784492338.4778514,1784492338.4778514,0.0,3.128922977416289,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,289,289,feature_side,feature,1784492338.5123944,1784492338.5123944,0.0,3.076833043426804,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,290,290,feature_side,feature,1784492338.5471375,1784492338.5471375,0.0,3.013716260384588,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,291,291,feature_side,feature,1784492338.5751188,1784492338.5751188,0.0,2.9682008759196608,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,297,297,feature_side,feature,1784492338.7763624,1784492338.7763624,0.0,2.4820796959408575,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,298,298,feature_side,feature,1784492338.8109152,1784492338.8109152,0.0,2.453789565690327,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,301,301,feature_side,feature,1784492338.9081259,1784492338.9081259,0.0,2.350909378177712,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,302,302,feature_side,feature,1784492338.9429884,1784492338.9429884,0.0,2.360039073618696,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,303,303,feature_side,feature,1784492338.9776273,1784492338.9776273,0.0,2.3039204113015956,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,304,304,feature_side,feature,1784492339.0124123,1784492339.0124123,0.0,2.2229525210106056,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,305,305,feature_side,feature,1784492339.0473356,1784492339.0473356,0.0,2.1552983633694747,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,306,306,feature_side,feature,1784492339.075412,1784492339.075412,0.0,2.0819080366091516,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,307,307,feature_side,feature,1784492339.1094599,1784492339.1094599,0.0,2.0324473521435866,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,308,308,feature_side,feature,1784492339.1449268,1784492339.1449268,0.0,1.9388780568960158,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,309,309,feature_side,feature,1784492339.179547,1784492339.179547,0.0,1.8446245029045305,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,310,310,feature_side,feature,1784492339.2136776,1784492339.2136776,0.0,1.7654946938982303,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,311,311,feature_side,feature,1784492339.2413788,1784492339.2413788,0.0,1.715484479935911,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,312,312,feature_side,feature,1784492339.276071,1784492339.276071,0.0,1.5979612740538265,1p5-2p0,-0.45,-0.40913566493568826,-0.04086433506431175
sweep29,20260719T201851-50f9dcc8,313,313,feature_side,feature,1784492339.311109,1784492339.311109,0.0,1.4694710908491615,1p0-1p5,-0.45,-0.4044994646635328,-0.045500535336467196
sweep29,20260719T201851-50f9dcc8,314,314,feature_side,feature,1784492339.3456786,1784492339.3456786,0.0,1.3850133868307322,1p0-1p5,-0.45,-0.3568618961010103,-0.09313810389898969
sweep29,20260719T201851-50f9dcc8,315,315,feature_side,feature,1784492339.3803594,1784492339.3803594,0.0,1.3271587416031214,1p0-1p5,-0.4174870015198588,-0.3232203044904954,-0.09426669702936341
sweep29,20260719T201851-50f9dcc8,316,316,feature_side,feature,1784492339.4078956,1784492339.4078956,0.0,1.2677735845134732,1p0-1p5,-0.3559877952488162,-0.24491759983445904,-0.11107019541435714
sweep29,20260719T201851-50f9dcc8,317,317,feature_side,feature,1784492339.4428716,1784492339.4428716,0.0,1.2139706654873417,1p0-1p5,-0.3482329262576793,-0.21727889165352687,-0.13095403460415245
sweep29,20260719T201851-50f9dcc8,318,318,feature_side,feature,1784492339.4774024,1784492339.4774024,0.0,1.1292388301472043,1p0-1p5,-0.3064846152470597,-0.20851966911705316,-0.09796494613000656
sweep29,20260719T201851-50f9dcc8,319,319,feature_side,feature,1784492339.5121758,1784492339.5121758,0.0,1.0461905435399257,1p0-1p5,-0.2932941588561862,-0.19243543235992103,-0.10085872649626518
sweep29,20260719T201851-50f9dcc8,320,319,feature,feature,1784492339.546983,1784492339.5121758,0.03480720520019531,0.9796062938597112,0p5-1p0,-0.29410694058401243,-0.19243543235992103,-0.1016715082240914
sweep29,20260719T201851-50f9dcc8,321,319,feature,feature,1784492339.5754132,1784492339.5121758,0.06323742866516113,0.9323016409055669,0p5-1p0,-0.29633595615618086,-0.19243543235992103,-0.10390052379625983
sweep29,20260719T201851-50f9dcc8,322,319,feature,feature,1784492339.609451,1784492339.5121758,0.0972752571105957,0.863492167085113,0p5-1p0,-0.3350238002343098,-0.19243543235992103,-0.14258836787438875
sweep29,20260719T201851-50f9dcc8,492,492,feature_side,feature,1784492345.275341,1784492345.275341,0.0,2.472585531477395,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T201851-50f9dcc8,494,494,feature_side,feature,1784492345.3447812,1784492345.3447812,0.0,2.2748092535565894,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T202445-f170ead6,726,726,feature_side,feature,1784492707.062894,1784492707.062894,0.0,1.8909243341384003,1p5-2p0,0.1677517183744694,0.45,-0.2822482816255306
sweep29,20260720T053635-f170ead6,253,253,feature_side,feature,1784525800.90845,1784525800.90845,0.0,3.2913952830339017,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T053635-f170ead6,254,254,feature_side,feature,1784525800.9361827,1784525800.9361827,0.0,3.2527422479807133,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T053635-f170ead6,255,255,feature_side,feature,1784525800.9710073,1784525800.9710073,0.0,3.463083028678021,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T053635-f170ead6,268,268,feature_side,feature,1784525801.408404,1784525801.408404,0.0,3.0935735942461546,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,316,316,feature_side,feature,1784525873.7877512,1784525873.7877512,0.0,2.7163099663763814,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,317,317,feature_side,feature,1784525873.8224428,1784525873.8224428,0.0,2.6320412209126482,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,318,318,feature_side,feature,1784525873.8569252,1784525873.8569252,0.0,2.703541367092252,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,319,319,feature_side,feature,1784525873.8918157,1784525873.8918157,0.0,2.71043957326959,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,320,320,feature_side,feature,1784525873.9265249,1784525873.9265249,0.0,2.7653429838123467,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,321,321,feature_side,feature,1784525873.9542627,1784525873.9542627,0.0,2.80081202173309,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,456,455,feature,feature,1784525878.4536715,1784525878.4261112,0.02756023406982422,4.1090933708099415,gte3p5,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,458,457,feature,feature,1784525878.5229967,1784525878.488655,0.03434157371520996,3.911253841342676,gte3p5,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,459,460,feature,feature,1784525878.5579062,1784525878.5926921,0.03478598594665527,3.893296653890012,gte3p5,-0.45,-0.45,0.0
sweep29,20260720T053745-5cebc2b2,466,463,feature,feature,1784525878.786984,1784525878.689944,0.09703993797302246,3.034622703711843,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,271,271,feature_side,feature,1784526022.928987,1784526022.928987,0.0,3.496662876646176,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,274,274,feature_side,feature,1784526023.033132,1784526023.033132,0.0,3.4012934975004745,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,275,275,feature_side,feature,1784526023.0679574,1784526023.0679574,0.0,3.240678811094626,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,276,276,feature_side,feature,1784526023.0956113,1784526023.0956113,0.0,3.173656969532442,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,277,277,feature_side,feature,1784526023.1303704,1784526023.1303704,0.0,3.14685130241491,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,278,278,feature_side,feature,1784526023.1648746,1784526023.1648746,0.0,3.1626817642463143,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,279,279,feature_side,feature,1784526023.1996305,1784526023.1996305,0.0,3.155059932150347,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,280,280,feature_side,feature,1784526023.2343757,1784526023.2343757,0.0,3.1155955038582746,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,281,281,feature_side,feature,1784526023.262224,1784526023.262224,0.0,3.06218096053091,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,282,282,feature_side,feature,1784526023.2970002,1784526023.2970002,0.0,2.975145996450628,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,283,283,feature_side,feature,1784526023.331751,1784526023.331751,0.0,2.946223946490677,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,284,284,feature_side,feature,1784526023.3664942,1784526023.3664942,0.0,2.8866100568378616,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,285,285,feature_side,feature,1784526023.4011154,1784526023.4011154,0.0,2.817162334011785,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,286,286,feature_side,feature,1784526023.4289894,1784526023.4289894,0.0,2.743943295278477,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,287,287,feature_side,feature,1784526023.4637249,1784526023.4637249,0.0,2.6763829008886244,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,288,288,feature_side,feature,1784526023.498472,1784526023.498472,0.0,2.5930802945112035,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260720T054016-5cebc2b2,289,289,feature_side,feature,1784526023.5331986,1784526023.5331986,0.0,2.523198689877781,2p5-3p0,-0.45,-0.45,0.0
