idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,lap_time_s,gate_clips,env_hits,overrun_frac,score,best_so_far,param_hash,log_dir,term_rows,engaged_rows,ready_rows,owner_term_rows,applied_rows,applied_while_not_ready_rows,param.planner.terminal.margin_m,param.planner.terminal.engage_range_m,param.planner.align.max_dz_m,param.control.att_rate.vel_p,param.control.att_rate.vel_i,param.control.att_rate.vz_p,param.control.att_rate.vz_i,param.control.att_rate.tilt_max_rad,param.control.att_rate.hover_thrust
11,20260719T191227-198244fa,1,False,True,environment collision (impulse=3.0),20.312999999994645,,1,1,0.7436151257176796,-142.03129999999948,-120.94219999999913,198244fa9054f4e3d0ba5e5601e5ef472dc9cca25a2a529a5557dc036e7e1381,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191227-198244fa,371,171,332,0,0,0,0.42131565573162333,2.5881539892102663,0.5187318405578956,0.4570950592589681,0.165653794945686,0.7575656421148427,0.3742496812981612,0.5414444397910786,0.56315316221268
12,20260719T191250-38f6de85,1,False,True,max duration,60.01600000000326,,0,1,0.7445564516129032,-126.00160000000032,-120.94219999999913,38f6de850435445b35dcd1815b9f7881960121663c461ff12ace47712b371848,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191250-38f6de85,342,64,117,0,0,0,0.435004796483494,2.4977363009027345,0.48646517608162104,0.4685607813418791,0.16620377949836362,0.6790052487238039,0.3298245013718698,0.4664833132592134,0.5958582605853153
13,20260719T191353-23d9fcb9,1,False,True,max duration,60.014999999984866,,0,1,0.7450183001220008,-126.00149999999849,-120.94219999999913,23d9fcb90d9d5a3343bbb14d9b178298a026679d617cf0a847af2919403c6182,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191353-23d9fcb9,1078,119,323,0,0,0,0.48931772983377936,2.501398274177369,0.45767095866206925,0.2802962239930326,0.1434997311654065,0.9045600977040182,0.48440726174684773,0.49521541899644034,0.5419059541461049
14,20260719T191456-34d112e7,0,False,True,environment collision (impulse=1.7),5.219000000011874,,0,1,0.7437694704049844,-220.52190000000118,-120.94219999999913,34d112e7f5f2b9f3ae017efd7956d46bceae20dae9727e4127eb2bc6feec5e5c,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191456-34d112e7,0,0,0,0,0,0,0.619562937897222,2.6090436393208436,0.4619880309157323,0.3598565310622258,0.13215768293174032,0.7333708294178908,0.6854690849683513,0.48920140930142486,0.55230358080554
15,20260719T191504-08fa90c0,0,False,True,environment collision (impulse=1.8),4.125,,0,1,0.7431906614785992,-220.4125,-120.94219999999913,08fa90c0f1803547167407aec1f6e431b8487c8c03ec61a18b3d35934924265b,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191504-08fa90c0,0,0,0,0,0,0,0.5401669565211958,2.528408454829468,0.384361581111125,0.3184232813950761,0.1420279067472039,1.1669787734692054,0.439334453794969,0.5144403651347641,0.5738185157774321
16,20260719T191511-1c169d4f,1,False,True,environment collision (impulse=2.2),25.53200000000652,,1,2,0.7457734239216306,-162.55320000000066,-120.94219999999913,1c169d4fed98b00a4a498ca835c347a6756ff039e930491ab98699e17a1fcda1,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191511-1c169d4f,347,157,45,0,0,0,0.4,2.5151084502011196,0.44147714231101737,0.49014284428020793,0.13948979937025616,0.8506620002764549,0.8,0.49938412948817745,0.557192820687867
17,20260719T191539-71666efb,0,False,True,environment collision (impulse=1.8),16.29700000002049,,0,1,0.7472527472527473,-221.62970000000206,-120.94219999999913,71666efb401914c2afbfb57b9deba77ead9f19c0f1eb1e34e0372616323451b9,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191539-71666efb,408,201,253,0,0,0,0.4805211290991853,2.455957666753832,0.38368423699129395,0.5612148456382887,0.1749072232614452,0.8397069922711946,0.5536288753062706,0.5212686713415663,0.4911393676728749
18,20260719T191558-b87451e4,1,False,True,environment collision (impulse=2.2),9.405999999988126,,0,1,0.7440139312146278,-120.94059999999881,-120.94059999999881,b87451e4dcec02ae6e7bd030576a6512771a52f2aa9261fe68835f5ece55c227,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191558-b87451e4,166,56,0,0,0,0,0.4904537367736462,2.4431610548236087,0.4008886658590219,0.15,0.12531704892038567,0.7771482698811748,0.8,0.5041998006034468,0.4502573405668433
19,20260719T191610-1d0f20f3,0,False,True,environment collision (impulse=2.4),10.687000000005355,,1,1,0.7463026166097838,-241.06870000000055,-120.94059999999881,1d0f20f3a36873d649c53d2b647e845da44aecef05c6c425c13a01baad1085af,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191610-1d0f20f3,194,106,83,0,0,0,0.4599734574640746,2.5596621272165994,0.4573968006857995,0.44978408054137403,0.15534613496327562,0.927224326898749,0.8,0.5060346062818655,0.49627739512803254
20,20260719T191624-14281b45,0,False,True,environment collision (impulse=3.3),20.187000000005355,,1,1,0.7449020391843263,-242.01870000000054,-120.94059999999881,14281b4584a3d52918341ea7c18ce508bc32efd12b5ec8df395d0841226b0d38,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191624-14281b45,336,146,64,0,0,0,0.5100374123680724,2.482064813915159,0.3960774476099154,0.5371295494576646,0.1500775154173434,0.9219801597897146,0.6092020135248798,0.5434294484290336,0.5522956611210138
21,20260719T191647-11a0abdd,2,True,False,,12.90700000000652,11.875000000000057,0,0,0.7484015345268542,188.12499999999994,188.12499999999994,11a0abddce12598c15a1987d64c2f8c8fe5030390b2f142a76403c0868eb4015,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191647-11a0abdd,253,123,0,0,0,0,0.46962772805810815,2.3504934897868077,0.3808710104319459,0.6,0.16203403273309486,0.7742057356518641,0.5414429473776964,0.5172932170110733,0.5464909474220024
