series,config,runs,pass_rate,total_gates_passed,collision_aborts,clip_budget_aborts,timeout_aborts,median_wall_time_s,best_wall_time_s,median_true_world_dz_m,min_true_world_dz_m,max_true_world_dz_m,spread_true_world_dz_m,median_abs_true_world_dz_m,param_ok_runs,term_status_tick_total,owner_term_tick_total,term_command_applied_total,admission_score_min_over_runs,admission_score_median_over_runs
R1f,A,5,0.000000,0,3,2,0,11.624305,8.056001,0.101524,-0.358237,0.537573,0.895810,0.160637,5,699,18,18,0.262341,0.651421
R1f,B,5,0.000000,0,4,0,1,12.628331,7.484111,0.436895,-0.309549,1.837608,2.147156,0.436895,5,0,0,0,,
