series,config,run,fixture_dir,flight_id,line_no,detection_mono_ns,state_mono_ns,state_detection_dt_s,range_m,true_world_dz_m,center_px_x,center_px_y,cert_status
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,750,406209381821500,406209362982500,0.018839,6.143251,-1.351112,321.250000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,765,406209416800500,406209402957200,0.013843,6.143251,-1.357022,321.250000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,781,406209453283300,406209442713600,0.010570,6.143251,-1.357036,321.250000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,795,406209487768200,406209482723900,0.005044,6.178042,-1.357263,321.500000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,807,406209521592000,406209502730600,0.018861,6.143251,-1.351297,321.250000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,821,406209547942300,406209542827000,0.005115,6.143251,-1.351470,321.250000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,835,406209583259900,406209582759100,0.000501,6.178057,-1.351680,321.500000,173.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,848,406209617222300,406209602959300,0.014263,6.143811,-1.358391,321.750000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,863,406209651924400,406209642807600,0.009117,6.143429,-1.352569,321.750000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,878,406209688019000,406209682741000,0.005278,6.143251,-1.358617,321.250000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,889,406209712994200,406209702715000,0.010279,6.143251,-1.352759,321.250000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,904,406209751280700,406209742729900,0.008551,6.143561,-1.359031,321.250000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,918,406209785897900,406209783131100,0.002767,6.141191,-1.340509,321.250000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,933,406209822481700,406209802768000,0.019714,6.003051,-1.222478,322.500000,176.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,947,406209856756500,406209842964000,0.013792,6.230477,-1.299375,321.000000,174.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,959,406209883213200,406209882756800,0.000456,6.237855,-1.292173,321.250000,175.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,973,406209916761300,406209903034400,0.013727,6.175984,-1.334898,320.500000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,988,406209955717500,406209942826700,0.012891,6.320090,-1.366147,324.250000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1001,406209988028800,406209982996200,0.005033,6.261779,-1.290866,322.000000,177.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1014,406210015643400,406210002755200,0.012888,5.952655,-1.203673,323.750000,175.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1030,406210055096500,406210042744800,0.012352,6.036160,-1.244839,322.000000,175.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1044,406210088605700,406210083090600,0.005515,5.951990,-1.198825,321.000000,176.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1057,406210120746200,406210103046100,0.017700,6.059742,-1.243420,321.750000,175.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1071,406210154540800,406210142846400,0.011694,6.103425,-1.325629,321.500000,174.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1085,406210187797600,406210182747600,0.005050,6.210897,-1.348927,322.500000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1097,406210217931100,406210202762900,0.015168,6.211107,-1.348613,322.000000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1113,406210257553700,406210242771900,0.014782,6.090418,-1.249416,321.500000,175.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1126,406210290446200,406210283803600,0.006643,6.234412,-1.352335,322.000000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1140,406210322380200,406210302955000,0.019425,6.064117,-1.241717,321.750000,175.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1153,406210352409400,406210342749300,0.009660,6.034587,-1.233411,322.000000,175.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1167,406210384578500,406210382810900,0.001768,6.090418,-1.249683,321.500000,175.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1182,406210422138500,406210402769400,0.019369,5.947293,-1.203403,322.250000,177.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1195,406210452764500,406210442912800,0.009852,5.900981,-1.249489,319.750000,175.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1209,406210492822500,406210482997500,0.009825,6.141191,-1.338398,321.250000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1224,406210525332300,406210523230700,0.002102,5.922158,-1.246837,319.500000,176.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1236,406210552516200,406210542858300,0.009658,6.141191,-1.338792,321.250000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1250,406210588002900,406210583169600,0.004833,6.141191,-1.338775,321.250000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1264,406210621663900,406210602732200,0.018932,5.891743,-1.284455,319.750000,174.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1278,406210655829900,406210643442800,0.012387,6.106487,-1.256539,320.750000,175.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1292,406210690040900,406210682855300,0.007186,6.141191,-1.338289,321.250000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1305,406210718746400,406210703449100,0.015297,6.106487,-1.256003,320.750000,175.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1319,406210751832800,406210743017100,0.008816,6.065384,-1.284342,321.250000,175.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1333,406210787714700,406210782798200,0.004916,6.070731,-1.245613,322.000000,175.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1346,406210819406800,406210802782800,0.016624,6.229488,-1.296912,321.250000,175.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1362,406210861968400,406210843089900,0.018878,6.248225,-1.358312,320.500000,172.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1375,406210889497500,406210883281400,0.006216,6.248225,-1.358289,320.500000,172.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1390,406210923380600,406210922976600,0.000404,6.402879,-1.334589,321.500000,174.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1402,406210956828800,406210942747700,0.014081,6.336036,-1.364954,324.250000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1416,406210989753800,406210982765100,0.006989,6.425200,-1.343606,321.000000,176.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1432,406211026692900,406211023239500,0.003453,6.320502,-1.352975,322.250000,173.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1443,406211056538300,406211042942900,0.013595,6.392235,-1.340068,321.500000,174.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1457,406211088679600,406211082752500,0.005927,6.315205,-1.314998,321.000000,174.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1473,406211128067800,406211123251100,0.004817,6.214748,-1.290953,321.500000,175.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1485,406211163035000,406211143178100,0.019857,6.439675,-1.369275,321.250000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1498,406211188829400,406211183150300,0.005679,6.103413,-1.256296,322.500000,175.000000,certified
