phase,flight_id,attempt_n,closest_dist_m,t_closest_s,miss_lateral_m,miss_vertical_cam_ty,miss_vertical_phantom_dz,miss_vertical_true_dz,phantom_delta_m,old_label,true_label,reattributed,level_pitch,gate_rel_age_s,ended_retreat,gates_passed,result
20260714T203252,20260714T202447-58cd98ad,1,0.5020347117447653,25.3263896,-0.09227077891328053,0.4542544943647272,0.4687148442207002,0.41208134135148966,0.05663350286921054,HIGH,HIGH,same,-0.3106976526226439,1.068369928,False,0,environment collision (impulse=4.1)
20260714T203252,20260714T202743-58cd98ad,1,1.7875962704510246,21.7606031,0.09960728275140367,0.4363965380635465,0.8046491427471474,1.2443334305139757,-0.43968428776682833,HIGH,HIGH,same,-0.310699850435547,0.382255792,True,0,environment collision (impulse=5.0)
20260714T212450,20260714T210518-58cd98ad,1,0.8731553312032575,22.6032785,0.07446074050593315,0.5614458205674839,0.6663545622940286,0.8069498102820228,-0.14059524798799428,HIGH,HIGH,same,-0.31069765261239013,0.53255532,True,0,gate clip budget exceeded (11)
20260714T212450,20260714T210844-58cd98ad,1,3.9315426966572105,21.4966936,-0.07375146914158187,1.2287958533781589,1.630568563406014,2.645739654422292,-1.0151710910162781,HIGH,HIGH,same,-0.3106865462608546,1.179969032,False,0,environment collision (impulse=1.4)
20260714T212450,20260714T211404-58cd98ad,1,0.3060949058963292,23.0974635,-0.07448921083937685,0.28716974664471656,0.2665073480507893,0.2135703864326468,0.052936961618142486,HIGH,HIGH,same,-0.310674263008159,0.4335288,False,0,environment collision (impulse=3.2)
20260715T052244,20260715T045100-411f3135,1,1.1178335711390086,22.5670385,-0.045537500025763455,0.9340342894918781,0.9263653482640238,1.0647518751015224,-0.13838652683749852,HIGH,HIGH,same,-0.3106588299401892,1.21005048,True,0,environment collision (impulse=1.2)
20260715T052244,20260715T045458-411f3135,1,0.1714315402228998,23.1068473,-0.010113182443353323,0.12169987160348739,0.11550219661062638,0.07145844329393923,0.044043753316687154,CENTERED,CENTERED,same,-0.3106806427598011,1.089216016,True,0,environment collision (impulse=5.2)
20260715T052244,20260715T051458-6092dbc0,1,2.0177589173978934,21.9790521,0.16624398594187603,1.7618170113689073,1.729008146663254,1.9641687930052578,-0.23516064634200373,HIGH,HIGH,same,-0.31065457917904177,1.186280984,False,0,environment collision (impulse=17.5)
20260715T135600,20260715T121747-22978559,1,0.35618584425949784,22.5057367,-0.09562162192864664,0.23421190112009954,0.24669142803627406,0.1802440021444717,0.06644742589180236,HIGH,HIGH,same,-0.3107008886685341,1.02498228,False,0,environment collision (impulse=28.5)
20260715T135600,20260715T122040-22978559,1,1.3364184501373377,30.6798284,0.21479570418161414,-0.5864239299073933,-0.1601669418874344,0.21130514243313514,-0.37147208432056955,LOW,HIGH,LOW->HIGH,-0.3106924332454775,1.492437008,False,0,environment collision (impulse=1.2)
20260715T135600,20260715T122352-22978559,1,0.17602606716912383,23.4029517,-0.1431471087958622,0.10189282351171634,0.12627328087569706,0.10912052412716655,0.017152756748530507,CENTERED,CENTERED,same,-0.310667315065571,1.185721224,False,0,environment collision (impulse=3.7)
20260715T135600,20260715T122352-22978559,2,0.131180840041377,29.482738,-0.027703290156032317,-0.012851038007882487,0.06854408273773074,0.08720085597995982,-0.01865677324222907,CENTERED,CENTERED,same,-0.310667315065571,1.239338832,False,0,environment collision (impulse=3.7)
20260715T190627,20260715T183716-8e6cf1f5,1,2.457076347697427,22.8416815,-0.38408734621787394,0.9374685016250459,1.0698989286672886,1.6643525310582261,-0.5944536023909375,HIGH,HIGH,same,-0.3106992590765755,1.185187304,False,0,environment collision (impulse=2.5)
20260715T190627,20260715T184758-8e6cf1f5,1,3.1134375745766323,22.3221471,0.3701583610008393,-0.3520083495781384,-0.27444538733414403,0.6867242170480394,-0.9611696043821835,LOW,HIGH,LOW->HIGH,-0.3106604122615707,1.087872568,True,0,stale channels: frame
20260715T190627,20260715T185046-8e6cf1f5,1,1.4524990433387768,22.5024505,-0.06104805537594985,-0.024652397589113424,0.05596340425303359,0.4898057570627988,-0.4338423528097652,CENTERED,HIGH,CENTERED->HIGH,-0.31070519225864673,1.210963104,True,0,environment collision (impulse=1.3)
20260715T190627,20260715T185843-7f28e2fb,1,2.8654344484292094,22.2609366,-0.11439877599349874,0.38376309684816823,0.45167854239402655,1.2906446235619782,-0.8389660811679516,HIGH,HIGH,same,-0.3106582383002317,1.178309096,False,0,environment collision (impulse=3.0)
20260715T200734,20260715T195033-8edfeec4,1,1.5286614067293676,23.0042816,-0.23838839057598424,0.2985566068943142,0.42648012265210883,0.854599889150987,-0.4281197664988781,HIGH,HIGH,same,-0.3106811814730025,1.204154512,True,0,environment collision (impulse=4.2)
20260715T200734,20260715T200011-8edfeec4,1,2.5859118942410158,22.4562459,0.012290733720037845,0.510418663316294,0.5954502601739867,1.336011320613848,-0.7405610604398613,HIGH,HIGH,same,-0.3106588300033909,1.191966376,True,0,environment collision (impulse=1.9)
20260715T200734,20260715T200142-8edfeec4,1,2.0361996644122007,22.6059091,-0.08546079558436828,0.20104615623832522,0.3636645142485838,0.9520381215931818,-0.588373607344598,HIGH,HIGH,same,-0.31067314917280114,1.255873344,False,0,environment collision (impulse=2.4)
20260715T211420,20260715T203300-8edfeec4,1,1.2687345372832135,22.4798646,0.04489748331467581,0.05583471928077507,0.12674172187735527,0.4943169236256196,-0.3675752017482643,CENTERED,HIGH,CENTERED->HIGH,-0.3106960924355512,1.192916664,True,0,environment collision (impulse=10.1)
20260715T211420,20260715T203300-8edfeec4,2,0.4481966754014821,27.1199197,0.43616769468430777,-0.05823448363978144,0.07403007668930969,0.07661731255515783,-0.0025872358658481365,CENTERED,CENTERED,same,-0.3106960924355512,1.197870064,False,0,environment collision (impulse=10.1)
20260715T211420,20260715T204925-8edfeec4,1,1.9825360609078475,22.6564205,-0.12471121664888875,0.1894954026343575,0.2834743184210518,0.8329994071836238,-0.549525088762572,HIGH,HIGH,same,-0.31067955193811253,1.186438656,False,0,environment collision (impulse=5.1)
20260715T211420,20260715T205124-8edfeec4,1,1.841601671086468,22.4435952,-0.07842563729153237,0.28949904186302206,0.49112715460871653,0.9643314019346381,-0.47320424732592153,HIGH,HIGH,same,-0.3106833331805261,1.193395632,False,0,environment collision (impulse=1.2)
20260715T211420,20260715T205845-fc86a160,1,0.053827381065637725,28.0594838,-0.04757712704735871,0.021324696219171102,0.02874050717763954,0.0339251229200507,-0.005184615742411157,CENTERED,CENTERED,same,-0.310671588848324,1.10091664,False,0,environment collision (impulse=9.3)
20260716T023148,20260715T213138-8edfeec4,1,1.340230302335822,20.1553137,-0.13690399992168945,-0.46834774349669683,-0.3861857476898476,0.007889506414176267,-0.3940752541040239,LOW,CENTERED,LOW->CENTERED,-0.31069292573598667,0.26109516,True,0,gate clip budget exceeded (11)
