diagnostic_only,cluster_id,flight_id,age_s,range_z_m,command_regime,vz_cmd_old_mps,vz_cmd_new_mps,command_delta_mps,e_cross_old_m,e_cross_new_m,admission_proxy_old_abs_plus_guard_m,admission_proxy_new_abs_plus_guard_m
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.0,2.0990217831725255,saturated,-0.07016304462278057,-0.07016304462278057,0.0,0.13756497626960656,1.7363031834783578,0.19756497626960656,1.7963031834783578
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.03487396240234375,2.0128849435913914,saturated,-0.07331753833035143,-0.07331753833035143,0.0,0.12734372171240788,1.6572960731826643,0.18734372171240787,1.7172960731826643
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.06933760643005371,1.9027490654879835,saturated,-0.07584387025844334,-0.07584387025844334,0.0,0.1197709844449639,1.5987611756139621,0.1797709844449639,1.6587611756139622
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.09719133377075195,1.8205209770928898,saturated,-0.0784449752379012,-0.0784449752379012,0.0,0.11248374392705301,1.5424330788888547,0.172483743927053,1.6024330788888548
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.16664981842041016,1.648511592213068,saturated,-0.0846235733267262,-0.0846235733267262,0.0,0.09696972575784579,1.4225145563860868,0.1569697257578458,1.4825145563860869
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.2360548973083496,1.497103373282544,saturated,-0.09213695298898175,-0.09213695298898175,0.0,0.08090767591161274,1.2983599199200075,0.14090767591161274,1.3583599199200076
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.0,2.0128849435913914,saturated,-0.07331753833035143,-0.07331753833035143,0.0,0.34162780701487083,1.9088836226011185,0.40162780701487083,1.9688836226011186
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.03446364402770996,1.9027490654879835,saturated,-0.07584387025844334,-0.07584387025844334,0.0,0.3269173442524477,1.8419684346194878,0.38691734425244767,1.9019684346194878
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.0623173713684082,1.8205209770928898,saturated,-0.0784449752379012,-0.0784449752379012,0.0,0.31276147478363503,1.7775759894702647,0.372761474783635,1.8375759894702648
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.1317758560180664,1.648511592213068,saturated,-0.0846235733267262,-0.0846235733267262,0.0,0.28262463277872163,1.6404890411872515,0.3426246327787216,1.7004890411872515
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.20118093490600586,1.497103373282544,saturated,-0.09213695298898175,-0.09213695298898175,0.0,0.25142320880129276,1.498559505423259,0.31142320880129276,1.558559505423259
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.0,1.9027490654879835,saturated,-0.07584387025844334,-0.07584387025844334,0.0,0.4607667287766566,1.5853395244807498,0.5207667287766566,1.6453395244807498
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.027853727340698242,1.8205209770928898,saturated,-0.0784449752379012,-0.0784449752379012,0.0,0.4421726362154479,1.5294564673963493,0.5021726362154479,1.5894564673963494
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.09731221199035645,1.648511592213068,saturated,-0.0846235733267262,-0.0846235733267262,0.0,0.4025871320557458,1.4104854027214078,0.4625871320557458,1.4704854027214078
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.1667172908782959,1.497103373282544,saturated,-0.09213695298898175,-0.09213695298898175,0.0,0.36160327255096536,1.2873116929689472,0.42160327255096536,1.3473116929689473
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.0,1.8205209770928898,saturated,-0.0784449752379012,-0.0784449752379012,0.0,0.653102648044447,1.5618194014242712,0.7131026480444469,1.6218194014242713
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.0694584846496582,1.648511592213068,saturated,-0.0846235733267262,-0.0846235733267262,0.0,0.5981165679372992,1.4404854305935983,0.6581165679372991,1.5004854305935984
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.13886356353759766,1.497103373282544,saturated,-0.09213695298898175,-0.09213695298898175,0.0,0.5411881081471104,1.3148653451800179,0.6011881081471104,1.374865345180018
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.03473234176635742,1.648511592213068,saturated,-0.0846235733267262,-0.0846235733267262,0.0,0.8666928207146093,1.483385839551691,0.9266928207146092,1.543385839551691
True,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,0.10413742065429688,1.497103373282544,saturated,-0.09213695298898175,-0.09213695298898175,0.0,0.7878631010073147,1.3542674068440912,0.8478631010073148,1.4142674068440912
True,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb,0.0,3.4850427044467667,authority_limited,-0.0489539946605699,-0.0489539946605699,0.0,-0.1,-0.1,0.16,0.16
