approach_id,cluster_id,flight,flight_id,fixture_dir,era,recording_regime,provenance,metrology_only,measurement_latch_mechanism_eligible,term_command_regime_eligible,t_start_s,t_end_s,full_rows_below_3p5,side_rows_est,full_depth_m,est_rows,census_ok,legal_cut_count,diagnostic_forced_legal_five,strict_failure_reason
20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb:A1,A107,20260720T071112-cd18c5fb,20260720T071602-phase6l-cohort-3,phase6l,terminal_live,valid_gate_lock; no_p4_identity_contamination,False,True,True,4.9148057,8.0190743,18,7,1.064305018103599,7,True,15,,
20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1,A109,20260720T071333-cd18c5fb,20260720T071602-phase6l-cohort-3,phase6l,terminal_live,valid_gate_lock; no_p4_identity_contamination,False,True,True,3.3440106,7.2118307,13,26,2.7790967938171347,26,True,10,,
20260720T071545-cd18c5fb:A1,20260720T071545-cd18c5fb:A1,A111,20260720T071545-cd18c5fb,20260720T071602-phase6l-cohort-3,phase6l,terminal_live,DIAGNOSTIC forced by RESPONSE38 legal-five list; strict current maintenance predicate=NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,True,True,5.4974831,6.4347365,8,0,2.9110505094641344,0,False,5,True,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL
20260720T134522-9aa0ef5c:A1,20260720T134522-9aa0ef5c:A1,A113,20260720T134522-9aa0ef5c,20260720T134548-phase7m-metrology-f2,phase7m,metrology,DIAGNOSTIC forced by RESPONSE38 legal-five list; strict current maintenance predicate=NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,True,True,False,4.7561907,6.8860644,14,0,2.6274318964215895,0,False,6,True,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL
20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1,A114,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,phase7m,metrology,valid_gate_lock; no_p4_identity_contamination,False,True,True,4.3461296,11.0447985,35,20,1.315349361769845,20,True,24,,
