group,series,config,run,fixture_dir,flight_id,exact_head_flown,command,param_integrity,speed_mps,vz_cap_mps,approach_speed_far_mps,approach_speed_near_mps,retreat_speed_mps,terminal_enable,gates_passed,pass_any,abort_bucket,abort_reason,survival_time_s,commit_attempts,closest_range_m,true_world_dz_at_closest_if_le_2p5_m,closest_true_world_dz_raw_m,closest_cert_status,killing_hit_class,killing_collision_kind,killing_impulse,killing_phase,killing_range_z_m,killing_true_world_dz_m,killing_detection_age_s,env_hits,gate_clips,collision_count,commit_entry_mono_list
R1h,r1h,B,1,20260723T054025-raceprep-r1h-B-run1,20260723T054003-d34a5ff2,34c1a77987de2c40252890446f22cd0180ad22c6,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=1.2),11.700040,1,3.802321,,1.448730,none,env_NO_GATE_IN_VIEW,environment,0.414439,search,,,,3,0,3,461881525144200
R1h,r1h,B,2,20260723T054143-raceprep-r1h-B-run2,20260723T054123-d34a5ff2,6de7bd555a21044ee80d29f038d9aea28b30b363,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,clips,gate clip budget exceeded (11),10.252843,3,1.368313,0.506396,0.506396,certified,gate_OPENING_or_UNSPECIFIED,gate,0.129962,recover,,,0.006633,0,11,11,461961191502700;461964286761700;461965294744900
R1h,r1h,B,3,20260723T054307-raceprep-r1h-B-run3,20260723T054240-d34a5ff2,5d0947fb1369bdc5551df5f0a644db3155f168fc,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=4.9),17.091873,2,1.388151,-0.243346,-0.243346,none,env_NO_GATE_IN_VIEW,environment,4.905730,search,,,,1,0,1,462037604660000;462047320545000
R1h,r1h,B,4,20260723T054421-raceprep-r1h-B-run4,20260723T054403-d34a5ff2,6e1d8cbfc0f8611aadd51ea13073a2f746e8d37e,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,near_structure,environment collision (impulse=1.4),9.012061,1,0.976228,-0.100558,-0.100558,none,env_MID_STRUCTURE_intergate,environment,1.428659,recover,8.672961,-0.809972,0.024126,1,0,1,462121418773100
R1h,r1h,B,5,20260723T054541-raceprep-r1h-B-run5,20260723T054521-d34a5ff2,50aa5385734a9518fb7442a63ea0ddc2e5f2ad7a,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=3.2),10.664186,2,2.084343,0.422654,0.422654,none,env_NO_GATE_IN_VIEW,environment,3.198529,recover,,,,2,0,2,462198992429400;462201712084800
R1h,r1h,B,6,20260723T054704-raceprep-r1h-B-run6,20260723T054636-d34a5ff2,e7dfdbe6f4ba45b34acb2ae33d77f7cc39a5a9be,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=13.9),17.916023,3,1.014159,-0.337427,-0.337427,none,env_NO_GATE_IN_VIEW,environment,13.868873,search,,,,1,1,2,462273548006100;462276536422700;462279068185200
R1h,r1h,B,7,20260723T054830-raceprep-r1h-B-run7,20260723T054800-d34a5ff2,a36d16675998ef26bd6a80a8f638a975275e4bfa,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=6.4),19.832027,3,1.841576,-0.987677,-0.987677,certified,env_NO_GATE_IN_VIEW,environment,6.372361,recover,2.173620,-0.638097,,1,0,1,462358648040000;462366088305300;462372608524400
R1h,r1h,B,8,20260723T054951-raceprep-r1h-B-run8,20260723T054928-d34a5ff2,adb57537182ba9b060775f4e987afffde711f562,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=2.6),13.796081,3,1.862621,0.181703,0.181703,certified,env_NO_GATE_IN_VIEW,environment,2.564934,search,,,,7,0,8,462445552275700;462450312588900;462451892384600
R1h,r1h,B,9,20260723T055114-raceprep-r1h-B-run9,20260723T055048-d34a5ff2,e7bf5d8b412551cad690be4e745578512a19b0be,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=2.9),16.024154,1,4.539314,,2.578249,certified,env_NO_GATE_IN_VIEW,environment,2.922215,recover,,,,2,0,2,462526126396500
R1h,r1h,B,10,20260723T055234-raceprep-r1h-B-run10,20260723T055209-d34a5ff2,682de15fb4f8c2eb72b56f70de1c3bf4e8ecf622,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,OK,1.800000,1.200000,1.500000,1.000000,0.800000,false,1,1,near_structure,environment collision (impulse=7.9),15.271998,2,0.847338,-0.072057,-0.072057,none,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,7.864116,search,0.495157,-0.723001,0.013528,1,0,1,462607577683200;462611077297200
