age_bin,n,raw_p95_abs_centered_r_v_mps,isotonic_B_rate_drift_mps
0p00-0p10,0,,0.0
0p10-0p20,3,0.04608008789069488,0.04608008789069488
0p20-0p30,6,0.03387983495663782,0.04608008789069488
0p30-0p40,6,0.07256561352763574,0.07256561352763574
0p40-0p50,1,0.12821751270944887,0.12821751270944887
gt0p50,0,,0.12821751270944887
