command_regime,n,age_min_s,age_max_s,signed_mean_r_v_mps,signed_median_r_v_mps,r_v_rms_mps
up,0,,,,,
down,0,,,,,
triangular,0,,,,,
slew_limited,3,0.3960843086242676,0.430652379989624,-0.2618337753769062,-0.2961729283273769,0.2662992316527328
saturated,0,,,,,
flat_no_ff,13,0.1667172908782959,0.36113858222961426,-0.4369742586547543,-0.4369742586547543,0.4369742586547543
