flight,cluster_id,anchor_frame_id,anchor_ts_s,age_s,age2_s2,age_bin,anchor_n,anchor_span_s,anchor_authority,anchor_v_mps,oracle_v_mps,r_v_mps,rv2_m2ps2
F2,F2:pseudo_full_only,194,1784531476.493936,0.1,0.010000000000000002,0p10-0p20,4,0.09728574752807617,0.1297143300374349,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,194,1784531476.493936,0.2,0.04000000000000001,0p20-0p30,4,0.09728574752807617,0.1297143300374349,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,194,1784531476.493936,0.3,0.09,0p30-0p40,4,0.09728574752807617,0.1297143300374349,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,194,1784531476.493936,0.4,0.16000000000000003,0p40-0p50,4,0.09728574752807617,0.1297143300374349,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,194,1784531476.493936,0.5,0.25,gt0p50,4,0.09728574752807617,0.1297143300374349,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,195,1784531476.5287457,0.1,0.010000000000000002,0p10-0p20,5,0.1320953369140625,0.22015889485677084,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,195,1784531476.5287457,0.2,0.04000000000000001,0p20-0p30,5,0.1320953369140625,0.22015889485677084,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,195,1784531476.5287457,0.3,0.09,0p30-0p40,5,0.1320953369140625,0.22015889485677084,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,195,1784531476.5287457,0.4,0.16000000000000003,0p40-0p50,5,0.1320953369140625,0.22015889485677084,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,195,1784531476.5287457,0.5,0.25,gt0p50,5,0.1320953369140625,0.22015889485677084,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,196,1784531476.563342,0.1,0.010000000000000002,0p10-0p20,6,0.16669178009033203,0.33338356018066406,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,196,1784531476.563342,0.2,0.04000000000000001,0p20-0p30,6,0.16669178009033203,0.33338356018066406,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,196,1784531476.563342,0.3,0.09,0p30-0p40,6,0.16669178009033203,0.33338356018066406,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,196,1784531476.563342,0.4,0.16000000000000003,0p40-0p50,6,0.16669178009033203,0.33338356018066406,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,196,1784531476.563342,0.5,0.25,gt0p50,6,0.16669178009033203,0.33338356018066406,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,197,1784531476.5979583,0.1,0.010000000000000002,0p10-0p20,7,0.201308012008667,0.4697186946868896,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,197,1784531476.5979583,0.2,0.04000000000000001,0p20-0p30,7,0.201308012008667,0.4697186946868896,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,197,1784531476.5979583,0.3,0.09,0p30-0p40,7,0.201308012008667,0.4697186946868896,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,197,1784531476.5979583,0.4,0.16000000000000003,0p40-0p50,7,0.201308012008667,0.4697186946868896,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,197,1784531476.5979583,0.5,0.25,gt0p50,7,0.201308012008667,0.4697186946868896,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,198,1784531476.6257153,0.1,0.010000000000000002,0p10-0p20,8,0.22906494140625,0.61083984375,-0.0,-0.0,0.0,0.0
