estimator,n,age_min_s,age_max_s,slope_sigma_a2_raw,intercept_sigma_ref2_raw,sigma_a_mps2,sigma_ref_mps,slope_clamped,intercept_clamped,rate_error_rms_mps,legacy_ratio_p95_mps2,pair_slope_n,group,bootstrap_n,sigma_a_ci_low_mps2,sigma_a_ci_median_mps2,sigma_a_ci_high_mps2,sigma_ref_ci_low_mps,sigma_ref_ci_median_mps,sigma_ref_ci_high_mps,gate_lives_by_sigma_a,sigma_ref_sanity
per_sample_theil_sen,16,0.1667172908782959,0.430652379989624,0.0,0.19094650272687214,0.0,0.4369742586547543,False,False,0.4104152148880635,2.340311169172686,113,all,5000,0.0,0.0,0.0,0.4369742586547543,0.4369742586547543,0.5210426209540856,True,False
per_sample_theil_sen,3,0.1667172908782959,0.19449329376220703,0.0,0.19094650272687214,0.0,0.4369742586547543,False,False,0.4369742586547543,2.5836176537128486,2,switch_adjacent,5000,0.0,0.0,0.0,0.4369742586547543,0.4369742586547543,0.4369742586547543,True,False
per_sample_theil_sen,13,0.22933053970336914,0.430652379989624,0.0,0.19094650272687214,0.0,0.4369742586547543,False,False,0.4040383521024124,1.905434222672501,72,maintenance,5000,0.0,0.0,0.0,0.4369742586547543,0.4369742586547543,0.5773129230345593,True,False
