age_bin,n,age_min_s,age_max_s,mean_age2_s2,rate_error_mean_mps,rate_error_rms_mps,mean_rv2_m2ps2,legacy_ratio_p95_mps2
0p10-0p20,3,0.1667172908782959,0.19449329376220703,0.03448331257158088,-0.4369742586547543,0.4369742586547543,0.1909465027268721,2.5836176537128486
0p20-0p30,6,0.22933053970336914,0.29865097999572754,0.07047499678031954,-0.4369742586547543,0.4369742586547543,0.1909465027268721,1.905434222672501
0p30-0p50,7,0.3334794044494629,0.430652379989624,0.14035517271443204,-0.3619140515356766,0.3735030795902866,0.139504550463428,1.3103485637325933
gte0p50,0,,,,,,,
