flight,frame_id,feature_ts_ns,trial,regime,age_bin,age_s,age2_s2,rate_error_oracle_mps,rv2_m2ps2,legacy_ratio_abs_sigma_a_mps2
F2,308,1784531480298793200,anchor_drop_frame_304,switch_adjacent,0p10-0p20,0.1667172908782959,0.027794655077798325,-0.4369742586547543,0.19094650272687214,2.6210494205651815
F2,309,1784531480326569300,anchor_drop_frame_304,switch_adjacent,0p10-0p20,0.19449329376220703,0.03782764131847216,-0.4369742586547543,0.19094650272687214,2.2467317520418537
F2,309,1784531480326569300,anchor_drop_frame_304,switch_adjacent,0p10-0p20,0.19449329376220703,0.03782764131847216,-0.4369742586547543,0.19094650272687214,2.2467317520418537
F2,310,1784531480361406400,anchor_drop_frame_304,maintenance,0p20-0p30,0.22933053970336914,0.05259249644063857,-0.4369742586547543,0.19094650272687214,1.905434222672501
F2,310,1784531480361406400,anchor_drop_frame_304,maintenance,0p20-0p30,0.22933053970336914,0.05259249644063857,-0.4369742586547543,0.19094650272687214,1.905434222672501
F2,311,1784531480395970000,anchor_drop_frame_304,maintenance,0p20-0p30,0.26389408111572266,0.06964008604791161,-0.4369742586547543,0.19094650272687214,1.655869873273636
F2,311,1784531480395970000,anchor_drop_frame_304,maintenance,0p20-0p30,0.26389408111572266,0.06964008604791161,-0.4369742586547543,0.19094650272687214,1.655869873273636
F2,312,1784531480430727000,anchor_drop_frame_304,maintenance,0p20-0p30,0.29865097999572754,0.08919240785240845,-0.4369742586547543,0.19094650272687214,1.463160303913972
F2,312,1784531480430727000,anchor_drop_frame_304,maintenance,0p20-0p30,0.29865097999572754,0.08919240785240845,-0.4369742586547543,0.19094650272687214,1.463160303913972
F2,313,1784531480465555400,anchor_drop_frame_304,maintenance,0p30-0p50,0.3334794044494629,0.11120851319196845,-0.4369742586547543,0.19094650272687214,1.3103485637325933
F2,313,1784531480465555400,anchor_drop_frame_304,maintenance,0p30-0p50,0.3334794044494629,0.11120851319196845,-0.4369742586547543,0.19094650272687214,1.3103485637325933
F2,314,1784531480493214800,anchor_drop_frame_304,maintenance,0p30-0p50,0.36113858222961426,0.13042107557481586,-0.4369742586547543,0.19094650272687214,1.2099905137715894
F2,314,1784531480493214800,anchor_drop_frame_304,maintenance,0p30-0p50,0.36113858222961426,0.13042107557481586,-0.4369742586547543,0.19094650272687214,1.2099905137715894
F2,315,1784531480528160300,anchor_drop_frame_304,maintenance,0p30-0p50,0.3960843086242676,0.15688277953836405,-0.2961729283273769,0.08771840347401354,0.7477522382951345
F2,315,1784531480528160300,anchor_drop_frame_304,maintenance,0p30-0p50,0.3960843086242676,0.15688277953836405,-0.2961729283273769,0.08771840347401354,0.7477522382951345
F2,316,1784531480562728400,anchor_drop_frame_304,maintenance,0p30-0p50,0.430652379989624,0.18546147239072752,-0.1931554694759649,0.03730903538848041,0.44851829097198703
