flight_id,source,sentinel_interval_id,frame_id,feature_ts_ns,row_key,role
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut04,310,1784492339213677500,20260719T201851-50f9dcc8|frame=310|feature_ts_ns=1784492339213677500,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut04,311,1784492339241378800,20260719T201851-50f9dcc8|frame=311|feature_ts_ns=1784492339241378800,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut04,312,1784492339276071100,20260719T201851-50f9dcc8|frame=312|feature_ts_ns=1784492339276071100,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut05,313,1784492339311109200,20260719T201851-50f9dcc8|frame=313|feature_ts_ns=1784492339311109200,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut05,314,1784492339345678500,20260719T201851-50f9dcc8|frame=314|feature_ts_ns=1784492339345678500,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut05,315,1784492339380359300,20260719T201851-50f9dcc8|frame=315|feature_ts_ns=1784492339380359300,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut06,316,1784492339407895500,20260719T201851-50f9dcc8|frame=316|feature_ts_ns=1784492339407895500,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut06,317,1784492339442871600,20260719T201851-50f9dcc8|frame=317|feature_ts_ns=1784492339442871600,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut06,318,1784492339477402400,20260719T201851-50f9dcc8|frame=318|feature_ts_ns=1784492339477402400,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut06,319,1784492339512175900,20260719T201851-50f9dcc8|frame=319|feature_ts_ns=1784492339512175900,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut07,320,1784492339546982800,20260719T201851-50f9dcc8|frame=320|feature_ts_ns=1784492339546982800,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut07,321,1784492339575413300,20260719T201851-50f9dcc8|frame=321|feature_ts_ns=1784492339575413300,SENTINEL_INTERVAL_KEY
20260719T201851-50f9dcc8,tuning/taskA-full-archive-retro-census-bb0dbcf-20260720T165623Z/forced_withhold_samples.csv,20260719T201851-50f9dcc8:A1:cut07,322,1784492339609450900,20260719T201851-50f9dcc8|frame=322|feature_ts_ns=1784492339609450900,SENTINEL_INTERVAL_KEY
